CLIENT_REF (v2),Acct,posting date,amount (AED),Amount,CCY*,approval status, REGION  ,REASON_TEXT*,Commentary (v2),,YEAR_ADDED_2024, new_col_202402 ,Unnamed: 0,mystery_2024_02_16,mystery_2024_02_45,mystery_2024_02_56
C87175,A-1893951,2024-02-23 00:00:00,-6156.62,-6113.933820861849,AED,Pending,DXB,,,,Y24,,,,,
C88010,A-3068877,2024-02-09,15635.34,,USD,,SHJ,ok,ok,,Y24,40,,,,
C98093,A-5252336,2024-02-12,"-5,490.17","-5,494.01",AED,Pending,FJR,needs review,needs review,,,20,,,,
C63887,A/95136,08 February 2024,"5,269.26",(5225.74),OMR,Closed,DXB,!!!,!!!,,,,,,,x
C60444,A-4717076,2024-02-26,19360.9,19360.9,GBP,,RAK,ok,ok,,Y24,,,,,x
C36362,A-8979209,18 February 2024,451.5,(451.50),OMR,,AUH,!!!,!!!,,Y24,31,,x,,
C36746,A-5000715,2024-02-02 00:00:00,25301.32164842305,"25,288.09",USD,,AAN,needs review,needs review,,Y24,10,,,,
C74627,A-6344064,,26948.04,26948.04,SAR,In Review,  AUH,,,,Y24,,,,,x
C20845,A/30631,Feb-01-24,-975.65,-975.65,AED,In Review,DXB,ok,ok,,Y24,93,,,,
C87982,A-3353556,2024-02-01,22413.6,,GBP,Open,RAK,,,,Y24,m2,,,,x
C26811,A-4744891,2024-02-27,"6,584.33",not available,USD,In Review,SHJ,,,,0,m2,x,,,x
C53555,A-7111323,13 February 2024,,23168.16,OMR,In Review,AUH,ok,ok,,Y24,m2,,,,
C94697,A-4515781,2024-02-17,14876.57528105517,not available,aed ,Closed,UAQ,ملاحظة,ملاحظة,,,m2,,,x,x
,A/12762,2024-02-20,5188.52,"5,188.52",OMR,,  RAK,ok,ok,,Y24,m2,x,,,
,A-5360772,25/02/2024,(19876.46),19853.51995802071,AED,Closed,DXB,,,,,30,,,,
C13799,A-8785816,Feb-14-24,(15391.85),15391.85,OMR,,FJR,!!!,!!!,,0,m2,,,,
C56516,A-5546701,2024-02-05,13231.22,,EUR,Open,AUH,ملاحظة,ملاحظة,,Y24,,,x,,
C61582,A-5009258,27/02/2024,5240.78,5240.78,EUR,CANCELLED,UAQ,!!!,!!!,,,,,,,
C39571,A-3271389,19/02/2024,18740.62,18740.62,eur ,Pending,UAQ,ok,ok,,1,m2,,,,
,A/56344,2024-02-09,(20691.86),(20704.33),AED,Pending,SHJ,ملاحظة,ملاحظة,,Y24,,,x,,
,A-2957053,32/13/2023,22020.9,22020.9,sar ,Open,FJR,needs review,needs review,,1,m2,,,,
C77059,A-2524225,15/02/2024,21081.41,21044.90234656919,SAR,,AUH,!!!,!!!,,,41,,,,
C96489,,32/13/2023,21265.895789359925,21226.85227065981,EUR,Closed,FJR,ok,ok,,1,63,,,,
C29556,A-6160376,26 February 2024,8490.42,"8,490.42",aed ,In Review,UAQ,needs review,needs review,,,,,,,
C31450,A-8447106,32/13/2023,23444.84,23444.84,eur ,Pending,SHJ,ok,ok,,0,m2,,,,
C87816,A-6056330,25/02/2024,(24539.96),24543.43,GBP,Pending,AUH,ملاحظة,ملاحظة,,,m2,,x,,
C30361,A-2591142,20/02/2024,,,GBP,,SHJ,needs review,needs review,,,,,,,
C22321,A-9655025,2024-02-18,not available,not available,GBP,In Review,SHJ,ملاحظة,ملاحظة,,Y24,,,,,
C76815,A-2832740,04/02/2024,,14320.44,EUR,Open,UAQ,ok,ok,,Y24,,,,,
C49588,A-5312827,03 February 2024,not available,,SAR,CANCELLED,  FJR,,,,Y24,m2,,,,
C77996,A-3746963,32/13/2023,6283.14,"6,283.14",SAR,CANCELLED,AAN,ok,ok,,0,m2,,,,
,A-7172980,,9766.36,"9,766.36",USD,Open,AUH,,,,Y24,m2,,,,x
C47560,A-7404333,2024-02-10 00:00:00,,(5206.83),eur ,,DXB,,,,Y24,m2,,,,
C81434,A-7201167,2024-02-12,-1684.13,not available,SAR,CANCELLED,DXB,,,,Y24,63,,x,,
C87277,A-9724359,26 February 2024,(18305.28),not available,USD,Open,SHJ,ok,ok,,Y24,m2,,x,x,
,A/65445,15/02/2024,-3706.32,"-3,718.21",OMR,Pending,AAN,,,,Y24,m2,,,,x
C98052,A-9492349,09 February 2024,470.63,470.63,OMR,Open,AAN,ok,ok,,1,72,,,,
C55416,A-9167892,2024-02-22,"17,084.37","17,100.48",GBP,CANCELLED,DXB,ok,ok,,,38,x,,,
C35850,A-5351825,0000-00-00,23902.36,23900.18878742959,gbp ,,AAN,ok,ok,,,34,,,,
C32906,A-6782319,2024-02-07 00:00:00,22757.64,22743.18817283945,USD,In Review,RAK,ok,ok,,0,m2,,,,
C31945,A-8549225,2024-02-16,25097.86,25097.86,EUR,,SHJ,ok,ok,,1,,,,,
C76889,A-5463898,2024-02-05,4573.99,4573.99,OMR,Pending,UAQ,,,,,10,,,,
C64751,A-5496142,23 February 2024,28033.44,(28033.44),EUR,,RAK,ok,ok,junk,,,,,x,
C37464,A-3118569,2024-02-16,14946.1914530778,14948.35881703117,GBP,Open,  DXB,needs review,needs review,,Y24,m2,,x,,
C47992,A-8513661,03 February 2024,2703.12,(2703.12),AED,,RAK,ok,ok,,0,,,,x,
C72994,A-7562825,26 February 2024,554.41,554.41,EUR,Pending,  SHJ,ok,ok,,,m2,,,x,
C13722,A-9940079,2024-02-10 00:00:00,-5505.22,,AED,Pending,UAQ,!!!,!!!,,,,,,,
C73299,A-4307590,03/02/2024,20584.77,20584.77,GBP,,FJR,needs review,needs review,,,,,,,
C99122,A-9738471,07 February 2024,15982.9,not available,EUR,Open,AUH,,,,,17,,,,
C24965,A-7381843,21 February 2024,"19,540.46",19540.46,AED,CANCELLED,DXB,ok,ok,junk,Y24,m2,,,,
C26780,A-7649549,2024-02-16 00:00:00,19594.179884644822,19635.58,eur ,Open,SHJ,ok,ok,,Y24,m2,,,,
C34014,A-6326040,0000-00-00,-6706.92,-6706.92,OMR,,FJR,ok,ok,,Y24,,,,,
C76013,A-4105208,Feb-16-24,29258.02961381119,29261.418852566494,sar ,Open,DXB,needs review,needs review,,,,,,,
,A-7448278,Feb-22-24,27037.65,(27037.65),SAR,,UAQ,ملاحظة,ملاحظة,,1,m2,x,,,
C46263,A-8369974,Feb-23-24,not available,-5106.865905586082,EUR,Open,DXB,,,,0,40,,,,x
C55960,A-3570692,03/02/2024,17680.81,17680.81,GBP,,AUH,!!!,!!!,,,m2,,,,
C31572,A-1501442,18/02/2024,24389.68,,USD,In Review,UAQ,ملاحظة,ملاحظة,,Y24,66,,,,
C46237,A-9381563,28 February 2024,-7388.136646073151,-7388.52,GBP,Pending,  UAQ,needs review,needs review,,,m2,,x,,
C40473,A/888,2024-02-13 00:00:00,28419.81,,EUR,,UAQ,needs review,needs review,,Y24,m2,,,x,
C20308,A-4863226,0000-00-00,,3519.61,omr ,Pending,AAN,,,,Y24,43,,,,
C78057,A-9335537,Feb-06-24,-6819.46,-6821.43382080837,EUR,In Review,SHJ,ملاحظة,ملاحظة,,0,,x,,,
C68530,A-2955214,08/02/2024,8360.97,8360.97,USD,,AAN,ok,ok,,1,m2,,,,
C77378,A-8753456,05 February 2024,3243.4,3243.4,SAR,In Review,RAK,,,,Y24,32,,,,x
C95409,A-9253298,32/13/2023,not available,8609.8,AED,In Review,UAQ,ok,ok,junk,0,m2,x,x,,
,A-7715777,Feb-24-24,"16,558.98",16558.98,GBP,In Review,SHJ,ok,ok,,1,m2,,,,
,A-1228097,17/02/2024,"15,177.06",15177.06,USD,CANCELLED,AAN,ok,ok,,1,,,,,
C20331,,2024-02-03 00:00:00,"11,377.74",11377.74,EUR,Closed,SHJ,needs review,needs review,,0,m2,,,,x
C38534,A/80732,32/13/2023,21629.47,(21621.16),EUR,Pending,RAK,ok,ok,,Y24,92,,,,
C92035,A-5079933,2024-02-07,10017.5,10017.5,OMR,Open,UAQ,!!!,!!!,,0,m2,,,,
C93654,A-1327804,15 February 2024,5428.31815608758,5467.91,aed ,Pending,UAQ,,,,0,m2,,,,
C89416,A-8960376,Feb-20-24,16925.77,16904.486008771735,GBP,Open,AUH,,,,0,,x,,,
C36797,A-4948462,Feb-28-24,25974.56,25974.56,eur ,In Review,UAQ,needs review,needs review,,1,m2,,,,
C48479,A-7613101,03/02/2024,,21094.98,EUR,CANCELLED,AAN,,,,Y24,44,,,,
C41544,A-5981997,Feb-28-24,29072.38,29072.38,GBP,Open,AUH,!!!,!!!,,Y24,m2,,,,
C73036,A-5769128,32/13/2023,-6052.330862268609,,EUR,Pending,SHJ,ok,ok,,0,m2,x,,,
C15815,A-7838571,2024-02-07 00:00:00,,11311.78,USD,,UAQ,!!!,!!!,,,m2,,,,
C88493,A-2439302,32/13/2023,,24404.59,EUR,Pending,AAN,ملاحظة,ملاحظة,,Y24,,,,,
C57528,A-7616303,2024-02-17 00:00:00,,10563.27248894586,EUR,,AUH,ok,ok,,,56,,,,
C39597,A-2300605,24 February 2024,29956.92,"29,956.92",OMR,In Review,AUH,needs review,needs review,,Y24,m2,,,,x
C10623,A-6150769,25/02/2024,21046.99,not available,SAR,,AUH,needs review,needs review,,,m2,,,,
C57530,A-2694126,2024-02-27,"8,712.05",,OMR,CANCELLED,FJR,ok,ok,,1,,,,,
C19922,A-6626825,17/02/2024,-2373.62,-2387.782187541722,AED,CANCELLED,RAK,,,junk,Y24,m2,,x,,
C20280,A-8447330,2024-02-18,20095.0,20128.28613039735,USD,Pending,DXB,ok,ok,,,m2,,,,x
C23883,A-7787649,Feb-12-24,13920.89,13920.89,AED,Closed,AAN,,,,Y24,33,,,,
C14258,A-7293251,Feb-04-24,-3283.46,-3283.46,OMR,,AAN,ملاحظة,ملاحظة,,,m2,,,,
C38774,A-3381320,2024-02-14,,,SAR,Open,FJR,needs review,needs review,,,m2,,,,
C11210,A-1363743,2024-02-20,2642.424667473291,(2596.31),gbp ,Pending,UAQ,needs review,needs review,,Y24,70,,,,
C28540,A-5677632,08 February 2024,5306.17,(5306.17),GBP,CANCELLED,  UAQ,needs review,needs review,,Y24,m2,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
CLIENT_REF (v2),Acct,posting date,amount (AED),Amount,CCY*,approval status, REGION  ,REASON_TEXT*,Commentary (v2),,YEAR_ADDED_2024, new_col_202402 ,Unnamed: 0,mystery_2024_02_16,mystery_2024_02_45,mystery_2024_02_56
C27085,A-8680009,14/02/2024,-1943.52,"-1,943.52",SAR,Closed,UAQ,ok,ok,,Y24,,,x,x,
C74224,A-6109912,2024-02-17,(7390.58),7390.58,eur ,Open,SHJ,ok,ok,,1,m2,,,,
C47255,A-5821599,2024-02-09,-570.08,-524.4287707416671,USD,In Review,  AUH,needs review,needs review,,1,m2,,,,
C36203,A-2875491,16/02/2024,18359.51,(18359.51),usd ,Closed,RAK,ok,ok,,Y24,14,x,,,
C76131,A-6368641,04/02/2024,not available,not available,SAR,Pending,SHJ,needs review,needs review,,Y24,,,,,
C95747,A-1032817,27/02/2024,,28460.43,USD,Open,RAK,needs review,needs review,,Y24,m2,,x,,
C75892,A-3317596,Feb-25-24,(2463.40),"-2,408.52",OMR,,FJR,,,,Y24,m2,x,,,
C11667,A-2924294,2024-02-20 00:00:00,"23,290.91",,SAR,,AAN,ملاحظة,ملاحظة,,Y24,,,x,,
C79428,A-6425011,12/02/2024,26100.11,,GBP,Closed,AAN,ملاحظة,ملاحظة,,Y24,m2,,,x,
,A-6822677,22/02/2024,12787.35,12837.029096613313,USD,Pending,UAQ,,,,Y24,m2,,,,
C60768,A-8755898,2024-02-10,2246.52,2246.52,USD,CANCELLED,AUH,!!!,!!!,,Y24,m2,,,,
,A-4902504,12/02/2024,-4140.08,-4140.08,GBP,CANCELLED,AAN,needs review,needs review,,Y24,m2,,,,
C56716,A-9188296,2024-02-25,5272.97,5272.97,OMR,CANCELLED,AAN,,,,Y24,m2,,,,
C69713,A-6079783,32/13/2023,"1,233.96",1273.2785613491938,EUR,Pending,UAQ,needs review,needs review,,Y24,m2,,,,
C86511,A-8175099,2024-02-25 00:00:00,-5832.51,"-5,832.51",USD,CANCELLED,UAQ,ok,ok,,1,,,,,
C71597,A-3166802,2024-02-16 00:00:00,(2394.49),"-2,394.49",SAR,Pending,SHJ,needs review,needs review,,Y24,m2,,,,
C12572,A-7851329,09/02/2024,17258.88778557575,17294.99,GBP,In Review,AAN,,,,Y24,m2,,,,
C84066,A/13695,03 February 2024,15319.71,15319.71,AED,Closed,RAK,!!!,!!!,,Y24,15,,,x,
,A-9545541,0000-00-00,18533.46,"18,533.46",OMR,,FJR,needs review,needs review,,Y24,80,,,,
C78473,A/46400,32/13/2023,-7852.25,(7852.25),GBP,Closed,AAN,needs review,needs review,,1,m2,,,,
C29854,A-7415344,2024-02-19,9706.594563539724,9738.911043078348,EUR,Pending,SHJ,!!!,!!!,,Y24,m2,,,,x
C53294,A-7813075,32/13/2023,-456.71,-456.71,omr ,In Review,DXB,needs review,needs review,junk,1,m2,,,,
,A/37973,2024-02-09,12213.17644686164,not available,GBP,,AAN,needs review,needs review,,,78,,,x,
C67708,A-4006090,03 February 2024,"21,161.41","21,175.10",USD,,AAN,ملاحظة,ملاحظة,,0,m2,,x,,
C32123,A-4806123,Feb-01-24,,11078.26,USD,Closed,AAN,ok,ok,,1,,,,,
,A-1654902,2024-02-15,"11,988.47",11988.47,OMR,Closed,  DXB,,,,0,98,,,x,
C35092,A-2069393,12 February 2024,,24543.96,GBP,In Review,RAK,!!!,!!!,,,77,,,,
,,18 February 2024,(8195.57),"8,195.57",omr ,Open,AAN,needs review,needs review,,Y24,12,,,,
C30584,A-9657096,32/13/2023,3808.23,"3,808.23",EUR,Closed,  AAN,,,,Y24,m2,,x,,
C75131,A-7345200,,-6592.51,-6592.51,EUR,,AUH,ok,ok,,,m2,,x,,
,A-9012343,2024-02-19 00:00:00,15660.17,15660.17,GBP,Open,RAK,ok,ok,,Y24,79,,x,,
C99262,A-9406406,2024-02-25 00:00:00,,279.21,SAR,CANCELLED,AAN,,,,Y24,m2,,,,x
C29757,A-2692038,2024-02-23,-4150.61,-4113.934818536489,AED,Open,  AAN,ok,ok,,,73,,x,,
C96128,A-9906934,04 February 2024,-7112.06835018923,-7110.03,SAR,CANCELLED,UAQ,ملاحظة,ملاحظة,,1,m2,x,,,
C25587,A-4234622,05/02/2024,17601.067814565715,17596.48,GBP,Pending,UAQ,ok,ok,,1,m2,,,,
C88886,A-2205797,Feb-25-24,"-6,695.18",-6696.982902277152,GBP,CANCELLED,UAQ,ok,ok,,Y24,m2,x,x,,
C94833,A-6885187,15 February 2024,,,OMR,,  DXB,needs review,needs review,,Y24,,,,,
,A-4421339,Feb-13-24,,18012.01,AED,,SHJ,,,,Y24,,,,x,x
,A-3761864,,14104.72,14104.72,SAR,CANCELLED,SHJ,needs review,needs review,,Y24,m2,,,,
C89211,A-7965402,2024-02-10 00:00:00,,24283.92,USD,In Review,FJR,ok,ok,,0,,x,,,
C75117,A-6175310,2024-02-15 00:00:00,,,AED,,FJR,ok,ok,junk,,,,x,,
,A-7727563,2024-02-18,,,EUR,,DXB,ok,ok,,,,,,,
C65240,A-3536408,2024-02-23,,10267.68,USD,Pending,FJR,needs review,needs review,,Y24,m2,,x,,
C49092,A-4475470,24 February 2024,9410.71,"9,410.71",USD,Open,AUH,!!!,!!!,,,74,,,x,
C46469,A-4935822,2024-02-21 00:00:00,4621.12,4621.12,EUR,CANCELLED,RAK,ملاحظة,ملاحظة,,Y24,,,,,
C74386,A-1811072,32/13/2023,not available,"16,159.29",OMR,In Review,SHJ,,,,1,m2,,,,
C60912,A/52389,2024-02-24 00:00:00,11130.63562149902,11064.880204803747,SAR,Pending,SHJ,,,,,m2,,,x,
C63008,A-2520740,32/13/2023,-7014.138036314654,-7021.41,USD,,DXB,,,,,,,,,
C10808,A-4431267,13 February 2024,10512.2,10509.35100780863,OMR,Open,SHJ,needs review,needs review,,Y24,,,x,,
C78388,A-6097947,2024-02-08,6993.88,"6,993.88",SAR,CANCELLED,FJR,ok,ok,junk,Y24,,,,,
,A-2997619,21/02/2024,"15,306.88",(15286.82),OMR,,UAQ,,,,Y24,m2,,,,
C61182,A/30909,2024-02-03,,,EUR,Pending,FJR,,,,,,,,,
C47331,A/7240,2024-02-13,"19,078.08",19078.08,OMR,,AAN,,,,Y24,78,,,,
C65224,A-9642421,14/02/2024,-5012.02,-4978.339358416036,USD,Pending,RAK,needs review,needs review,,Y24,m2,,,,x
C50121,,22 February 2024,,-2116.112378899994,AED,,SHJ,ملاحظة,ملاحظة,,Y24,m2,x,,,
C13268,A-1436147,32/13/2023,not available,(3421.35),AED,,  DXB,,,,Y24,m2,,,,
C12902,A-3444595,2024-02-16,-4566.27,-4566.27,EUR,,FJR,ملاحظة,ملاحظة,,Y24,,,,,
C85738,A-7573341,Feb-06-24,-2754.17,(2754.17),USD,Pending,FJR,needs review,needs review,,Y24,m2,x,,x,x
C88006,A-9291092,32/13/2023,(23790.54),(23765.27),EUR,,AUH,ok,ok,,1,,,,,
C11120,A-3963528,2024-02-25,4895.472543660802,4842.355739797516,SAR,,  FJR,ok,ok,,Y24,m2,,,,
C87352,A-4910358,2024-02-18,19359.6,,GBP,Open,UAQ,needs review,needs review,junk,Y24,m2,,,,
C25116,A-6960983,04/02/2024,,24785.059432219183,SAR,,DXB,needs review,needs review,,1,m2,,,,
C77551,A/23935,Feb-06-24,-1581.16,-1581.16,SAR,Closed,AAN,,,,Y24,27,,,,
C40191,A-5053309,2024-02-13,,-6468.84,GBP,Pending,SHJ,!!!,!!!,,Y24,m2,,,,
C18108,A-3001064,2024-02-03,,-917.93,USD,CANCELLED,RAK,ملاحظة,ملاحظة,,1,m2,,,x,
C11316,A-5333563,Feb-25-24,-3697.54,,SAR,Open,AUH,,,,,,,,,x
C71325,A/66019,23/02/2024,,29051.62,AED,Open,FJR,needs review,needs review,,Y24,m2,,,,
C27356,A-9826283,2024-02-03,,4850.81,GBP,In Review,AAN,,,,,98,,,,
C15214,A-2772314,Feb-04-24,-4731.01,-4731.01,USD,Open,RAK,ok,ok,,,30,,,,
C14747,A-4668512,2024-02-06,28797.1,28833.95652671844,SAR,Pending,FJR,!!!,!!!,junk,Y24,m2,,,,
C30877,A/7677,Feb-12-24,5660.31,(5660.31),EUR,Open,UAQ,,,,,,,,,
C70800,A/81138,2024-02-26,10686.66,10686.66,EUR,,RAK,ok,ok,,Y24,75,,,x,
C24262,A-2339288,2024-02-16,-1356.954433332104,-1345.56,GBP,Closed,AAN,ok,ok,,Y24,,,,,
C18456,A-1747401,2024-02-26,11399.62,11399.62,EUR,CANCELLED,AAN,needs review,needs review,,,m2,,,,
C34064,A-6157813,06 February 2024,24859.22,24859.22,EUR,Pending,SHJ,,,,Y24,m2,,,,
C15629,A/34462,23/02/2024,-6071.75,-6071.75,USD,In Review,UAQ,ok,ok,,Y24,,x,,,
C45606,A/89722,2024-02-07,-687.0411397415592,-729.11,usd ,Pending,FJR,needs review,needs review,,Y24,80,,,,
C63910,A/38370,2024-02-09,13229.52,13229.52,SAR,Open,  RAK,,,,,92,,,x,
C51499,A-7427763,08/02/2024,(5995.93),-5995.93,gbp ,Closed,  SHJ,needs review,needs review,,,m2,,,,
,A-3828336,2024-02-18 00:00:00,(7477.09),7452.663945395806,AED,Closed,AAN,ok,ok,,Y24,91,,,,
C64804,A-3550976,Feb-07-24,,19212.06,GBP,Pending,  AUH,needs review,needs review,,Y24,71,,,x,
C64577,A/38543,32/13/2023,"3,129.97",3183.012557541381,SAR,CANCELLED,SHJ,!!!,!!!,,,m2,,,,
C51508,A/56903,Feb-19-24,7702.45,(7702.45),EUR,In Review,UAQ,needs review,needs review,,0,m2,,,,x
,A-7410644,19 February 2024,21307.36763918489,21334.75340877826,EUR,,AUH,needs review,needs review,,,71,,,,
C72051,A-1699157,Feb-18-24,26073.24,26072.11322008883,SAR,Pending,SHJ,ok,ok,,Y24,,,,,
C95254,A-3332286,05/02/2024,(15545.09),,USD,In Review,AUH,ok,ok,,Y24,m2,,,,
C85787,A-3028028,2024-02-19,14880.82,,SAR,Pending,DXB,,,,,m2,,,,
C36640,,2024-02-08,10945.94,10945.94,GBP,CANCELLED,AUH,ok,ok,,Y24,78,,,,
C31403,A-9702601,06/02/2024,-7136.764025312137,-7155.872384922188,USD,Closed,DXB,,,,Y24,71,,x,,
C33564,A-9336404,Feb-18-24,15506.71669599626,15529.59,SAR,Closed,AUH,,,,Y24,,x,,,
C46676,A-4031637,32/13/2023,26462.8395539641,26451.990972038926,GBP,Pending,DXB,ok,ok,,,95,,x,,
C70591,A-3924954,09 February 2024,,-4279.447610427413,OMR,CANCELLED,RAK,!!!,!!!,,Y24,24,,,,
C46202,A/20439,Feb-10-24,15972.96,not available,EUR,,AUH,ok,ok,junk,Y24,m2,,,x,
C49885,A-6018274,Feb-26-24,1646.8,"1,646.80",AED,Pending,AUH,needs review,needs review,,Y24,86,,,,
C15571,A/39497,02 February 2024,"20,656.56",20656.56,EUR,Open,FJR,,,,1,21,x,x,,
C23915,A-2710333,2024-02-02,719.92,719.92,AED,,DXB,,,,Y24,m2,,,,
C83683,A-6095974,,3956,,EUR,,UAQ,ملاحظة,ملاحظة,,,,,,,
C19041,A-1806052,2024-02-04,3623.27,3623.27,SAR,In Review,AAN,,,,,,,,x,
C65127,A-9715491,22 February 2024,"-1,543.82","-1,543.82",GBP,Closed,UAQ,ok,ok,junk,Y24,m2,,,,
C17414,A-4588144,03 February 2024,-4094.73,-4094.73,OMR,,RAK,!!!,!!!,,,m2,,,,
,,25/02/2024,19871.92,19871.92,GBP,,FJR,ok,ok,,1,m2,,,,
C65044,A-6584989,17/02/2024,-2214.87,(2214.87),USD,,SHJ,ok,ok,,Y24,m2,,,,
C85177,A/70383,2024-02-23,13958.17,(13958.17),OMR,,SHJ,ok,ok,,Y24,m2,,,,
C59108,A-8927273,27 February 2024,,29213.49,SAR,,SHJ,ok,ok,,Y24,,,,,x
,A-8326396,15 February 2024,10467.22,,SAR,Closed,SHJ,ملاحظة,ملاحظة,junk,,70,x,,,
C29322,A/25394,Feb-06-24,,"14,051.99",GBP,Pending,RAK,needs review,needs review,,Y24,,,,,x
C11027,A/589,2024-02-11 00:00:00,5810.93,5773.086022520054,EUR,Closed,DXB,needs review,needs review,junk,Y24,63,,,,
C15831,A-2126589,2024-02-28,(11913.90),,SAR,,SHJ,ملاحظة,ملاحظة,,,m2,,x,,
C55282,A-6952319,01 February 2024,,not available,GBP,CANCELLED,RAK,ok,ok,junk,Y24,42,,,,
,A-3937696,Feb-20-24,,17279.41,AED,Closed,UAQ,ok,ok,,1,m2,,,,
C78023,A-6073902,2024-02-12 00:00:00,(1461.41),1461.41,SAR,CANCELLED,AAN,needs review,needs review,,0,,,,,
C46703,A-6886200,32/13/2023,8471.64,8471.64,OMR,Closed,DXB,ok,ok,,,,,,,
