C96056,A-7771436,2024-06-06,29439.220911189706,,USD,CANCELLED,SHJ,needs review,needs review,,Y24,10,USD,,,x,,,
C19171,A-4141946,Jun-28-24,"21,112.47",,SAR,In Review,FJR,needs review,needs review,,0,m6,SAR,,,,,,
C95071,A-6580433,2024-06-11,-7899.08,,GBP,CANCELLED,FJR,,,,Y24,,gbp ,,,,,,
C21742,A-4992953,Jun-19-24,12458.3,,OMR,Pending,FJR,,,,Y24,,OMR,x,,,x,,
C43309,,11/06/2024,,,GBP,In Review,AUH,ملاحظة,ملاحظة,,0,91,GBP,,,,,,
C23715,A-1301587,2024-06-09,9122.64,,EUR,CANCELLED,AAN,,,,Y24,,EUR,,,,,,
C89903,A/31957,2024-06-01 00:00:00,17714.09,,AED,In Review,SHJ,,,,,,AED,,x,,,,
C39875,A-5559252,2024-06-23,-3415.05,junk,SAR,CANCELLED,RAK,needs review,needs review,x,,m6,SAR,,,,,,
,A-3005166,2024-06-27,2231.35,,OMR,,FJR,ملاحظة,ملاحظة,,Y24,,OMR,,x,,,,
C44689,A-7128307,24 June 2024,"11,669.45",,USD,,AUH,ملاحظة,ملاحظة,,,m6,USD,,,,,,
C61932,A-5377496,32/13/2023,15063.27,,AED,,RAK,,,,,m6,AED,,,,,,
C96760,A-2094087,14 June 2024,13359.91,,GBP,Open,FJR,needs review,needs review,x,,,GBP,,,,,,
C11128,A-7087399,01/06/2024,5153.995770938305,,USD,,RAK,ok,ok,,Y24,,USD,,,,,,
C69294,A-2314060,16 June 2024,,,OMR,,  UAQ,needs review,needs review,,1,45,OMR,,,,x,,
C33649,A-4053289,Jun-01-24,29108.07,junk,EUR,Open,SHJ,ok,ok,,,m6,EUR,x,,,,,
C37185,A-9787523,0000-00-00,-7835.36,,GBP,In Review,AUH,ok,ok,,Y24,m6,GBP,,,x,,,
C58000,,32/13/2023,-6465.837418184368,,AED,Open,RAK,needs review,needs review,,1,14,AED,,,,,,x
C52491,,,(9613.46),,GBP,CANCELLED,FJR,ok,ok,,Y24,,GBP,,,,x,,
,A-2956054,2024-06-17 00:00:00,12048.46315074552,,AED,Open,AAN,ok,ok,,Y24,65,AED,,,x,,,
C42691,A-3336420,2024-06-09,28683.25,,USD,,  AAN,ملاحظة,ملاحظة,,Y24,60,USD,,x,,,,x
C85793,A-3823528,0000-00-00,not available,junk,USD,In Review,AUH,ok,ok,,,,USD,,,,x,,
C97920,A-3745290,Jun-21-24,not available,,GBP,In Review,UAQ,needs review,needs review,,Y24,m6,GBP,,,,,,
C21695,A/84099,12 June 2024,9482.08,,AED,,UAQ,,,,Y24,m6,AED,x,,,,,x
C33544,A-9114060,18/06/2024,-370.1932781408748,junk,OMR,Closed,AUH,needs review,needs review,,1,,OMR,,,,,,
C51781,A-1832149,2024-06-10,18540.47973633049,,EUR,CANCELLED,FJR,ok,ok,,0,,EUR,,,,,,x
C45544,A-3794222,15/06/2024,"25,986.05",,USD,Closed,SHJ,!!!,!!!,,Y24,m6,USD,,,,,,
C22244,A-1018919,2024-06-20,20449.55,,OMR,,RAK,ملاحظة,ملاحظة,,,76,OMR,,,,,,
,A-3464536,04 June 2024,456.9945293593015,,OMR,CANCELLED,DXB,needs review,needs review,,1,m6,OMR,,,,,,
C98368,A-5173145,2024-06-23,"-6,998.68",,GBP,In Review,AUH,!!!,!!!,x,1,m6,GBP,,,,,,
C55003,A-6926138,Jun-22-24,1296.0967307436874,,USD,,DXB,ملاحظة,ملاحظة,,Y24,m6,USD,x,,,,,
C52594,A-1812902,2024-06-10,22619.58,,OMR,,DXB,ملاحظة,ملاحظة,x,1,,OMR,,,,,,
,A-3525627,2024-06-09,(1479.97),junk,GBP,Closed,DXB,ok,ok,,Y24,m6,GBP,,,,,x,x
,A-9164248,2024-06-18,(3420.94),,OMR,,  RAK,,,,,57,OMR,,,,,,
C77766,A-7643186,,10562.92,,SAR,Pending,FJR,ok,ok,x,0,m6,SAR,,,,,,
C29884,A-3343049,25 June 2024,10934.096357176511,,OMR,Pending,AUH,ok,ok,,Y24,,omr ,,,,,,
,A-3332970,Jun-04-24,21685.6,,USD,,UAQ,needs review,needs review,,0,,USD,,x,,,,
C98127,A-4475795,11/06/2024,12437.3,,OMR,,SHJ,,,,1,86,OMR,,,x,,,
C23349,A-4693088,2024-06-03,27428.101341832393,,GBP,Open,SHJ,,,x,,m6,GBP,,,x,,x,
C26634,A/39310,32/13/2023,9986.41,,USD,Open,RAK,ok,ok,,,,USD,,,,,,
C76234,A-1703293,2024-06-06 00:00:00,21631.121213671282,,SAR,Open,FJR,,,,Y24,63,SAR,,,x,,,
,A/2959,2024-06-18 00:00:00,"29,916.62",,sar ,Pending,UAQ,needs review,needs review,,Y24,53,SAR,,,,,,
C63575,A-6729334,Jun-09-24,(12225.28),,GBP,,RAK,needs review,needs review,,0,,GBP,,,x,,,
C14751,A-5685681,13/06/2024,-1772.42,,USD,Open,  RAK,ok,ok,x,Y24,m6,USD,,,,,,x
C67188,A-5835453,2024-06-01,14255.55,,gbp ,Pending,AUH,ok,ok,,Y24,,GBP,,,,,,
C90069,A/58517,09/06/2024,-1345.9,,EUR,CANCELLED,AAN,,,x,Y24,m6,EUR,,,x,,x,
,A-8422401,Jun-20-24,"27,270.25",junk,AED,,AAN,,,x,0,m6,AED,,,,x,,
C64185,A-9843189,Jun-19-24,5649.1501062247,,EUR,,AAN,needs review,needs review,,Y24,m6,EUR,,,,,,
C27603,A-6389600,Jun-12-24,(1466.79),,USD,CANCELLED,AAN,needs review,needs review,,Y24,m6,USD,x,,,x,x,
C52850,A-3017075,2024-06-15,-7808.88,,usd ,,SHJ,,,,1,m6,usd ,,,,,,x
C15809,A-3803524,Jun-17-24,"-4,537.55",,AED,In Review,AUH,ok,ok,,,,AED,,,,x,,
C32496,A-2401744,2024-06-26,(6031.76),,USD,,AAN,ملاحظة,ملاحظة,,Y24,m6,USD,x,x,,,,
C13214,A-5361064,2024-06-28,14664.08,,EUR,Open,FJR,ملاحظة,ملاحظة,,Y24,,EUR,,,,,,
C90784,A-7937041,05 June 2024,,,usd ,Closed,AAN,ملاحظة,ملاحظة,,,,USD,,,x,,,
C44042,A-8741029,2024-06-17,87.45,,GBP,In Review,AUH,,,,Y24,,GBP,,,,x,,
C13411,A-6555186,Jun-06-24,"-7,258.17",,SAR,Closed,UAQ,ok,ok,,1,36,SAR,,,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,,,
CUST_IDENTIFIER,A/C No.,TRANSACTIONDATE, Amt  ,,Curr.,APPRV_STATE,br_code,REASON_TEXT,remarks,UNUSED,year_added_2024,new_col_202406,CCY,mystery_2024_06_8,mystery_2024_06_16,mystery_2024_06_95,mystery_2024_06_13,mystery_2024_06_93,Unnamed: 0
C30548,A/88982,12/06/2024,29514.27,junk,GBP,Open,AAN,needs review,needs review,,Y24,89,GBP,,,,,,
C15667,A/73278,2024-06-01,21817.70289515214,junk,AED,Closed,RAK,,,,,,AED,,,,,,x
C56614,A-7866557,32/13/2023,7219.48,,EUR,CANCELLED,UAQ,needs review,needs review,,Y24,,EUR,,,,,,x
,A-9584214,2024-06-02,28887.83369395819,,OMR,Pending,FJR,,,,,37,OMR,,,,,,
C99202,A-1833327,2024-06-07,9030.16,,OMR,Pending,UAQ,needs review,needs review,,1,81,omr ,,x,,,,
C40115,A-6589188,2024-06-13,13552.75,,gbp ,Open,AUH,ملاحظة,ملاحظة,,Y24,58,gbp ,,,,,,
C56191,A-1498916,06 June 2024,22723.04,,USD,CANCELLED,  AUH,,,,,m6,USD,,,,,,
C35524,A-1614207,2024-06-03,"13,938.01",,AED,CANCELLED,AUH,ملاحظة,ملاحظة,,Y24,m6,AED,,,,,,
C14963,A-3523592,2024-06-02,2667.42273338319,junk,GBP,Pending,SHJ,needs review,needs review,x,Y24,,GBP,,,,,,
,A-4270045,Jun-06-24,12520.88,,SAR,,FJR,needs review,needs review,,Y24,29,SAR,x,,,,,
C98809,A-1808618,2024-06-04,,,AED,,DXB,ok,ok,,0,m6,AED,x,,,,,
,A-2813321,23 June 2024,16189.58,,OMR,In Review,  AAN,ok,ok,x,Y24,40,OMR,,,,,,
,A-9635506,,1570.33,,EUR,In Review,RAK,ok,ok,,Y24,,EUR,,x,,,,
C12104,,0000-00-00,-2647.1812921022884,,EUR,,FJR,ok,ok,,1,m6,EUR,,,,,,
C94372,A-9706334,32/13/2023,"12,698.25",junk,SAR,CANCELLED,FJR,!!!,!!!,,Y24,15,SAR,,,x,,,
C47923,A-1069244,2024-06-10,7496.35,junk,USD,In Review,AUH,ok,ok,,,62,USD,,,,,,
C25141,A/53955,19 June 2024,22013.07454969841,,OMR,,SHJ,,,,,m6,OMR,,,,,,
C54716,A/47316,Jun-03-24,-871.0,,SAR,,AUH,,,,0,,SAR,,,,,,
C91101,A/92612,2024-06-15 00:00:00,1052.01,,GBP,,SHJ,ok,ok,,Y24,23,GBP,,,,,x,
C87731,A-3845745,18/06/2024,,,eur ,CANCELLED,DXB,!!!,!!!,,Y24,,EUR,,,,,,
C20488,A-9114895,2024-06-20 00:00:00,(11252.64),,USD,,RAK,ok,ok,,Y24,m6,USD,,,,,,
C70156,A-1713060,16/06/2024,,,AED,Closed,UAQ,ok,ok,,0,m6,AED,,,,,x,
C46342,A-8290130,2024-06-21 00:00:00,,,OMR,Open,DXB,ok,ok,,0,m6,OMR,,,x,,,
C45455,A-9678327,Jun-16-24,-851.59,junk,SAR,Pending,RAK,ok,ok,,Y24,25,SAR,,,,,,
C58501,A-5013791,18 June 2024,14061.01792163549,,AED,Closed,AAN,,,,Y24,m6,AED,,,x,,,x
C96608,A-3506066,2024-06-02,5867.43,junk,EUR,Open,AUH,ok,ok,,Y24,m6,EUR,,,,,,
C82380,A-9645824,2024-06-14 00:00:00,,,SAR,,RAK,needs review,needs review,,Y24,,SAR,,,,,,
C56457,A-7306589,2024-06-18,,,SAR,Closed,RAK,!!!,!!!,,Y24,,SAR,,,,,x,
C55416,,Jun-18-24,,,USD,Closed,UAQ,,,,,m6,USD,,,x,,,
C14795,A/63246,Jun-03-24,not available,,GBP,Closed,DXB,ok,ok,,0,,GBP,,,,,,
C17463,A-1124568,02 June 2024,,,SAR,Pending,SHJ,needs review,needs review,,Y24,m6,SAR,x,,,,,
C73556,A-6328584,2024-06-08,"21,870.86",,OMR,Pending,SHJ,ملاحظة,ملاحظة,,0,97,OMR,,,,,x,
C45918,A-6020121,Jun-21-24,(3210.97),,EUR,Open,RAK,,,,Y24,,EUR,,x,,,x,
C47978,,32/13/2023,1426.89,,AED,,UAQ,,,,Y24,m6,AED,,,,,,
C70614,A-6754398,15/06/2024,(7811.43),,USD,,FJR,ملاحظة,ملاحظة,,1,m6,USD,,,,,x,
C61005,A-3619936,27 June 2024,not available,,AED,In Review,AAN,ملاحظة,ملاحظة,,,11,AED,,,,,,
C33005,A-4271112,Jun-19-24,"3,460.23",,AED,Closed,RAK,,,,0,m6,AED,x,,,,,
C90157,,Jun-13-24,-4639.374809073367,,AED,,UAQ,,,,Y24,,AED,,,x,,,
C97983,,2024-06-23,(1265.99),,omr ,In Review,  AAN,ok,ok,,Y24,m6,OMR,,,,,,
C41105,A-8050082,2024-06-05,(4782.28),,OMR,CANCELLED,AAN,,,,Y24,,OMR,,,,,,
,A-9703741,2024-06-27 00:00:00,17263.56,,EUR,In Review,UAQ,needs review,needs review,,0,m6,EUR,,,,x,,
C34810,A-7216278,2024-06-04 00:00:00,24439.17,,EUR,Open,  AAN,needs review,needs review,x,1,62,EUR,,,,,,
C58315,A-1396773,19 June 2024,,,GBP,Pending,RAK,needs review,needs review,,Y24,m6,GBP,,x,,,,
C29550,A-3553797,2024-06-17,,junk,OMR,,FJR,needs review,needs review,,Y24,,OMR,,,,x,,
C21827,A/78908,04 June 2024,26072.61,,GBP,Pending,UAQ,ملاحظة,ملاحظة,,Y24,m6,GBP,,,,,,
C74120,,32/13/2023,790.01,,AED,Closed,  UAQ,ok,ok,,Y24,m6,AED,,,,,,
C51897,A-1057245,2024-06-13,3619.67,,SAR,Pending,SHJ,,,,Y24,,SAR,,,,,,
C59657,A-8507303,07/06/2024,(2556.62),,EUR,Closed,UAQ,ok,ok,,,m6,EUR,,,,,,
C60931,A-7419711,2024-06-21 00:00:00,-3905.346163865989,,USD,,RAK,ok,ok,x,1,,USD,,,,,,
C57558,,06/06/2024,19791.66,,AED,In Review,  AAN,ملاحظة,ملاحظة,,1,m6,AED,,x,,,,
,A/26853,2024-06-17 00:00:00,15474.91,,AED,Open,UAQ,,,,Y24,52,AED,x,,,,,
C39187,A-4039948,15 June 2024,,,EUR,Pending,AUH,ملاحظة,ملاحظة,,Y24,95,EUR,,,,,,
C80251,A-2306172,Jun-03-24,11092.81078674489,,SAR,,SHJ,,,,Y24,81,SAR,,,,,,
C41769,A/73383,15/06/2024,8503.045780743045,,USD,Open,AUH,!!!,!!!,,,m6,USD,,,,x,,
C15819,A-4926633,2024-06-06 00:00:00,20599.43,,OMR,Pending,SHJ,,,,,,OMR,,,,,,x
C13958,A-6389300,0000-00-00,4098.94,,USD,,  FJR,,,,,27,USD,,,,,,
C65946,A-7049214,10/06/2024,-7113.178103470072,,OMR,,AUH,ملاحظة,ملاحظة,,Y24,m6,OMR,x,,,,,
C29162,A-2384597,15/06/2024,-138.780639039485,junk,GBP,In Review,DXB,needs review,needs review,,1,m6,GBP,,,,x,,
C67604,A-4392420,Jun-14-24,6095.98,,omr ,CANCELLED,DXB,ok,ok,,,m6,OMR,,,,x,,
C84122,A-5020445,09/06/2024,21071,,aed ,Closed,UAQ,needs review,needs review,,1,45,AED,,,,,,
C92483,A-5268027,18/06/2024,"-2,841.19",,USD,Open,DXB,needs review,needs review,,Y24,m6,USD,,,,,,
C31708,A-9625980,2024-06-14 00:00:00,24857.43,,EUR,,SHJ,ملاحظة,ملاحظة,,Y24,,EUR,,,,,,
C95329,,32/13/2023,-745.92,,EUR,,AUH,needs review,needs review,,Y24,m6,EUR,,,,,,
C95064,A-1318447,04/06/2024,"-6,252.53",,eur ,Pending,  FJR,!!!,!!!,,Y24,,EUR,x,x,,x,,
C88580,A-3022591,09 June 2024,22081.68,,OMR,Pending,UAQ,,,,Y24,m6,OMR,x,,,,,
C52575,A-5518500,23/06/2024,17462.02,,AED,In Review,SHJ,,,,Y24,96,AED,,,,,,
C94675,A-3176712,02 June 2024,21525.83,,AED,Open,AUH,,,,Y24,m6,aed ,,,,,,
C37107,A/51695,2024-06-08,,,USD,Pending,SHJ,needs review,needs review,,1,15,USD,,,,,,
C77208,A-9423732,18 June 2024,1695.33,,GBP,,UAQ,,,,1,m6,GBP,,,,,x,
C49493,A-7742479,32/13/2023,22831.4,,EUR,,AAN,,,,,,EUR,x,,x,,,
C42917,A/68913,22 June 2024,(4713.25),,sar ,Open,SHJ,,,,,m6,SAR,,,,x,,
C83918,A-5726978,2024-06-23 00:00:00,,,OMR,,SHJ,ok,ok,,Y24,95,OMR,,,,x,,
C96714,A-3892825,2024-06-04,,,AED,,AUH,needs review,needs review,,,m6,AED,,,,,,
C53440,,2024-06-17,8922.202389567465,,AED,Closed,FJR,needs review,needs review,,Y24,,AED,,,,,,
C99089,A-6738939,2024-06-08,11110.77,,USD,CANCELLED,UAQ,ok,ok,,0,m6,USD,,,,,,
C74287,A-5847066,12 June 2024,not available,,GBP,CANCELLED,DXB,,,,0,m6,GBP,,,x,,,
C41061,A-3857233,0000-00-00,1883.91,junk,SAR,Closed,FJR,needs review,needs review,,0,m6,SAR,,,,,,
C97753,A-8787836,24 June 2024,26818.45362502182,,AED,CANCELLED,AUH,ملاحظة,ملاحظة,,,,AED,,,,,,
C73896,A-7848409,2024-06-28,10607.94,junk,GBP,In Review,FJR,,,,Y24,35,GBP,,,,x,,
C80888,A-9415871,03 June 2024,-1443.61,,USD,CANCELLED,AAN,ok,ok,,,,USD,,,,,,
C77324,A-6314911,2024-06-17,1625.62,,EUR,,FJR,needs review,needs review,,,,EUR,x,,,,,
C40574,A-6971603,07 June 2024,4839.08,,EUR,,  RAK,,,,Y24,m6,EUR,,,,x,,
C64601,A-7037709,2024-06-03,8103.22,,AED,Pending,RAK,ok,ok,,1,m6,AED,x,,,,,
C45341,A-4322330,Jun-10-24,19559.24,,EUR,Pending,AAN,,,,0,58,EUR,,,,,,
C49762,A-9142304,2024-06-20,29374.45,,EUR,,UAQ,ok,ok,,Y24,,EUR,x,,,,,
C48687,A-1862613,32/13/2023,3817.1,,GBP,Closed,AAN,ok,ok,,Y24,56,gbp ,,x,,x,,
C46117,A-5999880,2024-06-18,18579.13,,AED,CANCELLED,AAN,ملاحظة,ملاحظة,,0,m6,AED,,,,x,,x
C74230,A-9794528,32/13/2023,(5344.15),junk,EUR,CANCELLED,  AUH,,,,,,EUR,,,,,,
C80641,A-9919064,2024-06-23,,junk,GBP,Pending,AAN,ملاحظة,ملاحظة,,,m6,GBP,,x,,,,
C47471,A-8845421,23 June 2024,,,EUR,Pending,RAK,needs review,needs review,,Y24,m6,EUR,,,x,,,
C58511,A-3641917,2024-06-20,7057.33,,SAR,CANCELLED,FJR,,,,,10,SAR,,,,,,x
C88568,A-1499611,14/06/2024,4164.41,junk,SAR,In Review,  DXB,ok,ok,x,,,SAR,,,,,,
C55795,A-9020670,Jun-04-24,(516.59),,GBP,,DXB,ok,ok,,Y24,m6,GBP,,,,,,
C52376,A-9739609,2024-06-24,,junk,EUR,CANCELLED,SHJ,,,,Y24,m6,eur ,,,,,,
,A-2701482,,25366.03,,USD,CANCELLED,DXB,needs review,needs review,,Y24,,USD,,,,,,
C30056,A-9230611,32/13/2023,22699.45,,SAR,Closed,FJR,needs review,needs review,,,m6,SAR,,x,,,,
C41289,A-4360371,10 June 2024,not available,,EUR,,RAK,ok,ok,,,,EUR,,,,,,
,A-4987222,2024-06-08,21141.15,junk,AED,Open,DXB,,,,Y24,,AED,,x,,,,
C47049,A-1524898,32/13/2023,-3313.66,,EUR,Pending,SHJ,needs review,needs review,,1,32,EUR,,,,,,
C88696,A-4310058,,5127.254398612904,,GBP,In Review,RAK,needs review,needs review,,Y24,58,GBP,,,,,,
C52792,A-5414964,Jun-23-24,-273.39,,USD,Pending,SHJ,,,,Y24,32,USD,,,x,x,,
,A-8569749,04/06/2024,6070.91,,USD,,UAQ,needs review,needs review,,0,,USD,,,x,,,
C55114,A-6426392,2024-06-16,27919.39,junk,OMR,,RAK,ok,ok,,Y24,69,OMR,,,,,,x
C51263,A-6653246,32/13/2023,27765.92015026845,,EUR,Closed,UAQ,needs review,needs review,,0,82,EUR,,,,,,
C24455,A-1259882,2024-06-12,(4001.97),,OMR,Pending,AAN,,,,,m6,OMR,,,,x,,
C23836,A-2074090,13 June 2024,not available,,SAR,,UAQ,ok,ok,,0,,SAR,,,,,,
