IDs,IDs,Dates,Amounts,Amounts,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta
C99700,A-7424735,,-4497.93,-4482.893439344304,SAR,Closed,UAQ,needs review,needs review,,Y21,,,x,,,,,
C22947,A-6487732,,"-2,578.13",-2578.13,AED,CANCELLED,AUH,!!!,!!!,,Y21,,,,x,,,,x
C16422,A-7695250,,19360.51,19384.12513555745,AED,CANCELLED,UAQ,,,,Y21,m11,,x,,,,,
C71458,A-7067236,,25024.66,25024.66,EUR,CANCELLED,AAN,ok,ok,,Y21,,,,,,,,
C23513,A-8252109,,,-7553.14,EUR,Closed,AAN,,,junk,,m11,,,x,,,,
C97011,A-2425829,,"1,338.52",1333.913774638279,AED,In Review,AAN,ok,ok,,Y21,,,,,,,,
C60587,A-9759621,x,(29917.30),,USD,,AUH,needs review,needs review,,1,68,,,,x,,,
C55103,A-2938975,,21985.03,"21,985.03",GBP,Pending,FJR,ok,ok,,Y21,m11,,,,,,,
C62390,A-5649672,,"19,962.42",19962.42,EUR,Pending,UAQ,,,,Y21,m11,,,,,,,
C65173,A-2404567,,17558.17485287665,17547.02,EUR,Pending,AUH,ok,ok,,Y21,m11,,,,,,,
C82985,A-1006355,x,8091,"8,091.00",AED,CANCELLED,FJR,needs review,needs review,,,m11,,,,,,,
C37199,A-8904283,,4326.33,4300.321806185647,SAR,In Review,  FJR,needs review,needs review,,Y21,m11,,,x,,,,
C42363,A-2684827,,2934.1,,SAR,Open,AAN,needs review,needs review,,Y21,m11,,,,,,,
C74050,A-8224819,,-5779.36,-5779.36,SAR,CANCELLED,AUH,ok,ok,,,m11,,,x,x,,,
C53374,A-2440151,,"11,264.88",11264.88,OMR,Pending,UAQ,ملاحظة,ملاحظة,,1,m11,,,,x,,,
C87211,A-3499226,,9558.05,(9558.05),GBP,,SHJ,,,,,m11,,,,,,,x
C91726,A-9368971,,-5398.24,,AED,,UAQ,ok,ok,,Y21,m11,,,,,,,
C85248,A-4634386,,13676.94,13676.94,AED,Open,SHJ,needs review,needs review,,1,m11,,,x,,,,
C23948,A-3095717,,not available,,USD,CANCELLED,RAK,ok,ok,,,m11,,,,,,,
C27003,,,"11,038.03",11038.03,AED,Pending,FJR,,,,,,,,,,,,
C44218,A-9257645,,(28158.46),28158.46,GBP,CANCELLED,AUH,ok,ok,,0,,,x,,,,,
,A-8854738,x,4163.68,4163.68,EUR,Closed,DXB,ok,ok,,Y21,m11,,,,,,,
C86505,A-5528846,,,20279.78,OMR,,AUH,needs review,needs review,,Y21,m11,,,,,,x,
C49537,A-8455543,x,7576.38,7576.38,SAR,In Review,UAQ,ok,ok,,,m11,,,,x,,,
C24436,A-2866569,,9732.47137486434,(9736.39),SAR,Pending,DXB,ok,ok,,Y21,,,x,,,,x,
C25249,A-5470306,,-3964.93,,EUR,,RAK,,,junk,Y21,,,x,,,,,
C17679,A-2639136,,-3100.9,-3100.9,OMR,,RAK,needs review,needs review,,1,,,,,,,,x
C25840,A-1794574,,(2980.88),(2980.88),OMR,CANCELLED,AAN,ملاحظة,ملاحظة,junk,Y21,m11,,,,,,,
C60815,A-6784940,,27624.87,27624.87,OMR,Open,RAK,!!!,!!!,,Y21,27,,,,,,,
C91850,A-3911182,,17304.19,,AED,Pending,FJR,needs review,needs review,,Y21,m11,,,,,,,
C38998,A-2954313,,,-6501.92,SAR,,AAN,ok,ok,,,52,,x,,,,,x
C75322,A-9774122,,"5,433.84",,SAR,Closed,SHJ,,,,Y21,98,,,x,,,,
C31610,A-4023746,,,28875.88,GBP,Closed,SHJ,ok,ok,,Y21,m11,,,,,,,
C32086,A-9220334,,-1838.9348841604767,-1851.44,GBP,In Review,SHJ,,,,0,,,,,,,,
C44511,A-7056171,x,,691.7351147236849,EUR,Closed,AUH,ملاحظة,ملاحظة,,Y21,23,,,x,,,,
C74599,A-7101602,x,17046.38,,GBP,CANCELLED,FJR,ok,ok,,Y21,m11,,,,x,,,
C97134,A-1714229,,(24800.52),24800.52,GBP,,AAN,ملاحظة,ملاحظة,,0,m11,,,,,,,
C48274,A-5308258,,,,USD,In Review,FJR,ok,ok,,,m11,,,,,,,
C64995,A-7699199,,27894.58,27894.58,SAR,,AAN,,,,Y21,m11,,,,,x,,x
C89507,A-1908505,,-2312.59,-2312.59,SAR,,FJR,,,,0,m11,x,,,,,,
C13403,A/34341,x,,,EUR,In Review,DXB,ok,ok,,,92,,,,,,,x
C45285,A-2329821,,"16,580.27",(16580.27),OMR,Closed,SHJ,!!!,!!!,,Y21,m11,,,,,,,
,A-9139474,x,"9,398.12",9398.12,GBP,Open,AUH,ملاحظة,ملاحظة,,1,m11,,,,x,,,
,A-4976215,,3446.136545646106,3423.03,AED,,FJR,needs review,needs review,,1,,,,x,,,,
C76147,A-9031570,,23241.42,(23241.42),AED,In Review,RAK,ok,ok,,Y21,,,,,,,,
C32323,A-5555138,,8944.39,8944.39,GBP,,RAK,ok,ok,junk,,,,x,,,,x,
C24282,A-3650024,,339.0504021888067,323.67,OMR,In Review,SHJ,,,,Y21,74,,x,,,,,
,A-9823846,,18352.28351841327,(18321.32),eur ,Pending,  AUH,ok,ok,,Y21,,,,,,,,
C91841,A-9259959,,"29,164.44",29132.803862340275,USD,CANCELLED,UAQ,!!!,!!!,,,87,x,,x,,,,
C74843,A-3099919,,-3018.53,-3018.53,GBP,Closed,SHJ,ok,ok,,Y21,,,,x,,,,
C47261,A-9556048,,,13685.68,USD,In Review,SHJ,,,,,,,,,,,,x
C40554,A-4014106,,21575.23,21575.23,USD,Pending,FJR,,,,Y21,m11,,,x,,,,
C32305,A-4629368,,19142.55,19137.62808596852,OMR,Pending,FJR,ملاحظة,ملاحظة,junk,Y21,m11,,,,,,,
C94636,A-3616808,,1327.425105496623,1377.15,USD,In Review,RAK,ملاحظة,ملاحظة,junk,Y21,,,,,,x,,
C50038,A-6460048,,,9109.211275530562,OMR,Open,RAK,ok,ok,,Y21,45,x,,,,,,x
C43539,A-6720371,,,,GBP,In Review,AUH,ملاحظة,ملاحظة,,Y21,31,,x,,,,,
,A-2428365,,not available,not available,SAR,Closed,AUH,ok,ok,junk,Y21,,,,,,,,
C82949,A-6994590,,5102.41,5102.41,aed ,,FJR,,,,,m11,,,,,,,
,A/30862,,"-3,385.79",,OMR,,  AUH,ok,ok,,1,53,,,,,,,
C13572,A/22078,,27349.63920649603,27349.65322644305,OMR,,  AUH,needs review,needs review,,0,m11,,x,,,,,
C74143,A-9025993,,24783.793063718545,not available,SAR,CANCELLED,AAN,ok,ok,junk,,m11,,,,x,,,
C83675,A-9324833,x,-3976.55,-3976.55,GBP,Open,UAQ,ملاحظة,ملاحظة,,Y21,m11,,,,x,x,,
C50092,A-1939475,,8380.31,(8380.31),OMR,Open,SHJ,ok,ok,junk,1,m11,,x,,,,,
C39678,A-4287387,,16109.93,"16,109.93",OMR,,RAK,!!!,!!!,,,m11,,,,,,,
C36255,A-5476063,,11905.58,11905.58,eur ,Open,AAN,needs review,needs review,,Y21,m11,,,,,,,
C30078,A-3989912,x,23379.62924791693,23384.38,OMR,CANCELLED,FJR,needs review,needs review,,0,55,,,,,,x,x
C90449,A-9987745,,"14,178.90",14227.87,OMR,Closed,  DXB,needs review,needs review,,0,m11,,,,x,,,
C94399,A-4503289,,29878.25,29878.25,AED,In Review,UAQ,ملاحظة,ملاحظة,,0,,,,,,,,
,A-1260177,,,"-3,106.27",EUR,In Review,UAQ,ok,ok,,Y21,m11,,,,,,,
C11217,A-7819294,,-6237.57,-6237.57,USD,Closed,FJR,ملاحظة,ملاحظة,,0,,,,,,,x,
C54419,A-9946716,,24876.45,24924.09327073883,OMR,Pending,SHJ,ملاحظة,ملاحظة,,Y21,m11,x,,,,,,x
C12419,A-9116406,,20182.05,(20182.05),USD,CANCELLED,DXB,!!!,!!!,,Y21,,,,,,,,
,A-5003987,,2100.96,2122.5114307946274,EUR,Closed,DXB,needs review,needs review,,,,,,,,,,
C92011,A-8351759,,,22002.9,EUR,,SHJ,,,,Y21,m11,,,,x,x,,
C36484,A/30531,,"-2,974.00",not available,USD,In Review,  RAK,!!!,!!!,,,m11,,,,,x,,
,A-7651858,x,,24012.87,GBP,,AUH,!!!,!!!,,0,m11,,,,,,,
,A-3991528,,20951.21,20927.57503936903,OMR,Open,DXB,needs review,needs review,,,,x,,,x,,,
C72583,A/7808,,,6009.81,GBP,In Review,  DXB,needs review,needs review,,Y21,,,,x,,,,
C70108,A/22820,,"1,266.31",1299.29,usd ,In Review,DXB,,,,0,,,,,,,,x
C99707,A-3645398,,8504.64,8481.469253805806,AED,,UAQ,!!!,!!!,,,32,,,,,x,,
C99167,A/96278,,126.63,,GBP,Closed,FJR,,,,Y21,m11,,,,,,,
C41304,,,15130.56,15094.127905301844,SAR,,  AAN,!!!,!!!,,Y21,m11,,,,,,,
C99790,A-5392793,,-2496.95,-2485.837769023586,AED,Pending,AAN,,,,Y21,m11,,,,,,,x
C48059,A-1405983,,-7666.53,-7716.350090946541,usd ,,UAQ,needs review,needs review,,1,,,,,x,,,
C38560,A-2497666,,-6136.0968393246385,,GBP,Closed,UAQ,needs review,needs review,,Y21,m11,,,,x,,,x
,A/48274,,11409.68586279442,11385.25,AED,In Review,SHJ,!!!,!!!,,Y21,m11,,,,,,,
,A-7574379,,(10443.02),10443.02,GBP,Pending,RAK,ok,ok,,,m11,,,,,,,
,A-1525255,,-7445.928006328273,,EUR,,DXB,ok,ok,,Y21,m11,,,,,,,
,A-2773259,,26027.36,26027.36,SAR,Closed,RAK,,,,1,,,,,,,,
C85228,A-4842247,,25329.9,,EUR,,FJR,ok,ok,,Y21,m11,x,,,,x,,
,A-8025480,,28835.69,not available,GBP,In Review,UAQ,ملاحظة,ملاحظة,,1,30,,,,,,,
C56683,A-6398507,,,1384.307349463315,AED,,AAN,ok,ok,,,,x,,x,,,,
C42266,A-7096599,,16752.31614192886,"16,709.80",EUR,Closed,  AAN,!!!,!!!,,1,,,,,,,x,
C25431,A/5444,,5725.35,5725.35,AED,Open,AUH,,,,,m11,,,,,,,
C69765,A-2024025,,,6669.886595237715,SAR,Open,SHJ,ok,ok,,1,m11,,,x,,,,
C97258,A-1513994,,,16240.67,EUR,Closed,FJR,,,,Y21,,,,,,x,,
C77142,A-4862967,,14470.755753351606,(14509.52),USD,,RAK,needs review,needs review,,1,m11,,,,,,,
C37744,A-1361489,,-3692.39,,EUR,Closed,AAN,ملاحظة,ملاحظة,,0,84,x,,,,,,
C32107,A-8575766,,"19,734.08",19712.47,AED,In Review,FJR,!!!,!!!,,,10,,,x,,,,
C89727,A-9526572,,16397.76883427635,16382.64200862283,SAR,,SHJ,needs review,needs review,,Y21,33,,,x,,,,
C24531,A-2968854,,-4993.1,-4993.1,GBP,Pending,  DXB,ok,ok,,1,m11,,,,,,,
C46941,A-4461226,,"24,544.73","24,544.73",EUR,CANCELLED,RAK,ok,ok,,,,,,,,,x,
C18887,A/53151,,13486.07,13486.07,AED,In Review,AUH,,,,Y21,m11,,,,,,x,
C83425,,,"22,405.16",22373.31720979397,EUR,,RAK,ok,ok,,1,m11,,,,,,x,
,A-1311738,,-3576.082124630905,,SAR,,RAK,!!!,!!!,,1,m11,,,,,,,
C42040,A-9180519,,-3622.5825370539324,-3639.36,AED,,RAK,ok,ok,,0,21,,,,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,,,
BUYER_ID, Account ID  ,Unnamed: 0,Amt,amount (aed),CCY_CODE,Approval_Status,_branch_region__,remarks (v2),OPS_COMMENT,,year_added_2021,new_col_202111,Unnamed: 0,mystery_2021_11_39,mystery_2021_11_40,mystery_2021_11_53,mystery_2021_11_48,mystery_2021_11_9,Unnamed: 0
C25414,A-1009853,,-1907.33,-1918.080638669619,AED,In Review,RAK,!!!,!!!,,Y21,,,,,,,,
C96267,A-1445204,,10858.73,10858.73,OMR,In Review,AUH,,,,Y21,m11,,,,,,,
C87293,A-5337351,,23232.75,"23,232.75",OMR,In Review,DXB,,,,Y21,44,,,,,,,
C41574,A-8021200,x,-3697.7689007566355,-3658.9503801759306,GBP,In Review,UAQ,,,,Y21,60,,,,,x,,
C26977,A-6567489,,"17,258.28",17258.28,AED,In Review,RAK,,,,1,,,,,,,,x
C17848,A-3591294,,14604.74,14612.49425870156,GBP,,RAK,ok,ok,,,m11,x,x,,,,,
C95800,A-7874584,,22186.45,22186.45,OMR,Closed,RAK,needs review,needs review,,Y21,48,,,,x,,,
C56950,A-9883402,,,"26,953.35",EUR,CANCELLED,  SHJ,needs review,needs review,,Y21,,,,,x,,,
C43897,A-2145418,,9404.01,9404.01,AED,Pending,SHJ,ok,ok,,Y21,20,,x,x,,,,
,A-4326073,,11311.391966360488,11264.47,GBP,,RAK,ملاحظة,ملاحظة,,0,m11,,,,,,,
C71755,A-1268680,x,-140.30,-108.14,EUR,,  UAQ,,,,Y21,77,,,x,,,,
C67212,A-1153139,,"13,646.46",,OMR,In Review,  AUH,,,,0,,,,,,,x,
C70211,A-6266486,,8280.87,8280.87,USD,,SHJ,needs review,needs review,,0,84,,,,,,,
C91006,A-3774689,,(18136.89),18136.89,OMR,CANCELLED,  RAK,ok,ok,,Y21,67,,,,,,,
C98931,,x,"11,612.87","11,612.87",GBP,CANCELLED,DXB,,,junk,Y21,,x,,,,,,x
C12951,A-2304892,,2962.2668719058174,3025.627417043688,AED,Open,AUH,,,,Y21,,,,,,,,
C81390,A-5866941,,25072.83,25072.83,USD,In Review,UAQ,ok,ok,,Y21,31,,,,,x,,x
C33156,A/67390,x,27693.38,not available,OMR,Open,RAK,needs review,needs review,,1,m11,,,,,,,
,A-4891154,,15534.20513817983,,OMR,In Review,AUH,ok,ok,,1,,,,,,,,
C50820,A-5784202,,18398.05,"18,394.76",USD,,FJR,needs review,needs review,,0,m11,,x,,,,,
C26052,A-5460457,,5062.65726939095,not available,GBP,In Review,RAK,ok,ok,,Y21,m11,,,,,,,
C50093,A-7220860,,22748.67317639341,22762.17,OMR,,  AAN,ok,ok,,Y21,75,x,,,x,,,
C35576,A-7687395,,-1935.78,not available,omr ,Pending,RAK,ok,ok,,,87,,,,,,,
C81010,A-2330809,,25438.86,25438.86,EUR,In Review,AUH,ok,ok,junk,Y21,82,,,,,,,
C88344,A-7875190,,,7461.797450915382,SAR,In Review,SHJ,needs review,needs review,,1,,,,,,,,x
C43362,A-7388026,,"3,494.61",3494.61,OMR,Open,FJR,ok,ok,,Y21,88,,,,,,,
C44292,A-7722897,,"13,262.84",13239.56293026362,USD,Closed,RAK,ok,ok,,,,,,,,,,
C56819,A-1027886,,,13496.99,USD,Open,AAN,ok,ok,junk,0,,,,,x,,,
,A-5038871,,5590.38,"5,590.38",OMR,,UAQ,,,,,m11,,,,,,,x
C22905,A-6586192,,-5086.09,-5086.09,SAR,CANCELLED,AUH,needs review,needs review,,,58,,,,,x,,
C17914,A-3159987,,-5617.49,"-5,617.49",OMR,,RAK,,,junk,Y21,,,,,,,,
C22280,A-7002727,,28630.874556195016,28593.16605176055,EUR,Closed,UAQ,ok,ok,,,,,,x,,x,,
C75022,A-8114120,x,3021.55,3057.815974105225,GBP,,  SHJ,ok,ok,,Y21,m11,,,,,,,
C91405,A-4876568,,27763.52,,AED,Closed,UAQ,,,,Y21,m11,,,,,,,x
C72950,A-7205343,,27694.73,not available,GBP,CANCELLED,AUH,ملاحظة,ملاحظة,,Y21,m11,,,x,,x,,x
C29394,A-8905403,,-5996.17,(5957.45),USD,,AUH,ok,ok,,,,,x,,,,,
,A-7441237,,16855.39373371899,,USD,In Review,  DXB,!!!,!!!,,Y21,29,,,,,,,
C88823,A-4234038,,-4538.65,"-4,538.65",GBP,CANCELLED,RAK,ok,ok,,0,,,,,,,,
C92596,A-9731984,,29334.97,29334.97,USD,CANCELLED,AAN,ok,ok,,Y21,m11,x,,,x,,,
C79419,A-6390429,,,1918.15,AED,Open,FJR,,,,Y21,,,,,,,,
C48508,A-9062734,,9698.17,9698.17,USD,Pending,RAK,ok,ok,,,84,,,x,,,,
C17256,A-6797054,,22581.79933208113,"22,539.78",SAR,,SHJ,ok,ok,,Y21,m11,x,,,,x,,
C95235,A-5146250,,(3623.29),,GBP,In Review,RAK,needs review,needs review,,Y21,m11,,,,,,,
C75470,A-9372160,,21346.75,,OMR,Closed,FJR,needs review,needs review,,0,,,,,,,,
,A-1741562,,,-880.13,eur ,,SHJ,ملاحظة,ملاحظة,,Y21,,,,x,,,x,
C38101,A-6760254,,"-1,460.24",-1486.546632354672,AED,Closed,  DXB,!!!,!!!,junk,Y21,,,,,x,,,
,A-4943342,,-6978.33,,OMR,CANCELLED,UAQ,,,,Y21,27,,,,,,,x
C95971,A-7210898,,-2389.878931877642,-2394.96,SAR,Pending,SHJ,needs review,needs review,,,m11,,,,,,,
C49315,A-7597130,,10999.77,10999.77,OMR,,RAK,,,,Y21,m11,,,,,x,,x
C98949,A-6156279,x,not available,,SAR,Pending,  RAK,needs review,needs review,,1,m11,,x,,,,,
C83891,A-2813383,x,"24,332.60","24,344.26",omr ,,UAQ,,,,1,m11,,,,,,,
C28452,A-4787292,,23775.26,23775.26,SAR,,RAK,,,junk,,m11,,x,,,,,
C26017,A-1197954,,19762.81,19762.81,EUR,Open,FJR,needs review,needs review,,1,81,,,,,,x,
C13916,,,27618.62,27646.3635563416,GBP,Open,RAK,ملاحظة,ملاحظة,,Y21,,,,,,,,
C51452,A-6004447,,,"20,105.05",USD,In Review,RAK,ok,ok,,Y21,m11,,,,,,,x
C69957,A-1506033,,28616.02393772987,"28,598.54",EUR,CANCELLED,AAN,ملاحظة,ملاحظة,,Y21,,,,x,,,,
C80030,A-4274321,,5881.33,"5,858.89",USD,Open,SHJ,needs review,needs review,,0,,,,,,,x,
C50434,A-1571364,,1129.846364072362,1066.771287979642,OMR,Pending,DXB,,,,Y21,,,,,,,,
,A-9488653,,"3,093.39",3093.39,OMR,CANCELLED,AUH,ok,ok,,Y21,m11,,,,,,,
C86091,A-7808048,,,-1117.650512418224,AED,In Review,UAQ,,,,,m11,,,,,,x,
C51451,A-5761234,,"11,214.63",11214.63,GBP,CANCELLED,RAK,ok,ok,,Y21,,,,,,,,
C70241,A-3507272,,"16,258.69",16241.69720391646,GBP,,AAN,ok,ok,,,m11,,,,,,,
C71263,A-4982484,,,,SAR,Open,AAN,ok,ok,,Y21,,,,,,,,
C98667,A-5105022,,7804.74,7804.74,USD,Pending,FJR,,,,Y21,m11,,,,,,,
C63006,A-3635213,,10144.02100619904,10097.65,SAR,,FJR,needs review,needs review,,Y21,m11,,x,,,,x,
C17177,A-9609849,,-4181.17,-4181.17,SAR,CANCELLED,FJR,ok,ok,,Y21,15,x,,,,,x,
C99695,A-2972910,,21158.03,21158.03,USD,CANCELLED,AAN,ok,ok,,Y21,20,x,,,,,,
C81625,A-6738706,,1945.49,,OMR,,SHJ,ok,ok,,Y21,m11,,,,,x,,
C42636,A-1471429,,(4156.19),4120.73,USD,Open,SHJ,ملاحظة,ملاحظة,,Y21,,,,,,,,
,A-7258749,,20421.252894119763,20393.38,USD,CANCELLED,SHJ,ok,ok,,0,m11,,,,,,,
C99896,A-1588546,,12696.048744448168,12688.14,EUR,Open,FJR,needs review,needs review,,,30,,,,,,,
C40350,A-7632804,,not available,,GBP,CANCELLED,UAQ,ok,ok,,Y21,10,,,,,,,x
C98416,A-2040632,,7325.9,7325.9,AED,CANCELLED,RAK,,,,1,m11,x,,,,,,
C46435,A/13684,,(15768.97),15817.44945392225,SAR,CANCELLED,AUH,,,,Y21,m11,,,,,,,
C50642,A-2369438,,4697.63,"4,697.63",GBP,CANCELLED,AUH,needs review,needs review,,,51,,,,,,,
C77541,A-2107736,,-7253.74,-7253.74,AED,CANCELLED,RAK,needs review,needs review,,,,,,,,,,
C12937,A-8429370,,16850.68,16850.68,omr ,In Review,AUH,ملاحظة,ملاحظة,,Y21,m11,,,,,,,
C61359,A-7894001,,19056.87512232567,19034.23,AED,Closed,DXB,needs review,needs review,,Y21,32,,,,,,,
C87118,A-5679528,,-4685.05,-4685.05,eur ,CANCELLED,AAN,needs review,needs review,,Y21,94,,,,x,,,x
C17932,A-8009346,x,(10503.76),10503.76,EUR,,RAK,ok,ok,,Y21,m11,,,x,,,,
,,,"9,528.77",9528.77,OMR,Pending,FJR,needs review,needs review,,Y21,m11,,,,,,,
C98323,A-4859927,,-2305.2,-2305.2,USD,,DXB,,,,,73,,,x,,,,
C42077,A-5004758,,-6339.91,-6308.095839427636,AED,In Review,AAN,ملاحظة,ملاحظة,,Y21,66,,,,,,,x
,A-4824297,,,"18,697.00",SAR,In Review,UAQ,,,junk,1,m11,,,,,,,
,A-1011614,,,7854.62,OMR,,  UAQ,,,,1,27,,,,,,,
C69063,A-1232619,,689.12,(689.12),EUR,In Review,RAK,ok,ok,,,,,,,,x,,x
C51868,A-4979446,,,,SAR,Open,UAQ,,,,Y21,,,,,,,,
C54087,A-2679644,,"23,308.48",,AED,CANCELLED,  RAK,ok,ok,,1,,x,,,,x,,
C89317,A-3001035,,"1,699.04",1699.04,AED,Open,AUH,needs review,needs review,,,m11,x,,,,,x,
C95132,A-8923827,,13978.83892810434,"14,024.27",SAR,,DXB,,,,,m11,,,,,,,
C21837,A-9774429,,,,SAR,In Review,RAK,ok,ok,junk,Y21,m11,,,,,,,x
C78948,A-5276747,,16526.78,16564.69882022504,omr ,Open,  SHJ,,,junk,,71,,,,,,,
C74094,A-6788686,,-899.88,-899.88,USD,Closed,UAQ,needs review,needs review,,,99,,,,,,,
C76651,A-5494071,,-3715.33,-3715.33,GBP,Closed,SHJ,ok,ok,,,m11,,,x,,,,
C48896,A-8307427,,"3,294.01",3250.295739593083,OMR,Open,AAN,ok,ok,,Y21,84,,,,,,,
C44983,A-1524047,,-717.54,-723.1615329876062,EUR,,AUH,needs review,needs review,,Y21,25,,,,,,,
C10557,A-8948386,,-6838.78,"-6,870.46",USD,Pending,SHJ,needs review,needs review,,Y21,m11,,,x,,,,
C78969,A-4648760,,"21,032.94",21053.23491922372,USD,CANCELLED,SHJ,,,,Y21,36,,,,,,,x
C22856,A/36851,x,,"-3,249.99",GBP,,UAQ,ok,ok,,,85,x,,,,,,
,A-1102691,,28768.69,"28,768.69",AED,Pending,AUH,needs review,needs review,,1,m11,,,,,x,,
C70868,A-1367326,x,1031.16,,USD,Closed,DXB,needs review,needs review,junk,0,m11,,,x,,,,
C56522,A-6137668,,"9,286.95",9286.95,SAR,Closed,DXB,ok,ok,junk,Y21,,,,,,,x,
C98751,A-5738180,,,,OMR,In Review,DXB,ملاحظة,ملاحظة,,Y21,39,,,,,,,
C89480,A-9252632,,17658.59,17658.59,GBP,Open,AAN,needs review,needs review,,Y21,,,,,,,,
C54102,A/12240,x,20984.35,20984.35,AED,Pending,RAK,needs review,needs review,,0,m11,,,,x,,x,
,A-7223622,,(26940.68),26940.68,USD,,AAN,needs review,needs review,,1,34,,,,,,,
C88380,A-5703085,,5159.3,"5,143.99",USD,,RAK,,,,Y21,,,,,,,,
C76614,A-4562769,,15378.92,,SAR,Pending,FJR,ok,ok,,,m11,,,,,,,
C10333,A/48215,,,"16,821.64",SAR,Closed,SHJ,ok,ok,,Y21,,,,,,x,,
,A-2188185,,,223.97,USD,Closed,  SHJ,ملاحظة,ملاحظة,,0,m11,,,,x,,,
C69768,A-7852820,,1725.67,1686.947046333859,gbp ,Closed,DXB,ok,ok,junk,Y21,m11,,,,,,,
C49895,A-9630930,,21791.83,21791.83,GBP,Pending,SHJ,ok,ok,,,45,,x,,,x,,
C36420,A-3319017,x,26357.97,26357.97,GBP,Open,  UAQ,ok,ok,,Y21,m11,,,,,,,
C82036,A/14836,x,26686.95,26686.95,AED,Open,RAK,needs review,needs review,,Y21,32,,,,,,,
C88938,A-9780313,,,15575.0631282236,GBP,In Review,FJR,,,,0,m11,,,,,,,
C55362,,,23312.11,23312.11,SAR,CANCELLED,FJR,ملاحظة,ملاحظة,,1,m11,,,,,,,
C71952,A-9347977,x,2935.23,2935.23,USD,,  DXB,ok,ok,,Y21,,,,,,,,x
,A-4544827,,19048.74,19058.72984533628,OMR,,  AUH,,,,0,m11,,,,,,,
C39857,A/5274,,(4645.41),4609.139500212537,OMR,In Review,FJR,ملاحظة,ملاحظة,,Y21,,,x,x,x,,,
C76671,A-8306137,,(3402.51),-3402.51,GBP,Open,UAQ,ok,ok,,,47,,x,x,,,,
C41986,A-8456493,,,not available,OMR,Pending,SHJ,ok,ok,,Y21,,,,,,,x,
C18517,A-7193191,,15187.59732338806,15232.26,EUR,Open,SHJ,!!!,!!!,junk,Y21,38,x,,,,,,
