clientnumber,A/C No.,Txn Date, amount (aed)  #,AMT, ISO_CURR  , Approval Status  ,REGION,Notes, REASON_TEXT  ,,year_added_2023,new_col_202302,Account ID,mystery_2023_02_12,mystery_2023_02_84,mystery_2023_02_29,mystery_2023_02_11,Unnamed: 0
C46366,A-8715392,Feb-28-23,(5243.82),"-5,243.82",SAR,In Review,AAN,ok,ok,,,m2,A-8715392,,,,,
C27718,A-9839367,2023-02-04,not available,18326.72,OMR,,FJR,ملاحظة,ملاحظة,,Y23,m2,A-9839367,,,,,x
C28683,A-7534626,13/02/2023,(20083.18),20083.18,EUR,,FJR,ملاحظة,ملاحظة,,1,m2,A-7534626,,,,,
C94450,A-8748154,32/13/2023,(19992.35),"19,992.35",OMR,In Review,DXB,needs review,needs review,,0,m2,A-8748154,,,,,
C11305,A-2398096,2023-02-23,18238.44,18238.44,SAR,In Review,UAQ,,,,Y23,m2,A-2398096,,,,,
C51546,A-3430848,Feb-15-23,11753.67,,AED,,AAN,ok,ok,,,59,A-3430848,,,,,
C90204,A-5421268,2023-02-22,3559.846140010163,3549.46,GBP,Closed,RAK,ok,ok,,0,,A-5421268,,,,,
C36994,A-6305077,2023-02-26 00:00:00,-4763.83,-4713.893265945494,gbp ,Pending,DXB,needs review,needs review,,Y23,m2,A-6305077,,,,,
C30461,A/65868,26 February 2023,not available,not available,OMR,,DXB,needs review,needs review,,1,m2,A/65868,x,,x,,
C12809,A-9112194,24/02/2023,,24381.153637017494,EUR,,FJR,ملاحظة,ملاحظة,,,,A-9112194,,x,,,
C33150,A-3492914,20 February 2023,6836.81,6836.81,OMR,CANCELLED,AAN,,,,,m2,A-3492914,,,,x,x
C67999,A-7177205,28/02/2023,-2638.037228361245,-2600.08,USD,Open,RAK,,,,Y23,m2,A-7177205,,,,,x
C21346,A-2916528,32/13/2023,not available,,EUR,,UAQ,,,,Y23,29,A-2916528,,x,,,
C64293,A-8916526,06/02/2023,,28503.51,OMR,Closed,FJR,ok,ok,,1,90,A-8916526,,,,x,
C17423,A-2667829,,-2552.127083303463,(2528.06),EUR,Closed,FJR,ok,ok,,Y23,m2,A-2667829,,,,,
C94264,A-1470450,Feb-28-23,26525.55134303967,(26443.23),AED,,FJR,needs review,needs review,,0,,A-1470450,,,,x,x
C37798,A/87135,32/13/2023,-7876.1,-7905.524901413613,AED,In Review,FJR,!!!,!!!,,Y23,m2,A/87135,,,,,
C39152,A-9784413,2023-02-27,,not available,EUR,,FJR,needs review,needs review,,,m2,A-9784413,,,x,,
C12918,A-9478430,2023-02-22,5016.54,,SAR,CANCELLED,  AUH,ملاحظة,ملاحظة,,Y23,,A-9478430,,x,,,
C68218,A-5177635,03/02/2023,,28986.03,GBP,,UAQ,,,,0,,A-5177635,,,,,
,A-8992171,2023-02-10,26658.32,26658.32,AED,,RAK,ok,ok,,1,,A-8992171,,,,x,
C85827,A-9486490,24/02/2023,"-1,107.19",-1112.849263284825,EUR,,DXB,ok,ok,,,51,A-9486490,,,x,,
,A-8278740,0000-00-00,5508.16,5530.400209141785,GBP,,UAQ,!!!,!!!,junk,Y23,,A-8278740,,,,,
C57677,A-4945310,2023-02-26,-7778.2,"-7,767.89",GBP,In Review,SHJ,needs review,needs review,,,m2,A-4945310,,,,,
C61847,A-8740574,2023-02-12,"15,313.20",(15269.34),GBP,Closed,AUH,needs review,needs review,junk,,92,A-8740574,,,,,
C55051,A-3212087,32/13/2023,16327.14,16311.566576649042,SAR,,RAK,!!!,!!!,,Y23,,A-3212087,,,,,
C71614,A-8578665,,1198.8,1223.880435359564,AED,Closed,AUH,!!!,!!!,,Y23,63,A-8578665,x,,x,,
C71835,A-1692323,15 February 2023,14290.74,14290.74,GBP,CANCELLED,UAQ,ok,ok,,Y23,95,A-1692323,,,,,
C15294,A-8678985,2023-02-21,"21,416.96",(21416.96),GBP,,SHJ,ملاحظة,ملاحظة,,Y23,92,A-8678985,,,,,
C96275,A/84378,2023-02-22 00:00:00,11446.775435358717,11455.32,SAR,CANCELLED,DXB,ok,ok,,Y23,m2,A/84378,,,,,
,A-7931283,26 February 2023,20597.44,20597.44,OMR,Pending,UAQ,ok,ok,,Y23,,A-7931283,,,,,
,A-4729333,07 February 2023,9238.2,9238.2,AED,Pending,RAK,needs review,needs review,,Y23,,A-4729333,,,,,x
C96391,A-1714768,32/13/2023,,"17,016.33",EUR,Open,RAK,ملاحظة,ملاحظة,,0,,A-1714768,,,,,
C83311,A-8482543,2023-02-19 00:00:00,(5515.40),-5515.4,AED,In Review,SHJ,,,,Y23,m2,A-8482543,,,,,
C48115,A-3547893,2023-02-14,14834.14246053635,,SAR,Closed,RAK,ok,ok,,Y23,m2,A-3547893,,,,,
,A-5856244,Feb-27-23,10159.29,"10,159.29",EUR,CANCELLED,DXB,needs review,needs review,,Y23,m2,A-5856244,,,,x,
C53266,A-5823928,2023-02-11 00:00:00,-2730.67,-2730.67,EUR,Pending,AAN,ملاحظة,ملاحظة,,,m2,A-5823928,,,,,
,A-1220545,17 February 2023,-5634.91,not available,EUR,,AUH,,,junk,,m2,A-1220545,,,x,,
C43722,A-2157693,32/13/2023,"13,390.62","13,347.04",USD,In Review,FJR,ملاحظة,ملاحظة,,,m2,A-2157693,,,,,
C62126,A-9718976,03 February 2023,-7538.65,"-7,538.65",AED,,SHJ,needs review,needs review,,Y23,m2,A-9718976,,,,,
C38294,A-9528954,Feb-25-23,"16,415.56",,USD,,RAK,ok,ok,,0,m2,A-9528954,,,,,
,A-7463925,07/02/2023,-5797.16,-5801.81953494414,SAR,Open,  DXB,ok,ok,,Y23,m2,A-7463925,,,,,
,A-9337833,Feb-26-23,-5821.69,"-5,821.69",OMR,,RAK,ok,ok,,Y23,29,A-9337833,,,,,
C32093,A-8169949,2023-02-08,17723.348078805626,"17,686.54",OMR,Pending,AAN,ok,ok,,0,,A-8169949,,,,,
C20897,A-5195828,21/02/2023,4215.321043905872,not available,USD,CANCELLED,RAK,,,junk,0,32,A-5195828,,,,,
C82016,,15 February 2023,6404.04,6404.04,gbp ,Open,DXB,,,,0,m2,,,x,,,
C99301,A-5768897,32/13/2023,"20,092.69",20083.52,EUR,Closed,UAQ,!!!,!!!,,,97,A-5768897,,,,,x
C34007,A/38157,2023-02-24,(1469.88),,OMR,,  FJR,,,junk,,45,A/38157,,,,x,
C42538,A-5635849,20/02/2023,,-2743.16,SAR,Open,UAQ,,,,,,A-5635849,,,,x,x
C69655,A-3588530,22/02/2023,-7862.65,,AED,Open,RAK,ok,ok,,Y23,m2,A-3588530,,,,,
C93046,A-9784381,,(21816.99),,EUR,Open,FJR,needs review,needs review,,1,m2,A-9784381,,,,,
C34213,A-4735144,Feb-23-23,4813.45,4813.45,SAR,,FJR,needs review,needs review,,Y23,m2,A-4735144,,,x,,
C79863,A/57231,2023-02-05,,12726.79207464468,OMR,In Review,RAK,,,,Y23,,A/57231,,,,,
C45814,A-7945312,32/13/2023,-6893.522162124287,-6924.268807786063,OMR,,AAN,ok,ok,,,m2,A-7945312,x,,,,
C33460,A-5643875,2023-02-19 00:00:00,29381.12,29381.12,SAR,,DXB,ok,ok,,,80,A-5643875,,,,,
C31397,A-2906016,Feb-12-23,11953.29,,USD,CANCELLED,UAQ,needs review,needs review,,1,,A-2906016,,,,,
C59711,A-7056145,2023-02-20,1230.86654157485,"1,254.43",AED,,  SHJ,ok,ok,,Y23,,A-7056145,,,,,
C22533,A-5186921,Feb-28-23,(7768.61),not available,USD,CANCELLED,UAQ,,,,Y23,,A-5186921,,,,x,
C39051,A-9118235,2023-02-04,23461.56,23461.56,GBP,,  UAQ,,,,,47,A-9118235,,,,,
C22543,A-4400767,20 February 2023,"23,766.25",23800.873429178333,GBP,Open,RAK,!!!,!!!,,Y23,m2,A-4400767,,,,,
,A-1189734,01/02/2023,(10817.97),,gbp ,Pending,FJR,needs review,needs review,,,m2,A-1189734,,,,x,x
C39357,A-3727797,Feb-01-23,26799.61,26799.61,AED,CANCELLED,SHJ,ملاحظة,ملاحظة,,,,A-3727797,,,,,
C14693,A-4759788,15/02/2023,(14000.96),"14,000.96",EUR,,DXB,,,junk,1,,A-4759788,,,,,
C32684,A-5952295,20/02/2023,"-6,572.50",-6572.5,USD,Pending,AAN,,,,Y23,m2,A-5952295,,,,,
C15971,A-8458594,Feb-06-23,1417.46,1463.0793472386129,EUR,,AAN,needs review,needs review,,0,63,A-8458594,,,,,
,A-7172391,2023-02-08,820.6106696973419,772.92,USD,In Review,FJR,ok,ok,,Y23,76,A-7172391,x,,,,x
C22243,A-3672896,06 February 2023,"21,662.41",,OMR,,AUH,,,,1,m2,A-3672896,,,,,
C34818,A-2868169,27/02/2023,,12984.46,SAR,Closed,DXB,,,,Y23,,A-2868169,,,,,x
C23340,A-6478705,Feb-20-23,"14,272.71",,USD,CANCELLED,DXB,,,,,18,A-6478705,,,,,
,A-8563774,2023-02-28 00:00:00,22042.49,22042.49,sar ,,UAQ,needs review,needs review,,Y23,m2,A-8563774,,,,,
C36714,A-8228443,2023-02-16,,4421.55,OMR,CANCELLED,SHJ,ok,ok,,Y23,98,A-8228443,,,,,
,A-2663139,2023-02-10 00:00:00,(15845.61),15845.61,AED,In Review,FJR,!!!,!!!,,Y23,,A-2663139,,,,,
C49598,A-8397778,2023-02-25,not available,,OMR,,FJR,ok,ok,,,68,A-8397778,,,,,
C78266,A-8745460,23 February 2023,"29,188.53",not available,EUR,Pending,  AAN,needs review,needs review,,0,,A-8745460,,,,x,
C86117,A-7167228,2023-02-08 00:00:00,3413.27,3414.659527993055,OMR,Pending,RAK,,,,Y23,78,A-7167228,,,,,
C66477,A-2476393,20 February 2023,15182.619816885894,15147.47,SAR,Pending,DXB,,,,Y23,m2,A-2476393,,,,,
C85263,A-5822397,2023-02-08 00:00:00,4876.171366260138,,GBP,Pending,FJR,ملاحظة,ملاحظة,,0,76,A-5822397,,,,,
C34456,A-6784807,32/13/2023,,19643.57489108738,GBP,,RAK,needs review,needs review,,Y23,m2,A-6784807,,,,,
C57721,A-5007321,03/02/2023,,4889.27,USD,In Review,AUH,ok,ok,junk,,,A-5007321,,,,,
C57206,A-3140407,Feb-21-23,(27195.43),27195.43,OMR,Closed,AUH,ok,ok,junk,0,77,A-3140407,,,,,
C60513,A-9215732,22/02/2023,18815.06,18854.12944829311,USD,,RAK,needs review,needs review,,Y23,,A-9215732,,,,,
C20811,,Feb-28-23,7734.01,(7757.95),SAR,Pending,SHJ,needs review,needs review,,Y23,58,,,,,,
C85157,A-5221796,18 February 2023,"23,090.85",23126.46710570949,EUR,,DXB,!!!,!!!,,,,A-5221796,,,x,,
C99542,A/58457,Feb-18-23,-5009.96,,AED,Pending,AAN,ok,ok,,Y23,90,A/58457,,,,,
C25282,A-8673977,05/02/2023,-1958.01,-1958.01,GBP,In Review,SHJ,ok,ok,,,m2,A-8673977,,x,,,
C18622,A-3970965,17 February 2023,8444.17,,SAR,,FJR,ok,ok,,,m2,A-3970965,,,,,
,A-7993973,32/13/2023,6072.73,,AED,,DXB,ok,ok,,0,,A-7993973,,,,,x
C95072,A-9512830,2023-02-07,,,OMR,Open,AUH,,,junk,Y23,m2,A-9512830,,,,,
C47117,A-5055477,2023-02-08,,24226.85,AED,CANCELLED,UAQ,ok,ok,,1,13,A-5055477,,,,,
C41558,A-4320732,2023-02-07,"24,968.09",not available,AED,Pending,AAN,ok,ok,,Y23,,A-4320732,,,x,,x
C69065,A-8371670,32/13/2023,28330.12,28330.12,SAR,Pending,AAN,,,,Y23,m2,A-8371670,,,,,
,A-9801206,10/02/2023,25558.99,25558.99,SAR,,FJR,ok,ok,,Y23,,A-9801206,,x,,,
,A-9482292,2023-02-22,6677.7,"6,692.06",GBP,CANCELLED,SHJ,!!!,!!!,,,m2,A-9482292,,,,x,
C81882,A-1041256,2023-02-23,11467.82,11478.55933218965,SAR,Closed,DXB,,,,,90,A-1041256,,,,,
C80995,A-5253388,2023-02-12,,23461.70241471961,GBP,In Review,  RAK,,,,Y23,,A-5253388,,,,,
C23004,A-5668188,21/02/2023,(25725.28),25725.28,USD,Pending,AAN,ok,ok,,Y23,m2,A-5668188,,,,,x
C98241,A-4207943,2023-02-01,not available,22676.89,GBP,Pending,FJR,,,,Y23,m2,A-4207943,,,,,
,A-4918027,2023-02-04,28303.68,"28,303.68",SAR,,AUH,ok,ok,junk,Y23,,A-4918027,,,,,
C64926,A-8399161,0000-00-00,"21,301.74",21309.75201882624,EUR,In Review,RAK,needs review,needs review,,1,,A-8399161,,x,,,
C52181,A-2733748,2023-02-17,2482.81456270282,2521.88,OMR,,RAK,ok,ok,junk,,m2,A-2733748,x,,,,
C13769,A-8034376,2023-02-22 00:00:00,(1065.12),-1028.95,SAR,Open,  FJR,ok,ok,junk,Y23,m2,A-8034376,,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,,
clientnumber,A/C No.,Txn Date, amount (aed)  #,AMT, ISO_CURR  , Approval Status  ,REGION,Notes, REASON_TEXT  ,,year_added_2023,new_col_202302,Account ID,mystery_2023_02_12,mystery_2023_02_84,mystery_2023_02_29,mystery_2023_02_11,Unnamed: 0
C69196,A-9536466,26/02/2023,17861.64,17861.64,GBP,CANCELLED,RAK,needs review,needs review,,Y23,77,A-9536466,,x,,,
C82636,A-1362497,2023-02-09 00:00:00,not available,16398.34,GBP,CANCELLED,DXB,!!!,!!!,,Y23,m2,A-1362497,,,,,
C48084,A-5400517,2023-02-06,(3453.77),(3425.75),EUR,CANCELLED,SHJ,,,junk,,,A-5400517,,,,,
C33175,A-5023781,27/02/2023,-5291.47,-5301.471946981394,SAR,Pending,AUH,ok,ok,,Y23,43,A-5023781,,,,,
,A-3074336,2023-02-22 00:00:00,21263.42,,OMR,Pending,FJR,ok,ok,,Y23,m2,A-3074336,,,,,
C33421,A-1484271,Feb-06-23,,"3,007.49",GBP,,UAQ,ok,ok,,Y23,m2,A-1484271,,,,,
,A/21982,2023-02-06,13559.62,13559.62,EUR,Open,SHJ,ملاحظة,ملاحظة,,,97,A/21982,,,,,
C16729,A-1429668,Feb-04-23,(7827.57),7827.57,USD,Open,UAQ,ok,ok,,,m2,A-1429668,,,,,
,A-1040011,05 February 2023,"1,017.16",1017.16,EUR,,FJR,needs review,needs review,junk,1,m2,A-1040011,,,,,
C46028,A-7276378,Feb-19-23,(3596.09),3596.09,OMR,,SHJ,ok,ok,,,m2,A-7276378,,,x,,
C60763,A-7386773,2023-02-01,,"12,520.57",OMR,Closed,UAQ,,,,Y23,m2,A-7386773,,,,x,
C36000,A-9038816,24 February 2023,-2638.64,"-2,656.37",USD,,FJR,!!!,!!!,,1,m2,A-9038816,,,,,
C40409,A/59379,17/02/2023,-4603.479069942785,-4631.973224866757,GBP,,UAQ,ok,ok,,Y23,30,A/59379,x,,,,
C56634,A-4142193,32/13/2023,9088.18,,OMR,Pending,SHJ,needs review,needs review,,Y23,m2,A-4142193,x,x,,,
C96138,A-5742489,0000-00-00,,16074.5,GBP,,  FJR,ok,ok,,,,A-5742489,,,,,
C85797,A-2584374,2023-02-22,6581.444412038697,6553.94,AED,Closed,UAQ,,,,1,m2,A-2584374,,,,x,
,A-6096093,26/02/2023,24889.97016644237,24902.19,USD,Closed,UAQ,,,,Y23,m2,A-6096093,x,,,,
,A-5933880,32/13/2023,6547.83,"6,547.83",GBP,,UAQ,,,,Y23,m2,A-5933880,,,,,
,A-3505973,,,13313.63,OMR,In Review,SHJ,ملاحظة,ملاحظة,,1,m2,A-3505973,,,,,
C88279,A-1767695,17/02/2023,,"5,648.75",AED,In Review,FJR,needs review,needs review,,Y23,,A-1767695,,,,,
C43671,A-3635363,,18086.22,18086.22,AED,Open,AUH,needs review,needs review,,Y23,,A-3635363,,,,,x
C65950,A-3178716,Feb-25-23,"-2,585.79",,SAR,Pending,AAN,ok,ok,junk,0,50,A-3178716,,,x,,
C62843,A-8348874,06/02/2023,(20048.92),20038.230161128857,USD,,UAQ,ok,ok,,Y23,,A-8348874,,,,,
C49471,A-9305606,0000-00-00,(20009.19),,EUR,Closed,AUH,ok,ok,,0,25,A-9305606,,x,,,
C21391,A/2306,2023-02-14 00:00:00,-1809.29,"-1,809.29",EUR,CANCELLED,SHJ,,,,1,33,A/2306,,,,,x
C28865,A-1989935,11 February 2023,(1183.84),"1,183.84",GBP,,DXB,ok,ok,,Y23,28,A-1989935,,x,,,x
C64644,A-7203190,24/02/2023,26625.67,not available,OMR,,SHJ,,,,,m2,A-7203190,,,,,
C11693,A-8004607,Feb-07-23,"29,077.36","29,077.36",SAR,,AAN,needs review,needs review,,Y23,m2,A-8004607,,,,x,x
C99659,A-2184927,2023-02-07,,6912.35,SAR,CANCELLED,AUH,needs review,needs review,,Y23,,A-2184927,,,x,,
C36698,A-9015568,2023-02-02,20855.76,20831.989627228657,GBP,Open,FJR,ok,ok,,Y23,,A-9015568,x,,,,x
C85356,A-9767785,Feb-03-23,,not available,GBP,CANCELLED,FJR,needs review,needs review,junk,Y23,36,A-9767785,,,,,
C86006,A-2327756,2023-02-20,29428.150759602093,29452.36,USD,,  DXB,,,,0,41,A-2327756,,,,,x
C34712,A-4597809,07/02/2023,14520.83725239649,(14475.62),aed ,Pending,AAN,ok,ok,,1,,A-4597809,,,,,
C79302,A-5222411,,16491.75,16491.75,SAR,Pending,DXB,,,,Y23,m2,A-5222411,x,,,,
C44689,A-4736750,32/13/2023,23772.14,(23815.05),EUR,Pending,AAN,ok,ok,,Y23,m2,A-4736750,,,,,
C13329,A-2884988,2023-02-22,"21,084.15",21084.15,EUR,In Review,RAK,ok,ok,,Y23,m2,A-2884988,,x,,,
C85124,A-7261183,2023-02-20,16430.04,,AED,CANCELLED,AUH,,,,Y23,61,A-7261183,,x,,,
C66137,,21/02/2023,not available,"15,979.26",OMR,In Review,FJR,ok,ok,,1,31,,,,,,
,A/67545,2023-02-08,25552.044289105812,25535.08,AED,Open,SHJ,ملاحظة,ملاحظة,,Y23,m2,A/67545,,,,,
C38195,A-6128873,2023-02-27,21038.75,21038.75,OMR,Open,  DXB,ok,ok,,,m2,A-6128873,x,,,,
,A-5871373,2023-02-20,,8943.27,GBP,Pending,AUH,,,,0,39,A-5871373,,,,,
C12784,A-6517362,32/13/2023,14964.29,14981.44473441355,EUR,Closed,AUH,ok,ok,,Y23,m2,A-6517362,,,,x,
C75126,A-1021513,18 February 2023,,24675.1688869445,AED,CANCELLED,UAQ,,,,,m2,A-1021513,,x,,,
C82364,A-6221877,15 February 2023,886.24,886.24,AED,Open,DXB,ok,ok,,,m2,A-6221877,x,,,,
C24935,A-2470746,,"15,762.23",,EUR,In Review,FJR,needs review,needs review,,0,m2,A-2470746,,,,,
C64803,A-3014159,2023-02-22,7159.91,,AED,Pending,AAN,,,,,,A-3014159,,,,,
C42447,A-9888449,Feb-07-23,12647.86,,AED,Closed,DXB,ok,ok,,0,29,A-9888449,,,,,
C30506,A-6451388,2023-02-24,29352.87,29352.87,USD,In Review,AAN,needs review,needs review,,,m2,A-6451388,,,,,
C89286,A-3759984,23/02/2023,-2590.25,,EUR,Pending,RAK,ok,ok,,0,,A-3759984,,x,,,
C65820,A-8274539,2023-02-09 00:00:00,27393.26,27393.26,AED,In Review,SHJ,,,,Y23,m2,A-8274539,,,,,
C37495,A/72580,08/02/2023,7946.7705031703335,7886.609655343635,GBP,In Review,FJR,,,,,,A/72580,,,,,
C42334,A-7690263,16/02/2023,22429.43,22429.43,USD,Pending,AAN,needs review,needs review,,Y23,m2,A-7690263,,,,,
C89130,A-7749346,2023-02-02,13360.653996948271,13379.21,SAR,,DXB,ملاحظة,ملاحظة,,Y23,m2,A-7749346,,,,,
C30330,A-8829247,2023-02-11,-2181.59,(2181.59),GBP,Closed,  SHJ,ملاحظة,ملاحظة,,,65,A-8829247,,,,,
C57486,A-2909574,2023-02-16,"15,491.11",,EUR,,AAN,,,,Y23,m2,A-2909574,,,,,
C14891,A-2846270,2023-02-18 00:00:00,9132.29,9132.29,GBP,CANCELLED,AUH,ok,ok,,0,m2,A-2846270,,,x,,
C29357,A-5484592,32/13/2023,22127.549395407004,22185.56593687369,OMR,,RAK,,,,,m2,A-5484592,,,,,
C62949,A-1251229,Feb-24-23,"20,488.58","20,488.58",USD,Closed,  DXB,ok,ok,,1,42,A-1251229,,,,,
,A-2495238,2023-02-08 00:00:00,,277.5600608130972,GBP,,RAK,ok,ok,,Y23,m2,A-2495238,,,,x,
C59017,A-4818194,2023-02-10,18132.29612221282,18173.65,AED,,FJR,needs review,needs review,junk,,,A-4818194,,x,x,,
C24450,A-4989081,2023-02-23,"29,908.19",29868.50012967588,SAR,In Review,UAQ,needs review,needs review,,Y23,95,A-4989081,,,,,
C59075,A-9557469,11/02/2023,-6768.25,(6768.25),OMR,Closed,SHJ,ok,ok,,Y23,53,A-9557469,,x,,,
C95917,A-4737795,2023-02-06,"27,919.21",27919.21,GBP,Pending,RAK,ok,ok,,Y23,m2,A-4737795,,,,,
C98136,A-3467432,32/13/2023,-584.78,-584.78,gbp ,Open,FJR,,,junk,Y23,m2,A-3467432,,,,,
C20564,A-1308355,2023-02-02 00:00:00,-5388.17,-5365.961618707698,OMR,CANCELLED,AUH,ok,ok,,0,,A-1308355,,x,,,
C53813,A/3994,08/02/2023,-7753.34493310989,-7745.77,EUR,CANCELLED,DXB,,,,1,m2,A/3994,x,,,,
C72293,A/88487,2023-02-13,not available,,GBP,CANCELLED,AUH,!!!,!!!,,Y23,m2,A/88487,,,,,
C61291,A-1563733,2023-02-03,7941.88,,GBP,,SHJ,ملاحظة,ملاحظة,,1,51,A-1563733,,,,,
C16222,A/23238,Feb-09-23,"29,237.92",29259.67,gbp ,,FJR,needs review,needs review,,,m2,A/23238,,,,,
C34085,A-9421041,Feb-01-23,3712.11,3712.11,GBP,Open,RAK,ملاحظة,ملاحظة,junk,Y23,84,A-9421041,,,,,
C78831,A-8715187,2023-02-16,7498.489431573111,7457.66,AED,Pending,DXB,needs review,needs review,,Y23,88,A-8715187,,,,,
,A-2593734,Feb-01-23,,(6769.54),GBP,Closed,RAK,ملاحظة,ملاحظة,,Y23,,A-2593734,,,,,
C82147,A-5107502,2023-02-23 00:00:00,-7815.98,,EUR,,RAK,ok,ok,,0,40,A-5107502,,,x,,x
C18765,A/67804,21 February 2023,-4361.41,-4361.41,OMR,,AAN,needs review,needs review,,Y23,m2,A/67804,,,,,
C35382,A-4710640,32/13/2023,,(16.32),SAR,Pending,RAK,ok,ok,,,m2,A-4710640,,,,,
C80545,A-4550515,2023-02-07,19078.22,not available,OMR,Open,RAK,ok,ok,,Y23,m2,A-4550515,,,,,
C22130,A/87086,2023-02-27,14472.9,,AED,,  SHJ,ok,ok,junk,Y23,m2,A/87086,,,,,
C46736,A-7481375,20 February 2023,15889.64234795753,"15,881.52",USD,Closed,AAN,needs review,needs review,,Y23,m2,A-7481375,,,,,
C38021,A-6111289,23/02/2023,-7471.494982455369,-7485.07,AED,Closed,RAK,needs review,needs review,junk,Y23,m2,A-6111289,,,,,
C46618,A-9937488,Feb-04-23,,16651.62,USD,Open,UAQ,,,,Y23,,A-9937488,,,,,
C35915,A-3373585,Feb-04-23,,21058.04407217858,USD,Open,RAK,needs review,needs review,,,m2,A-3373585,,,,,x
,A-8540831,32/13/2023,17444.86,not available,GBP,,DXB,ملاحظة,ملاحظة,,Y23,,A-8540831,,x,,,
C27277,A-1115748,05 February 2023,-1576.03,-1576.03,SAR,Closed,AAN,ok,ok,,Y23,m2,A-1115748,,,,,
C42924,A-7795105,Feb-24-23,(9504.21),9528.819788339204,EUR,In Review,  AUH,ok,ok,,,,A-7795105,,,,,
,A-6754409,Feb-08-23,19830.77,19830.77,USD,Pending,AAN,,,,1,m2,A-6754409,,,,,x
C54932,,2023-02-23,15728.18132598212,15717.84,SAR,,AAN,ملاحظة,ملاحظة,,0,m2,,,,,,
