IDs,IDs,Dates,Amounts,Amounts,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta
C81589,A-4360027,2023-08-06 00:00:00,"17,369.23",17369.23,aed ,,SHJ,ملاحظة,ملاحظة,,Y23,,SHJ,,,
C65316,A-7244378,02 August 2023,26698.69015338066,26703.84,GBP,,RAK,!!!,!!!,,,m8,RAK,,,
C73882,A-5897323,2023-08-14,16455.59,,USD,CANCELLED,SHJ,ok,ok,,,19,SHJ,,,
C52341,A-3702585,32/13/2023,13283.79,13283.79,EUR,,SHJ,ok,ok,,Y23,m8,SHJ,,x,
C93486,,2023-08-20,24244.47,"24,207.25",GBP,,FJR,!!!,!!!,,,m8,FJR,x,,x
C94912,A-6789949,Aug-14-23,14859.47,(14859.47),GBP,Open,SHJ,,,,,m8,SHJ,,,
C50496,A-7159455,Aug-17-23,420.73,,AED,Open,SHJ,ok,ok,,Y23,m8,SHJ,,,
,A-4305149,25/08/2023,"4,597.46",4617.78,EUR,Pending,DXB,ok,ok,,0,,DXB,,,
C70977,A-7428155,13/08/2023,-1496.62,-1496.62,GBP,Closed,AUH,ملاحظة,ملاحظة,,0,m8,AUH,,,
C78733,A-7378167,2023-08-03,21426.92,21426.92,OMR,Pending,DXB,!!!,!!!,x,1,,DXB,,x,
C23584,A/14545,02 August 2023,(5302.49),5302.49,USD,Closed,FJR,,,,Y23,m8,FJR,,,
C48531,A-2616058,01/08/2023,"16,170.84",16167.42,SAR,Closed,SHJ,,,,Y23,13,SHJ,,,
C65935,A/32487,08 August 2023,"3,952.80",3958.31,EUR,Open,DXB,,,x,Y23,m8,DXB,,,
C54858,A-1803848,2023-08-09 00:00:00,12118.35,,gbp ,Pending,RAK,,,,Y23,,RAK,,,
C17626,,Aug-25-23,18085.36,(18046.71),USD,Open,AUH,ok,ok,,Y23,m8,AUH,,,
C43963,A-2809565,26 August 2023,16515.47,not available,SAR,,  SHJ,ok,ok,,Y23,60,SHJ,,,
,A-6561026,04/08/2023,,22540.01,OMR,,RAK,,,,,,RAK,,,
C10258,A-9082540,Aug-03-23,,23266.77,USD,In Review,RAK,ملاحظة,ملاحظة,,,80,RAK,,,
C28743,A/13230,19/08/2023,25823.26,25823.26,SAR,CANCELLED,AUH,ملاحظة,ملاحظة,,Y23,m8,AUH,,,
C54535,A-9699432,11/08/2023,,5419.85,GBP,Closed,UAQ,needs review,needs review,,,,UAQ,,,
C94011,A-9102545,2023-08-11,6081.27,,SAR,,  FJR,ok,ok,,0,m8,FJR,,,
C42382,A-4479241,2023-08-13,6581.55627347157,6570.37,SAR,,AAN,,,,Y23,83,AAN,,,
C40761,A-4501485,2023-08-28,,3839.05,AED,CANCELLED,AUH,,,,,m8,AUH,,,
C80677,A-5215037,2023-08-06,,"6,095.05",AED,Closed,SHJ,ملاحظة,ملاحظة,,Y23,m8,SHJ,x,,x
C16571,A-7867992,13/08/2023,"20,480.96",20480.96,GBP,Open,DXB,ok,ok,,Y23,18,DXB,,,
C87987,A/48252,32/13/2023,(6062.17),6062.17,OMR,,FJR,ok,ok,,0,85,FJR,,,
,A/85132,0000-00-00,(26352.89),26352.89,USD,CANCELLED,RAK,needs review,needs review,,1,29,  RAK,x,,
C71043,A-6424287,2023-08-28 00:00:00,28424.27,28424.27,USD,Pending,  SHJ,ok,ok,,,m8,SHJ,,,x
C52706,A-6717893,17/08/2023,,10636.58,SAR,CANCELLED,FJR,,,,0,m8,FJR,,,
C54749,A-4012125,26 August 2023,,3274.63,SAR,,UAQ,!!!,!!!,,Y23,m8,UAQ,,,
C66250,A-2565147,0000-00-00,11391.74,11391.74,OMR,Closed,SHJ,ok,ok,,Y23,m8,SHJ,,,
C54363,A-2224746,2023-08-15 00:00:00,143.7,143.7,USD,Pending,FJR,,,,1,64,FJR,,,
C48344,A-2050456,Aug-03-23,6272.423328312422,6340.654172220979,GBP,,RAK,!!!,!!!,,Y23,73,RAK,,,
C62032,A-1663151,32/13/2023,24289.04,24289.04,SAR,,AAN,,,,Y23,67,AAN,,,
,A-3020609,32/13/2023,1338.45,1338.45,SAR,In Review,SHJ,,,,0,,SHJ,,,
C20533,A-7442149,27/08/2023,"29,918.69",29918.69,GBP,,UAQ,,,,,m8,UAQ,,,
C27285,A/86657,26 August 2023,26422.09797646004,26489.81440445438,AED,,AUH,,,,Y23,54,AUH,,,
C32168,A-1623303,09 August 2023,,,USD,,AUH,!!!,!!!,,Y23,m8,AUH,,x,
C53357,A-2034553,2023-08-20,not available,"-2,241.42",SAR,CANCELLED,UAQ,ok,ok,,Y23,,UAQ,x,,
C28679,A-7999150,,11450.03,,EUR,,UAQ,needs review,needs review,,0,,UAQ,,x,
C12301,A/53287,2023-08-23 00:00:00,11603.330783884217,11557.71,SAR,,AAN,,,,,m8,  AAN,,,
C61457,,2023-08-17,"-7,990.61",,USD,Pending,AUH,!!!,!!!,,Y23,,AUH,,,
C55153,A/16083,2023-08-16,,9505.47,EUR,,DXB,ok,ok,,Y23,m8,DXB,,,
C54820,A-3727442,2023-08-02,25206.52,"25,206.52",AED,Closed,  RAK,ملاحظة,ملاحظة,,Y23,,RAK,,,
C67838,A-3266852,20/08/2023,,-5136.435635752924,AED,Open,DXB,,,,Y23,m8,DXB,,,
C32054,A/44145,32/13/2023,,27880.82409730654,GBP,CANCELLED,RAK,,,,Y23,m8,RAK,,,
C11661,A-7468372,26/08/2023,(16681.81),(16655.92),SAR,Pending,AUH,,,,1,m8,AUH,,,
C13734,A-8451192,04 August 2023,18712.19,"18,712.19",OMR,Closed,SHJ,needs review,needs review,,,,SHJ,,,
C27954,A-8259749,32/13/2023,(12013.23),12013.23,OMR,CANCELLED,FJR,ملاحظة,ملاحظة,,Y23,,FJR,,x,
,A-1492142,Aug-07-23,"29,557.23","29,557.23",OMR,In Review,SHJ,,,x,Y23,m8,SHJ,,,
C44048,A-3821325,2023-08-10 00:00:00,,not available,USD,CANCELLED,RAK,ok,ok,,,m8,RAK,,,
C70653,A-7220019,32/13/2023,-1536.1,-1536.1,EUR,Open,RAK,!!!,!!!,,Y23,m8,RAK,,,
C12923,A-1938973,2023-08-14,,"5,061.18",EUR,,AUH,needs review,needs review,,,m8,AUH,,,x
C20067,A-3916768,2023-08-18,11059.51,11059.51,GBP,CANCELLED,AUH,ok,ok,,Y23,,AUH,,,
,A-2683257,2023-08-17,25158,25167.7319757965,USD,Pending,  RAK,ok,ok,,Y23,m8,  RAK,,,
C35075,A-3030569,Aug-14-23,"4,102.71",4137.696010694572,OMR,In Review,AUH,ملاحظة,ملاحظة,,Y23,m8,AUH,,,
C16528,A-6575068,Aug-16-23,22911.13,not available,EUR,Pending,RAK,,,x,1,94,RAK,,,
C77563,A-5681270,,-7629.49,-7629.49,OMR,CANCELLED,FJR,needs review,needs review,x,Y23,,FJR,,,
C48169,A-7345226,2023-08-27 00:00:00,,not available,AED,In Review,FJR,needs review,needs review,,1,m8,FJR,,,
C96172,A-2073034,2023-08-16,,1320.18,USD,,UAQ,needs review,needs review,,,,UAQ,,,
C75025,A-3307271,10 August 2023,(11796.01),,OMR,In Review,AAN,needs review,needs review,x,Y23,70,AAN,x,,
C83712,A-2259818,Aug-12-23,16771.47,,EUR,CANCELLED,AUH,ok,ok,,,,AUH,,,
C90928,A/87716,28/08/2023,not available,22742.983053136355,GBP,Open,AAN,ملاحظة,ملاحظة,,1,m8,AAN,,,
C10021,A-1524986,2023-08-16 00:00:00,,17928.99195531849,USD,Pending,UAQ,ok,ok,x,1,m8,UAQ,,,
C67918,A-3681216,,27611.6,27611.6,USD,Open,RAK,!!!,!!!,,,84,RAK,,,
,A-4220537,2023-08-05 00:00:00,2594.5340614324923,2582.61,EUR,Pending,FJR,,,,,m8,FJR,,,
C38597,A-8127998,Aug-09-23,25136.25,25146.00939011274,EUR,,UAQ,ok,ok,,1,14,UAQ,,,
C83235,A-8212252,2023-08-22 00:00:00,3556.178437170061,3610.807770647899,SAR,,AUH,,,,Y23,m8,AUH,,,
C18921,A-1338661,2023-08-16,(3179.77),-3179.77,OMR,Pending,AAN,,,,1,m8,AAN,,,
C17457,A-2964132,09 August 2023,-5066.38,-5066.38,USD,CANCELLED,AUH,,,,,,AUH,,,
C23511,A-3181394,32/13/2023,,"-5,511.89",OMR,,DXB,ملاحظة,ملاحظة,x,Y23,m8,  DXB,,,
C26469,A-2557514,2023-08-06,18105.47,18118.31779510301,EUR,In Review,AAN,ok,ok,,0,,AAN,,,
,A-4562327,06 August 2023,(3513.04),"3,513.04",USD,Pending,UAQ,,,,,m8,UAQ,,x,
,A/94461,32/13/2023,(13700.86),(13750.75),USD,In Review,DXB,,,,,,  DXB,,,
C54527,A-8833746,2023-08-22 00:00:00,-4298.07,,USD,,AUH,,,,,m8,AUH,,,
C46955,A-1315202,Aug-04-23,28229.05,28265.82317446922,EUR,Open,AAN,,,,Y23,98,AAN,x,,x
C45811,A-8938723,Aug-11-23,"26,010.66",26010.66,USD,In Review,DXB,needs review,needs review,,,50,DXB,,,
C37714,A-2876051,2023-08-20,-529.73,-529.73,GBP,,AUH,,,,1,,  AUH,,,
,A-4132361,2023-08-16,-5353.25,-5353.25,EUR,Pending,UAQ,,,,,43,UAQ,,,
C29120,A-1090042,22/08/2023,"27,469.02",27469.02,GBP,In Review,FJR,ok,ok,,Y23,m8,FJR,,,
C57670,A-2656232,22/08/2023,20994.20684058724,20954.92511798454,EUR,,SHJ,ok,ok,,Y23,,SHJ,,,
C47912,A-1667660,2023-08-26,"21,041.20",not available,OMR,Pending,UAQ,,,,Y23,m8,UAQ,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
CUST#,a/c_no.,VALUE_DATE,amount (AED),GROSS AMOUNT#,ccy#,State,BR_CODE,memo,OPS_COMMENT,UNUSED,YEAR_ADDED_2023,new_col_202308,BR_CODE,mystery_2023_08_62,mystery_2023_08_39,mystery_2023_08_2
C19282,A-9852521,17/08/2023,19134.18,19134.18,OMR,CANCELLED,AAN,,,,Y23,53,AAN,,,
C84431,A/29133,Aug-16-23,,10341.942260209433,SAR,Open,DXB,,,,Y23,52,DXB,,,
C58478,A-5942740,2023-08-08 00:00:00,,,EUR,Closed,RAK,needs review,needs review,,1,29,RAK,,,x
C69786,A-5541454,,,10376.91,AED,Closed,DXB,ملاحظة,ملاحظة,,Y23,m8,  DXB,,,
C55312,A/39156,20 August 2023,19837.79,19837.79,OMR,Closed,RAK,ok,ok,,0,,RAK,,,
C40344,A-8664939,2023-08-16,-1192.159439097144,-1171.82,EUR,CANCELLED,FJR,,,,Y23,56,FJR,,,
C49984,A-6467713,20 August 2023,21285.48280984675,21295.53453107975,SAR,,SHJ,needs review,needs review,,,m8,SHJ,,,
C83323,,2023-08-04,27974.78,,EUR,CANCELLED,RAK,ملاحظة,ملاحظة,,Y23,m8,RAK,,,
C27014,A-4564268,Aug-08-23,26633.92,,OMR,Closed,AAN,ok,ok,,1,m8,AAN,,x,
C76353,A-5103010,08 August 2023,,13080.20321984444,EUR,,FJR,ok,ok,,0,84,FJR,,,x
C23919,A-8104120,2023-08-10,6469.26,6469.26,GBP,CANCELLED,SHJ,ok,ok,,Y23,,SHJ,,,
C35907,A/55357,09/08/2023,"8,232.84",,AED,,RAK,needs review,needs review,,Y23,,RAK,,,
C32223,A-8807165,Aug-19-23,,578.14,GBP,,FJR,ok,ok,,,71,  FJR,x,,
C43604,A-8933276,2023-08-09 00:00:00,19658.52,,GBP,Closed,SHJ,ok,ok,,Y23,,SHJ,,,
C52324,A-8072908,Aug-27-23,(26983.98),26948.51037269696,SAR,,AUH,ok,ok,,Y23,28,  AUH,,,
C57175,A-5081499,Aug-21-23,13674.15,,AED,,UAQ,needs review,needs review,,Y23,94,UAQ,,,
C56663,A-3143348,11/08/2023,-6077.14,-6077.14,EUR,In Review,AAN,ok,ok,,1,m8,AAN,x,,
C51473,,2023-08-02,7731.88,7731.88,GBP,CANCELLED,SHJ,ملاحظة,ملاحظة,,Y23,m8,SHJ,,x,
C95736,A-2863907,24 August 2023,4139.44,4139.44,SAR,,  SHJ,!!!,!!!,,Y23,m8,  SHJ,x,,
,A-8357424,19/08/2023,not available,28682.02,EUR,Closed,  DXB,needs review,needs review,,Y23,,DXB,,x,x
C85512,A-5936865,Aug-13-23,4058.25,4013.727640632737,USD,,AAN,,,,Y23,43,AAN,,,
C77903,,23 August 2023,,"16,415.43",SAR,Pending,AUH,,,,,m8,AUH,x,,
C52296,A-1396672,21/08/2023,22947.25,not available,AED,,AAN,,,,0,m8,AAN,,x,
C55321,A-4565500,32/13/2023,21321.4024361292,21354.7,USD,Open,DXB,ok,ok,,0,m8,DXB,,,
C49884,A-4673318,10/08/2023,,-1533.85,AED,In Review,SHJ,,,,0,40,SHJ,,x,
C50271,A/96967,2023-08-28 00:00:00,8903.68,8903.68,AED,CANCELLED,  RAK,,,x,Y23,m8,RAK,,,
,A-2305414,2023-08-12,,"26,504.20",OMR,Pending,AAN,,,,Y23,,AAN,,,
C44301,A-4897094,2023-08-15,23674.34,,USD,Closed,SHJ,,,,,m8,SHJ,,,
C14634,A-9285811,Aug-19-23,7494.91,7494.91,EUR,Pending,DXB,ok,ok,,0,m8,DXB,,x,
C53488,A-3942708,2023-08-06,"-7,168.37","-7,168.37",OMR,,AAN,needs review,needs review,,1,m8,AAN,,,
C62154,A-7819470,2023-08-01 00:00:00,14478.8,,GBP,Open,DXB,needs review,needs review,,0,30,DXB,,,
C89905,A-6494369,19 August 2023,16092.21,(16092.21),SAR,Open,FJR,ملاحظة,ملاحظة,,Y23,,  FJR,,,
C15318,A-5973645,2023-08-19,"-5,701.32","-5,701.32",OMR,Pending,AAN,ok,ok,,Y23,,AAN,,,
,A-5869068,2023-08-06 00:00:00,-2611.68,not available,GBP,,AAN,ok,ok,x,Y23,m8,AAN,,,
C74088,A-6601211,07/08/2023,-4236.373579431885,"-4,196.85",SAR,Closed,  UAQ,ok,ok,x,,m8,  UAQ,,,
,A-2463484,2023-08-02 00:00:00,-5556.38,-5528.323697780437,GBP,Closed,AUH,ok,ok,,Y23,68,AUH,,,
C46659,A-4255510,2023-08-11,426.39,426.39,GBP,Open,RAK,ok,ok,,Y23,63,RAK,,,
C79866,A/86357,2023-08-27,10832.188971374359,10804.76,USD,CANCELLED,DXB,!!!,!!!,,,m8,DXB,,,
C28150,,13/08/2023,-3667.02,-3667.02,SAR,,  FJR,needs review,needs review,,Y23,m8,FJR,x,,
C45701,A-1238561,2023-08-05 00:00:00,138.24,128.56,USD,,SHJ,,,,,m8,SHJ,,,
C95433,,18/08/2023,19719.89,19719.89,usd ,CANCELLED,UAQ,,,x,,,UAQ,,,
C10305,A/9223,09/08/2023,12295.23312370424,12250.02168513958,OMR,,UAQ,ok,ok,,Y23,,UAQ,,,
C77444,A-1028497,25/08/2023,4315.559418384204,(4324.08),GBP,,AUH,needs review,needs review,,1,58,AUH,,,x
C40494,A-7246337,Aug-08-23,,1298.82,AED,Pending,AAN,ok,ok,,,29,  AAN,,,
C47936,A-4853187,2023-08-14,,2467.4,USD,Open,UAQ,,,,0,,UAQ,x,,
C17512,A-4737284,09/08/2023,(21605.86),21646.35379045257,USD,,  AUH,,,,0,94,AUH,,,
C90653,A-4888417,2023-08-07,,(7380.46),OMR,CANCELLED,UAQ,!!!,!!!,,Y23,,UAQ,,,
C85772,A-1100400,Aug-15-23,28854.36,"28,854.36",USD,,UAQ,ok,ok,x,Y23,m8,UAQ,,,
C64428,A-2562343,32/13/2023,-3845.389359531522,-3818.45,aed ,Pending,AUH,,,,Y23,26,AUH,,,
C51684,A-8080558,2023-08-22,22111.35,22111.35,OMR,Closed,AAN,needs review,needs review,,Y23,m8,AAN,,,
C33280,A-7723545,2023-08-07 00:00:00,-3400.405829355754,"-3,394.82",USD,CANCELLED,DXB,,,,1,m8,DXB,,,
C59060,A-3274427,Aug-13-23,12572.68,12606.391966995481,EUR,Closed,AUH,,,x,0,m8,AUH,,,
C78136,A-1651339,0000-00-00,18047.24,18069.688141456136,GBP,CANCELLED,DXB,needs review,needs review,x,1,35,DXB,,,
C77979,A-2299826,32/13/2023,"-5,685.89",-5679.07,USD,,UAQ,ok,ok,,Y23,,UAQ,,,
C52946,,Aug-24-23,-4646.32,-4646.32,EUR,Closed,FJR,,,,Y23,m8,FJR,,,
,A-2455599,Aug-24-23,-1151.64,"-1,151.64",GBP,In Review,  SHJ,,,,Y23,90,  SHJ,,,
C59324,A-6744304,09 August 2023,"19,578.35","19,615.30",AED,In Review,DXB,ملاحظة,ملاحظة,,,30,DXB,,,x
C47661,A-7254926,2023-08-23,5871.73,"5,908.64",USD,CANCELLED,UAQ,,,,,,  UAQ,,,
C55805,A-8535943,13 August 2023,10966.06,"10,966.06",OMR,,DXB,,,,Y23,,DXB,,,
C91464,A-3906467,2023-08-08,not available,"21,161.44",SAR,,DXB,,,,Y23,44,DXB,,,
C68550,A-8592439,,19481.95,"19,481.95",AED,Open,UAQ,,,,Y23,,UAQ,,,
C21496,A-4318465,26/08/2023,(1084.34),,USD,In Review,UAQ,ok,ok,x,Y23,m8,UAQ,,x,
C46193,,2023-08-22,"22,795.83",22795.83,SAR,Closed,UAQ,ok,ok,,0,,UAQ,,,
C50769,A-8837747,2023-08-08,8163.869666007633,8141.27,SAR,In Review,RAK,ok,ok,,Y23,m8,RAK,x,,
C54930,A-8040383,2023-08-26 00:00:00,11464.64710375846,(11414.67),GBP,,SHJ,ok,ok,,Y23,,SHJ,,,
C80615,A-4924345,Aug-12-23,(28334.62),"28,334.62",SAR,,UAQ,,,,1,44,UAQ,,,
C64900,A-1733776,2023-08-07,(1240.22),,AED,Closed,RAK,,,,0,,RAK,x,,
,A-8833594,2023-08-18,21587.61,(21587.61),OMR,,FJR,,,,Y23,,FJR,,,
C85514,A-1508188,Aug-20-23,29320.66,29369.09310264134,AED,Pending,AUH,ok,ok,,,m8,AUH,,,
C92558,A-9319180,32/13/2023,,(19900.83),EUR,,AUH,,,,,m8,AUH,x,,x
C64260,A-3695973,Aug-09-23,24684.0,24684,EUR,CANCELLED,AUH,ملاحظة,ملاحظة,,Y23,m8,AUH,,,
C60459,A-5155761,05/08/2023,not available,5601.006184469103,OMR,Pending,RAK,needs review,needs review,,Y23,m8,RAK,,,
C95912,A-4677552,27/08/2023,10255.603581203757,(10214.37),gbp ,Open,AUH,ok,ok,,,,  AUH,,,
C39048,A-9061344,2023-08-18,not available,13009.4,OMR,,FJR,ok,ok,,,m8,FJR,,,
C34048,A-1470894,32/13/2023,5698.75,5698.75,USD,,DXB,needs review,needs review,,Y23,,DXB,,,x
C97426,A-6988235,Aug-23-23,16046.89,16046.89,GBP,Pending,AAN,needs review,needs review,x,Y23,,AAN,,,
C70508,A-1478007,2023-08-17 00:00:00,12082.61,12082.61,USD,,AAN,needs review,needs review,,Y23,m8,AAN,x,,x
C80964,A-1375884,02/08/2023,-6258.21,-6258.21,AED,In Review,UAQ,ok,ok,,Y23,m8,UAQ,,,
C90479,A-4167514,,-7063.65511944933,-7080.404872285318,AED,Pending,DXB,needs review,needs review,x,,m8,DXB,,,
C65052,A-1958019,2023-08-10,,7542.53,OMR,CANCELLED,  DXB,,,,,19,DXB,,x,
C42628,A-2650542,2023-08-26 00:00:00,-7331.496546728792,-7291.18,OMR,CANCELLED,SHJ,needs review,needs review,,1,,SHJ,,,
C17173,,32/13/2023,10929.25,,AED,Closed,AUH,ok,ok,,,m8,AUH,,,
C57385,A-1737094,32/13/2023,21528.47,"21,528.47",omr ,,AAN,!!!,!!!,,0,14,AAN,,,
,A-3965181,16/08/2023,18127.37,"18,120.98",AED,CANCELLED,AUH,,,,Y23,60,AUH,,,
C74159,A-3438132,07 August 2023,28305.82727312196,"28,322.24",USD,In Review,  UAQ,,,,0,,UAQ,,,
C48175,A-9999898,0000-00-00,4252.33,4252.33,USD,CANCELLED,RAK,ok,ok,,0,m8,RAK,,,
C50077,A-9748401,2023-08-11,10996.21,10996.21,USD,,FJR,,,,Y23,m8,FJR,,,
C83970,A-1143609,14/08/2023,14368.76492289208,,SAR,,SHJ,!!!,!!!,,0,,SHJ,,,
C99579,A-7781466,20 August 2023,23284.36326288586,(23331.15),GBP,,FJR,needs review,needs review,x,Y23,83,FJR,,x,
C21459,A-4371219,18 August 2023,19961.43,19961.43,AED,Closed,SHJ,,,x,,m8,SHJ,,x,
C37616,A-2104199,Aug-20-23,(9123.90),9160.59767250891,AED,,FJR,ok,ok,,Y23,71,FJR,,,x
C80350,A-9060793,32/13/2023,"14,754.45",14801.94,OMR,Pending,UAQ,ok,ok,,Y23,m8,UAQ,,,
C55293,A/94421,2023-08-06,20834.83,20834.83,SAR,,UAQ,needs review,needs review,,Y23,,UAQ,,,
,A-9463270,04 August 2023,"-6,695.84",(6695.84),GBP,In Review,  FJR,needs review,needs review,,Y23,,FJR,,x,
C67404,A-6540264,27/08/2023,"-4,459.54",(4446.86),sar ,Pending,SHJ,ok,ok,,,24,SHJ,,,
C85065,A-6775117,Aug-16-23,(337.00),-337.0,AED,Pending,SHJ,needs review,needs review,,Y23,,SHJ,,,
C77789,A-5306570,2023-08-07,(28821.97),28821.97,GBP,In Review,UAQ,ok,ok,,Y23,m8,UAQ,,,x
,A-6361576,2023-08-09,"14,264.55",(14264.55),OMR,Pending,AAN,needs review,needs review,,Y23,m8,AAN,,,
C57025,A-5214588,22 August 2023,4728.772622913469,4773,SAR,In Review,DXB,,,x,1,47,DXB,,x,
C78959,,2023-08-05,not available,"21,702.22",USD,Pending,AUH,needs review,needs review,,,,  AUH,,,
C44482,A-6149480,2023-08-25,,"22,273.88",AED,,AUH,,,,Y23,m8,AUH,,,
