C91424,A-3654576,2023-03-28,-5600.326142191161,,GBP,,FJR,ok,ok,,Y23,42,FJR,,,
C83927,A-5213052,27 March 2023,11792.47,,GBP,Pending,AAN,ok,ok,,Y23,,  AAN,,,
C60341,A-4671572,Mar-09-23,,,USD,,SHJ,ok,ok,,Y23,,SHJ,,x,
C70245,A-3713427,2023-03-20,-5677.47,x,SAR,,RAK,ok,ok,,1,19,  RAK,,,
C65954,A-3723397,2023-03-04,12414.99016557763,,SAR,,FJR,needs review,needs review,junk,0,,FJR,x,,
C78170,A-7595554,2023-03-10 00:00:00,3015.45,,GBP,Closed,AUH,,,,,,AUH,,x,
C68873,A-7022975,Mar-19-23,"27,445.25",,SAR,Closed,DXB,,,,0,57,DXB,,,
,A-8964674,05/03/2023,25309.0,x,AED,Pending,RAK,needs review,needs review,,1,m3,RAK,,,
C83876,A-7671165,2023-03-06,29778.26,,SAR,,AUH,ok,ok,,,m3,AUH,,,x
,A-3845581,Mar-04-23,4253.7,,GBP,Pending,SHJ,ok,ok,,Y23,m3,SHJ,,,
C89986,A-1641159,Mar-20-23,21357.76979860582,,USD,CANCELLED,SHJ,ok,ok,,Y23,m3,SHJ,,,
C70892,A-2315722,18/03/2023,-1597.41,,EUR,,RAK,,,,1,80,RAK,,,
C22915,A-3248045,Mar-02-23,27928.14,,EUR,,UAQ,ok,ok,junk,,m3,  UAQ,,,
C81963,A-5570778,2023-03-17,10048,,SAR,Pending,RAK,ok,ok,,Y23,m3,RAK,,,
C38656,A-7884563,Mar-14-23,14249.60256520061,,AED,,AAN,needs review,needs review,,Y23,m3,AAN,,,
C33115,A/12539,0000-00-00,6498.421495528588,,GBP,In Review,UAQ,ok,ok,,Y23,21,UAQ,,,x
C58960,A-3490413,14/03/2023,4717.66,,EUR,Pending,FJR,needs review,needs review,,,,  FJR,,,
C39709,A-7088557,32/13/2023,20296.12,,OMR,Open,SHJ,needs review,needs review,,,54,SHJ,,,
C19471,A-2891584,0000-00-00,3332.31,,EUR,,FJR,needs review,needs review,,,m3,FJR,,,
C59452,A-6597948,12/03/2023,(19722.57),,OMR,CANCELLED,FJR,ok,ok,,1,m3,FJR,,,
C62549,A-1881409,2023-03-10 00:00:00,,,AED,Pending,RAK,ok,ok,,,57,RAK,,,
,A-8442297,2023-03-21,not available,,EUR,Pending,FJR,ok,ok,,,18,FJR,,,
,A-1128916,2023-03-16,,,AED,Closed,UAQ,ملاحظة,ملاحظة,,0,m3,UAQ,,,x
,A-8570770,10 March 2023,5192.95,,EUR,Pending,DXB,needs review,needs review,,Y23,m3,DXB,,,
,A-1478332,2023-03-16 00:00:00,-7866.779794205498,,aed ,,AUH,ok,ok,junk,0,m3,AUH,,,
C74102,A-6414166,2023-03-04,417.55,,OMR,In Review,UAQ,needs review,needs review,,Y23,m3,  UAQ,,,
C88801,A/16507,01 March 2023,14616.68,,AED,,AUH,,,,0,10,AUH,,,
C81559,,2023-03-03 00:00:00,1975.71,,AED,Open,RAK,ok,ok,,Y23,71,RAK,,,x
C61370,A-5202510,32/13/2023,10145.07,,EUR,,AAN,needs review,needs review,junk,Y23,m3,AAN,x,x,
C24466,A-5705454,2023-03-28,-966.05,,AED,Pending,DXB,needs review,needs review,,Y23,57,DXB,,x,
C67128,A-9093217,06/03/2023,,,GBP,CANCELLED,AUH,needs review,needs review,junk,Y23,,AUH,,,
,A-8400944,2023-03-03,16174.33,,GBP,CANCELLED,AUH,ok,ok,,0,m3,AUH,,,
C38422,A-3496669,32/13/2023,5683.79,,OMR,,AAN,needs review,needs review,,,97,  AAN,,,
C94101,A-1193244,Mar-27-23,2291.0450914793582,x,AED,Open,DXB,,,,,m3,DXB,,,x
C43500,A/48292,,(13284.29),,AED,Pending,AUH,,,,Y23,,AUH,,x,
C92088,A/22306,08/03/2023,"28,393.30",,GBP,,FJR,ok,ok,,Y23,62,FJR,,x,
C38500,A-7137851,32/13/2023,20412.47,,USD,Pending,AAN,ok,ok,,,m3,AAN,,,
,A-8885291,15/03/2023,"9,053.34",,AED,,AAN,,,,Y23,m3,AAN,,,x
C81871,A-9444667,2023-03-13,(10816.62),,USD,Pending,AAN,ملاحظة,ملاحظة,,1,m3,AAN,,,x
C28831,,2023-03-23,,,AED,Open,SHJ,ok,ok,,1,,SHJ,,,x
C40211,A-1310580,07/03/2023,26398.42,,EUR,Open,FJR,ملاحظة,ملاحظة,,0,m3,FJR,,,
C63001,A-6357282,2023-03-18,1820.379813629547,,SAR,,UAQ,ok,ok,,1,m3,UAQ,,,
C73999,A-2014463,2023-03-23 00:00:00,12052.18,,SAR,Open,UAQ,ملاحظة,ملاحظة,,1,,UAQ,,,
C47779,A-2806286,2023-03-01,,,AED,CANCELLED,AUH,,,,,m3,AUH,,,
C73638,A-3292183,2023-03-27,12306.85,,EUR,Open,UAQ,!!!,!!!,,,,UAQ,,x,
C41619,A-8417835,32/13/2023,11926.72857815256,,SAR,,RAK,ok,ok,,Y23,m3,  RAK,,,
C52242,A-2171281,2023-03-23,27707.8538260117,,EUR,,DXB,needs review,needs review,,Y23,95,DXB,,,
C65358,A-9742043,2023-03-20,29514.8,x,aed ,Pending,RAK,ملاحظة,ملاحظة,,,,RAK,,,
C58442,A-8935642,Mar-01-23,,,EUR,Open,AAN,ملاحظة,ملاحظة,,1,,AAN,x,,
C11759,A-4226867,Mar-24-23,7513.54,,GBP,Closed,AAN,needs review,needs review,,Y23,25,AAN,,,
C66947,A-5007484,2023-03-13,,x,AED,In Review,SHJ,needs review,needs review,,,m3,SHJ,,x,
C15295,A-3597470,24 March 2023,,,EUR,In Review,FJR,!!!,!!!,,,m3,FJR,,x,
C63238,A-5778959,Mar-14-23,not available,,GBP,,RAK,,,junk,Y23,94,RAK,,,
C79615,A-2683531,Mar-07-23,21397.67,,SAR,,DXB,needs review,needs review,,,39,DXB,,,
C44795,A-5805044,2023-03-01,(86.76),,OMR,Pending,DXB,ok,ok,,Y23,,DXB,x,,
C89613,A-3913302,28/03/2023,,,EUR,,FJR,!!!,!!!,,Y23,25,FJR,x,,
C43029,A-2152774,2023-03-10,19101.93329997794,,SAR,Open,RAK,ok,ok,junk,Y23,m3,RAK,,,
,,32/13/2023,13242.12,,SAR,,RAK,needs review,needs review,,Y23,,RAK,,,
C22099,A-2280425,2023-03-08,22119.78,,AED,,DXB,ok,ok,,,m3,DXB,,,
C46361,A-7845087,Mar-16-23,10325.12739975843,,AED,Closed,RAK,,,,1,,RAK,x,,
C65743,A/65795,2023-03-01,,,GBP,,FJR,needs review,needs review,,Y23,m3,FJR,,,
C64473,A-1359151,2023-03-03,,,USD,Pending,FJR,needs review,needs review,,Y23,m3,FJR,,,
,A-7593166,Mar-23-23,,,GBP,In Review,UAQ,needs review,needs review,,Y23,91,UAQ,,,
,A-4369345,02/03/2023,5542.96,,USD,Pending,AAN,,,,Y23,70,  AAN,,,
,A-4353673,17/03/2023,-361.28,,AED,Closed,FJR,ملاحظة,ملاحظة,junk,,,FJR,,,x
,A-3090008,04 March 2023,(3169.93),x,USD,,AUH,!!!,!!!,,,,AUH,x,,
,A-9991850,Mar-05-23,,,USD,In Review,AAN,ok,ok,,,96,AAN,,,
C30052,A-8969123,2023-03-04,"25,682.06",,USD,Closed,AUH,ملاحظة,ملاحظة,,Y23,m3,AUH,,,
C58551,A-5795379,11/03/2023,16121.147669021932,,USD,,UAQ,needs review,needs review,,Y23,m3,UAQ,,,
C62761,A-8359485,Mar-18-23,(6486.78),,SAR,CANCELLED,FJR,ملاحظة,ملاحظة,,Y23,,FJR,,,
,A-7107473,Mar-23-23,(2089.58),,SAR,,AUH,ok,ok,,Y23,m3,AUH,x,,
C61390,A-5823818,Mar-14-23,-4859.12708563396,,OMR,,FJR,ok,ok,,Y23,,FJR,,x,
C93935,A-9982137,2023-03-04,-674.57,x,AED,CANCELLED,RAK,needs review,needs review,,0,m3,RAK,,,
C94082,A-4180800,2023-03-06 00:00:00,10023.62,,AED,Closed,DXB,ok,ok,,,m3,DXB,,,
C93803,A-3785456,01 March 2023,19617.68061500593,,EUR,Closed,DXB,needs review,needs review,,,,DXB,,,
C98304,A/19389,12 March 2023,6233.43,x,SAR,Open,DXB,ok,ok,,Y23,,DXB,,,x
C86891,A-3932009,22 March 2023,not available,,EUR,Open,FJR,needs review,needs review,,,m3,FJR,,,
C73083,A-5389521,03/03/2023,,,USD,Open,UAQ,ok,ok,,0,37,UAQ,,,
C36379,A/77908,17/03/2023,-4986.34,,EUR,Pending,RAK,,,,1,m3,RAK,,x,x
C39784,A-3554869,Mar-27-23,,,EUR,CANCELLED,AUH,ملاحظة,ملاحظة,,0,,  AUH,,,
C56860,A-3975980,0000-00-00,-5195.259118322598,,AED,CANCELLED,UAQ,needs review,needs review,,Y23,,UAQ,,x,
C19371,A/84243,28/03/2023,,,EUR,,AAN,ok,ok,,1,,AAN,,,
C20025,A-7196872,2023-03-21,(26494.27),,SAR,In Review,DXB,ok,ok,,Y23,,DXB,,,
,A-1123952,0000-00-00,(1179.40),,EUR,,AAN,ok,ok,,1,m3,AAN,,,
C43332,A-1385357,Mar-28-23,27884.57,,GBP,In Review,AAN,ok,ok,,,m3,  AAN,,,x
C21088,A/82581,06 March 2023,27237.09,,omr ,Open,DXB,ملاحظة,ملاحظة,,Y23,m3,DXB,,,
C41094,A-1934086,2023-03-06,,,OMR,Closed,SHJ,ملاحظة,ملاحظة,,Y23,77,SHJ,x,,
C46027,A-3546567,Mar-05-23,27781.07,,USD,In Review,UAQ,,,,Y23,,UAQ,,,x
C83600,A-5493448,0000-00-00,25893.93,,GBP,,AAN,needs review,needs review,,1,,AAN,,,
C42908,A-1668436,2023-03-27 00:00:00,not available,,EUR,,AAN,ok,ok,,Y23,19,AAN,,,x
,A-4900634,26/03/2023,19115.5613805385,,USD,In Review,RAK,ok,ok,,Y23,m3,RAK,,x,
C72598,A-7040605,2023-03-09,"8,111.53",,SAR,Open,FJR,ملاحظة,ملاحظة,,0,,FJR,,,
C74807,A-1747930,2023-03-28,-5600.92,,GBP,Pending,FJR,needs review,needs review,,Y23,,FJR,,,
C61678,A-8875544,08 March 2023,,x,EUR,In Review,FJR,ok,ok,junk,Y23,,FJR,x,,
