buyer_id,a/c no.,Date, txn_value  ,amount (AED),,APPRV_STATE,Area,remarks,REMARKS (v2),,year_added_2023, new_col_202304 , state  ,mystery_2023_04_85,mystery_2023_04_74,mystery_2023_04_96,Unnamed: 0
C12376,A-9344645,2023-04-03,3605.19,3605.19,,,RAK,,,,,m4,,,,,
C50086,A-4338144,18/04/2023,28112.51,28112.51,,,AUH,,,,Y23,m4,,x,,,
C60455,A-8969765,32/13/2023,24668.38,24668.38,,Closed,AUH,,,junk,Y23,m4,Closed,,,,
C30861,A-5184825,0000-00-00,"10,251.51",10251.51,,Closed,RAK,needs review,needs review,,Y23,84,Closed,,,,
C26232,A-1747397,04 April 2023,418.5105686108781,438.1161284888699,,Pending,FJR,ok,ok,,Y23,m4,Pending,,,,
,,20 April 2023,14351.42,14351.42,,,RAK,ملاحظة,ملاحظة,,,49,,,,,
C72603,A-1626305,2023-04-22 00:00:00,,"16,076.46",,Open,RAK,,,,,,Open,,x,,
C17309,A-3658955,08/04/2023,-3937.2055554200047,"-3,969.94",,CANCELLED,FJR,ok,ok,,Y23,m4,CANCELLED,,,,
C38806,A/53700,06 April 2023,20971.23,20971.23,,Pending,SHJ,ملاحظة,ملاحظة,,,52,Pending,,,,
C30017,A-2510675,Apr-13-23,"23,814.22","23,814.22",,CANCELLED,AUH,ملاحظة,ملاحظة,,Y23,,CANCELLED,,,,
C87402,A-4327708,Apr-04-23,26762.08,,,CANCELLED,RAK,ok,ok,,Y23,,CANCELLED,,,,
C30626,A-2269932,2023-04-14,"26,761.43",26750.19913046461,,CANCELLED,AUH,needs review,needs review,,Y23,98,CANCELLED,x,,,
C67044,A-4547928,,26766.66,26766.66,,CANCELLED,RAK,ok,ok,,0,,CANCELLED,,,,
C56176,A-3451538,2023-04-13,4349.82,4349.82,,,SHJ,,,,Y23,,,,,,
C11159,A-5468585,2023-04-04,4695.01,"4,695.01",,Pending,FJR,needs review,needs review,junk,Y23,m4,Pending,,,,
C31213,A-6226815,08 April 2023,26770.2,,,Open,AAN,!!!,!!!,,Y23,m4,Open,,,,x
C47899,A-9340067,2023-04-10 00:00:00,,not available,junk,,  FJR,ok,ok,,Y23,93,,,,,
C14155,A-5730621,23 April 2023,"2,485.73",,,CANCELLED,RAK,ok,ok,,Y23,38,CANCELLED,,,x,
C41221,A-4701374,Apr-15-23,,19030.88444166097,,In Review,UAQ,ok,ok,,Y23,m4,In Review,,,,
C35121,A-6586946,2023-04-21,4329.29,"4,329.29",,,UAQ,ok,ok,,Y23,m4,,,,,
C14326,A-9113535,Apr-06-23,9585.44,9585.44,,Open,AUH,ملاحظة,ملاحظة,,Y23,80,Open,,x,,
C45811,A-6668879,2023-04-11,10301.67,"10,295.58",,Open,FJR,ok,ok,,0,,Open,,,,
C99276,A-7732577,2023-04-25,"2,223.65",2234.66,,Pending,UAQ,ok,ok,,Y23,m4,Pending,,,,x
C30409,A-2590558,18 April 2023,,-5184.59,,Pending,FJR,ok,ok,,,m4,Pending,,,,
C76084,A-7571175,16 April 2023,,469.8,,,UAQ,needs review,needs review,,,m4,,,x,,
C35741,A-3276974,15 April 2023,17655.14,17655.14,junk,CANCELLED,SHJ,,,,Y23,,CANCELLED,,,,
C50526,A-3728507,09 April 2023,(14213.09),14239.93,,Closed,SHJ,needs review,needs review,,,,Closed,x,x,,
,A-2194758,32/13/2023,10288.42,10288.42,,In Review,AAN,needs review,needs review,,Y23,m4,In Review,,,,
,A-3816271,Apr-25-23,,"-4,556.92",,Closed,UAQ,,,,Y23,21,Closed,,,,
C64389,A-7823698,08 April 2023,(5059.35),,junk,Closed,DXB,!!!,!!!,,Y23,m4,Closed,,,,
C52120,A-8954885,Apr-24-23,26498.68,,,Closed,  UAQ,needs review,needs review,,0,25,Closed,x,,,
C46313,A-3709499,Apr-17-23,14056.023845958,,,Open,DXB,,,,,,Open,,,,x
C53179,A-2554921,27/04/2023,"11,980.09",11980.09,,CANCELLED,RAK,ok,ok,,Y23,60,CANCELLED,x,,,
C43955,A-6756650,2023-04-25 00:00:00,25854.58244730842,25860.82474098937,,Closed,DXB,,,,Y23,m4,Closed,,,,
C53408,A-9183420,,8434.66,8434.66,,,RAK,,,,Y23,m4,,,x,,
C86806,A-1692125,2023-04-11,(12966.09),"12,981.70",,Closed,FJR,,,,Y23,,Closed,,,,x
,A-9494533,10/04/2023,"-7,655.30",,junk,CANCELLED,FJR,ok,ok,,Y23,m4,CANCELLED,x,,,
C98624,A-4733590,2023-04-18 00:00:00,not available,19411.86,,,FJR,ok,ok,,1,m4,,,,,
,A-6403463,32/13/2023,"17,969.40",,,,  SHJ,ok,ok,,,,,x,,,
C85002,A-3107675,18 April 2023,26564.83,26555.55171592313,,In Review,FJR,ok,ok,,,,In Review,,,,x
C48079,A-2148655,15/04/2023,4209.89,4229.87998436929,,Open,SHJ,needs review,needs review,,,,Open,x,,x,
C41247,A/99495,24 April 2023,,3296.0986447550413,,Pending,DXB,needs review,needs review,,Y23,m4,Pending,,,,
C40395,A-4855748,09/04/2023,(2154.37),2154.37,junk,CANCELLED,SHJ,ملاحظة,ملاحظة,,,,CANCELLED,,,,
C94911,,16 April 2023,9733.274975650163,9691.02,junk,Open,AUH,ok,ok,junk,Y23,m4,Open,,,,
C15172,A-6599304,Apr-06-23,24008.75,,,Open,AUH,needs review,needs review,,,34,Open,,x,,
,A-3292914,32/13/2023,6564.961059895502,6573.874567631339,,CANCELLED,  FJR,,,,Y23,m4,CANCELLED,,,,
C99010,,32/13/2023,-470.08,(470.08),,Pending,UAQ,needs review,needs review,,0,,Pending,,,,
C76945,A-5331923,2023-04-20,27787.32,27787.32,,In Review,AAN,needs review,needs review,,,m4,In Review,x,,,
,A/17193,Apr-13-23,(4367.08),4356.76,,Pending,AAN,ملاحظة,ملاحظة,,,,Pending,,,,
C58776,A-1936508,2023-04-07 00:00:00,,,,In Review,RAK,ok,ok,,,16,In Review,,,,
C47952,,2023-04-18,27902.42,27945.9691433332,,In Review,AAN,,,junk,1,58,In Review,,,,
C21312,A-4591834,0000-00-00,5950.467334191251,"5,949.32",,Closed,UAQ,ok,ok,,1,m4,Closed,,,,
C21616,A-5539474,2023-04-01 00:00:00,4613.46,"4,613.46",,Open,AUH,,,junk,1,77,Open,,x,,
C71054,A-1128417,,10786.41,(10786.41),,CANCELLED,FJR,needs review,needs review,junk,Y23,m4,CANCELLED,,,,
C27212,A-9090660,2023-04-14,"25,523.59",25523.59,,Open,FJR,,,,Y23,m4,Open,,,,
C61476,A-3951695,0000-00-00,29569.34,29569.34,,,AAN,,,junk,0,m4,,x,,,
,A-3832958,14/04/2023,2159.28,2159.28,,Pending,RAK,ok,ok,,Y23,92,Pending,,,,
C20470,A-8701057,2023-04-13 00:00:00,"-3,575.49",-3602.326364664767,,In Review,FJR,needs review,needs review,,,,In Review,,,,
C42453,A-1985723,10/04/2023,,28665.94,,Open,DXB,,,,Y23,99,Open,,,,
C97867,A-5043836,01/04/2023,7338.049470472374,,,,SHJ,ok,ok,junk,Y23,m4,,,,x,
C76145,A-9861062,03/04/2023,1362.09,1362.09,junk,Open,DXB,needs review,needs review,,Y23,,Open,,x,x,
,A-9399863,2023-04-15,-822.15,-822.15,,Pending,AAN,,,,Y23,m4,Pending,,,,
C72449,A-5613179,01/04/2023,,,,In Review,SHJ,ok,ok,,,66,In Review,x,,,
C44001,A-7678122,2023-04-09,20062.96,,,CANCELLED,AUH,needs review,needs review,,1,m4,CANCELLED,,,,
C46514,A-9864620,0000-00-00,,9306.87,,Closed,UAQ,needs review,needs review,,Y23,82,Closed,,,,
,A-4476849,Apr-27-23,(24427.41),24418.17,,,AAN,!!!,!!!,junk,0,,,,,,
,A-2640882,2023-04-28,23209.19,23169.2941937073,,Open,UAQ,,,,,m4,Open,,,x,
C97774,A/41284,32/13/2023,,"6,729.89",,Open,DXB,ok,ok,,,m4,Open,,,,
C38737,A-6310009,11 April 2023,-5531.678454637825,-5571.62,,In Review,AAN,,,,Y23,m4,In Review,,,,x
C41281,A-2694800,2023-04-05,,15596.43,,,UAQ,needs review,needs review,,Y23,m4,,,,,
C65150,A-5109117,27 April 2023,,21766.9743600629,,Pending,RAK,ok,ok,junk,Y23,29,Pending,x,x,,
C67938,A-4266121,32/13/2023,-5995.491142825537,not available,,Pending,AUH,!!!,!!!,,0,,Pending,,,,
C63901,,2023-04-22,25050.07,25050.07,,,DXB,ok,ok,,Y23,65,,,,,
C69365,A-1332524,Apr-21-23,-5279.090063154788,"-5,329.82",,In Review,AUH,needs review,needs review,junk,,,In Review,,x,,
C53433,A-2687800,2023-04-18,12523.86,12523.86,,,FJR,ok,ok,,Y23,46,,,x,,
C82673,A-1403164,27 April 2023,(5044.53),5015.555416499169,,Open,FJR,needs review,needs review,,,63,Open,,,,x
C41595,A-9087476,2023-04-06 00:00:00,-1225.98,not available,junk,,SHJ,ok,ok,junk,,61,,,,,
,A-2176335,0000-00-00,14609.749990481392,,,,UAQ,needs review,needs review,,,,,,,,
,A-9839012,19/04/2023,12008.3,12029.23595871953,,,  AUH,,,,Y23,80,,,,x,
C90013,A-6300933,2023-04-04 00:00:00,,(12667.56),,Pending,AAN,!!!,!!!,,,m4,Pending,,,,
C20113,,23/04/2023,"15,556.76",,,Open,SHJ,ok,ok,,Y23,,Open,,,,
C12339,A/98132,,3901.19,3901.19,,Open,FJR,ok,ok,,0,,Open,,,,
C74579,A-5594854,09/04/2023,(26471.84),"26,471.84",,CANCELLED,DXB,,,,Y23,99,CANCELLED,,x,,
C36008,,26/04/2023,"5,313.06",5270.82,,Pending,  UAQ,needs review,needs review,,Y23,99,Pending,,,,
C18673,A-7350364,2023-04-19,13020.44,13019.3888698087,,Closed,FJR,needs review,needs review,,0,m4,Closed,,,,
C13484,A-9824836,Apr-21-23,-1319.29,-1311.823025944536,,CANCELLED,UAQ,ملاحظة,ملاحظة,,Y23,26,CANCELLED,,,,
C50232,A-5454894,32/13/2023,4792.02,4792.02,,CANCELLED,SHJ,,,,,m4,CANCELLED,,,,
C31647,A-3116902,2023-04-21 00:00:00,18402.8794956884,18353.56,,Closed,RAK,ملاحظة,ملاحظة,,Y23,45,Closed,,,,
C28474,A-8782883,25/04/2023,"-4,126.78",-4148.590382407227,,,AAN,,,,1,81,,,,,
,A-2039723,27/04/2023,23382.71,23370.00062480583,,Pending,AUH,needs review,needs review,,Y23,54,Pending,,,,
C11330,A-5769337,11 April 2023,(2691.42),,,In Review,FJR,ok,ok,,1,m4,In Review,,,,x
C58609,A/13540,2023-04-23,"13,911.70",13954.13,,In Review,  FJR,,,,,,In Review,,,,
C72341,A-1948371,2023-04-23,-6190.33,-6188.607436164248,,,DXB,ملاحظة,ملاحظة,,,99,,,,,
C16782,,2023-04-03 00:00:00,-6160.24,-6160.24,,CANCELLED,AUH,needs review,needs review,junk,0,,CANCELLED,,,,
C19642,A-6441329,2023-04-16 00:00:00,-3655.55,(3656.92),junk,Closed,AAN,,,,Y23,m4,Closed,,x,,
C81651,A-7813614,2023-04-17 00:00:00,(23816.48),,,In Review,UAQ,ok,ok,junk,Y23,,In Review,,,,
,A/49227,2023-04-28 00:00:00,"22,965.62",22965.62,,,AUH,,,,0,71,,,,,
C67913,A-2705832,20/04/2023,7222.44,7226.791830498913,,In Review,RAK,ok,ok,,Y23,m4,In Review,,,,
C54378,A-5151810,Apr-13-23,15962.58607724975,15965.86,,Open,RAK,,,,Y23,m4,Open,,,,x
,A-9069738,23 April 2023,5587.76,not available,,,  AUH,ok,ok,,Y23,76,,,,x,
C80760,A-2265071,Apr-27-23,,"13,916.96",,CANCELLED,RAK,needs review,needs review,,1,m4,CANCELLED,,,,
C97427,A-6828988,2023-04-12,,-7837.48,,,SHJ,needs review,needs review,,1,m4,,,,,
C69503,A-7201747,19 April 2023,1709.26,,,CANCELLED,AUH,,,,,m4,CANCELLED,,,,
C27803,A-9959527,2023-04-23,not available,5968.94,,Pending,FJR,ok,ok,,1,45,Pending,,,,
C92017,A-8698460,Apr-16-23,19309.07,not available,,In Review,DXB,,,,,m4,In Review,,,,
C55455,A/1154,2023-04-12,6882.014823340918,,,,  SHJ,needs review,needs review,junk,1,m4,,,,,
C67715,A-6288047,2023-04-26,14729.091075834367,14739.64,,,AAN,,,,1,,,,x,,
C51625,A-1560362,2023-04-26,,877.828553267709,,,UAQ,ok,ok,,0,m4,,,,,
C84387,A-3360275,20/04/2023,"3,867.55",3862.31,,Open,SHJ,ok,ok,,0,m4,Open,,,,
C61842,A-1365145,2023-04-10,19213.163899579456,,,,AAN,ok,ok,,Y23,52,,,,x,
C96423,A-9580489,2023-04-06,4289.511175782868,,,,AAN,!!!,!!!,,Y23,,,,,,x
C44208,A-9449089,32/13/2023,,12142.01,,,RAK,needs review,needs review,,Y23,m4,,,,,
C86066,A-3967905,Apr-22-23,807.7645029342888,796.22,,CANCELLED,UAQ,,,,Y23,m4,CANCELLED,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,
buyer_id,a/c no.,Date, txn_value  ,amount (AED),,APPRV_STATE,Area,remarks,REMARKS (v2),,year_added_2023, new_col_202304 , state  ,mystery_2023_04_85,mystery_2023_04_74,mystery_2023_04_96,Unnamed: 0
C68036,A-1953083,09/04/2023,not available,-3367.5,,Pending,  AAN,,,,,73,Pending,,,,x
C97652,A-2078968,Apr-14-23,(14580.51),"14,605.06",,In Review,SHJ,!!!,!!!,,0,m4,In Review,,,,
C23768,A-9237955,2023-04-22,not available,"13,110.74",,CANCELLED,AAN,,,,1,60,CANCELLED,,x,,
C80413,A-9459768,16/04/2023,,(18413.48),,Closed,AAN,,,,1,m4,Closed,,,,
C86020,A/45837,10 April 2023,2011.197590828262,1967.43,,,RAK,ok,ok,,Y23,19,,,,x,
,A-2695723,2023-04-24,387.9,387.9,,,AUH,needs review,needs review,,Y23,m4,,,,,
C67315,A-6061916,2023-04-08,20036.07,20017.72904324366,,,RAK,ok,ok,,Y23,m4,,,,,
C85409,A-1869230,2023-04-26,9870.581363236857,,,,FJR,,,,Y23,43,,,,,
C21602,A-2405453,02 April 2023,"-6,864.80",-6848.205091928439,,,AAN,needs review,needs review,,,m4,,,,x,
,A-2280227,2023-04-05,2717.22,2717.22,,,  SHJ,ok,ok,,Y23,28,,,,x,
C42529,A/45870,2023-04-08,-4420.58,-4420.58,,CANCELLED,RAK,ملاحظة,ملاحظة,,Y23,96,CANCELLED,,,,
,A-1997113,21/04/2023,(2604.26),"-2,604.26",,Open,SHJ,ok,ok,,0,47,Open,,,x,
C99752,A-9353921,Apr-28-23,25470.97,25470.97,,In Review,RAK,needs review,needs review,,Y23,,In Review,,,,
C37870,A-2127861,2023-04-23,1224.81,1224.81,,Closed,FJR,,,,Y23,69,Closed,,,,
C65832,A-4787291,12/04/2023,5739.009113697616,(5735.85),,,RAK,ok,ok,junk,Y23,88,,x,,,
,A-7379668,0000-00-00,,(9769.24),,CANCELLED,UAQ,ok,ok,,Y23,,CANCELLED,,,,
C91501,A-3642368,32/13/2023,18685.86,not available,,Pending,SHJ,!!!,!!!,,,,Pending,,,,x
C70777,A-3931775,14 April 2023,not available,(6261.48),junk,,AAN,needs review,needs review,,Y23,,,,,,
,A/1858,2023-04-18,,-1555.5,,In Review,  UAQ,ok,ok,,Y23,m4,In Review,,,,
C80075,A-2423194,06/04/2023,15044.4782652638,,,,  UAQ,ok,ok,,Y23,m4,,,,,
C93751,A-5697881,2023-04-16,16160.24,16172.01082748444,junk,,UAQ,needs review,needs review,,0,m4,,,,,
C60572,A-6729200,2023-04-07 00:00:00,700.7684442735874,699.82,,,FJR,ملاحظة,ملاحظة,,1,m4,,x,,,
C51890,A-3248772,2023-04-19,6718.141705263662,"6,759.20",,In Review,UAQ,needs review,needs review,,0,16,In Review,x,,x,
,A-1813141,02/04/2023,22063.37,(22063.37),,Closed,DXB,needs review,needs review,,Y23,m4,Closed,,,,x
C11043,A/76238,21/04/2023,1000.76,1012.930838756361,,Closed,FJR,ملاحظة,ملاحظة,junk,1,m4,Closed,,x,,
C13504,A-3725168,2023-04-15,5677.96,,,Closed,AUH,ok,ok,,Y23,,Closed,,,,
C71357,A-4777205,11/04/2023,15809.17,(15809.17),,Closed,AAN,ok,ok,,,,Closed,,,,
,A-4360900,02/04/2023,24527.78,not available,,Pending,RAK,,,,Y23,m4,Pending,,,,
C89517,A-2489984,Apr-27-23,,-1015.376753031762,junk,,UAQ,!!!,!!!,,Y23,m4,,,,,
C11415,A-9914377,2023-04-28,(2545.15),-2545.15,,,FJR,,,,Y23,m4,,,,,
C57022,A-7580424,17/04/2023,not available,-1385.35,,,UAQ,!!!,!!!,,0,,,,,,
C36991,A-1786701,,"-4,083.17",-4039.663876778578,,,AAN,ملاحظة,ملاحظة,,1,,,,,,
C16807,A/88026,2023-04-11,,20939,,,AAN,ok,ok,,Y23,14,,,,,
C59151,A-9257391,2023-04-06,(18315.81),(18307.81),junk,Open,FJR,,,junk,Y23,,Open,,,,
C81361,A-1950627,2023-04-25 00:00:00,22279.60554090374,,,Pending,AUH,ok,ok,,0,m4,Pending,,,,x
C97756,A-2553924,Apr-22-23,"15,222.97",15262.9,,CANCELLED,RAK,needs review,needs review,,Y23,72,CANCELLED,x,x,,x
C49080,A-9913189,2023-04-03,"24,307.10",24307.1,,,DXB,needs review,needs review,,Y23,92,,,,,
C49077,A-4619544,2023-04-19,(5012.69),-5012.69,,Closed,AAN,,,,,90,Closed,,,,
C87286,A-6586338,14/04/2023,,,,Pending,DXB,needs review,needs review,,,,Pending,,,,
C31626,A-6895186,2023-04-28,3953.32,"3,925.46",,Pending,RAK,needs review,needs review,,0,,Pending,,,,
C23076,A-8928513,27 April 2023,28842.53995191471,28809.487141034562,,,AAN,needs review,needs review,,1,70,,x,,,
,A-9478635,2023-04-23 00:00:00,-224.70,-186.7610061914928,,Pending,AUH,needs review,needs review,,Y23,,Pending,,,,
C18712,A-1638630,32/13/2023,not available,27593.45,,Closed,DXB,,,,Y23,,Closed,,,,
C71769,A-1070945,2023-04-02,15270.67396407457,"15,312.18",,Open,FJR,ok,ok,,1,m4,Open,,,,
C16593,A-1050427,05 April 2023,11517.6,,,Pending,UAQ,ok,ok,,0,,Pending,,,,x
,A-5768678,Apr-21-23,,,,,RAK,,,,,15,,,,x,
C41612,A-8190628,32/13/2023,-3703.288500322073,-3719.514802630105,,Open,FJR,ok,ok,,1,m4,Open,,,,
C84317,A-2907102,,1784,not available,,CANCELLED,DXB,ملاحظة,ملاحظة,,Y23,m4,CANCELLED,,,,
C53851,A-8552002,32/13/2023,(27742.08),"27,742.08",,Pending,UAQ,needs review,needs review,,Y23,,Pending,,,x,
C72293,A-3887799,08 April 2023,9621.2,9621.2,,,SHJ,ok,ok,,0,,,,,x,
,A-9505292,15/04/2023,(29562.90),29601.87659482619,,,DXB,,,,Y23,m4,,,,,
C74241,A-2714550,12 April 2023,11435.2,(11435.20),,Closed,UAQ,needs review,needs review,,,m4,Closed,x,,,
C35787,A-9066422,04/04/2023,5386.59,5427.993667093298,,In Review,AAN,ملاحظة,ملاحظة,,Y23,m4,In Review,,,,
C88781,A-2802858,2023-04-22 00:00:00,,"4,942.42",junk,CANCELLED,FJR,,,,Y23,m4,CANCELLED,x,,,x
,A-1866101,19/04/2023,,28824.33,,In Review,SHJ,needs review,needs review,,Y23,,In Review,,,,x
C36970,A-6832589,2023-04-16,13340.15439231352,"13,290.18",,Pending,DXB,ok,ok,,Y23,m4,Pending,x,,,
C79582,A-4717370,2023-04-06,-5287.24,-5295.148177272569,junk,,AAN,ملاحظة,ملاحظة,,,85,,,,,
C23065,A/30601,2023-04-21,13529.17,13529.17,,CANCELLED,RAK,ok,ok,,1,m4,CANCELLED,,x,,
,A-6862684,Apr-19-23,"-5,233.99",,,,DXB,ملاحظة,ملاحظة,,1,60,,,,,
C12671,A/3661,2023-04-19 00:00:00,16672.63,16672.63,,Open,AAN,ok,ok,,Y23,m4,Open,,,x,
C56962,A/17965,14/04/2023,12757.18,(12757.18),,CANCELLED,UAQ,!!!,!!!,,,,CANCELLED,,,,
C73925,A-3317039,0000-00-00,28780.06,28765.057371612525,,In Review,UAQ,!!!,!!!,,1,,In Review,,,,
C49851,A-2699979,04/04/2023,-7437.47,-7412.30305479157,,In Review,AAN,,,,1,,In Review,,,,
C11274,A-9867773,25/04/2023,2525.33,2525.33,,In Review,RAK,needs review,needs review,,0,m4,In Review,,,,
C52303,A-9886232,2023-04-27,(22269.91),(22269.91),,CANCELLED,DXB,ok,ok,,Y23,m4,CANCELLED,,,x,
C14329,A-3706345,32/13/2023,21222.96,"21,201.10",,,FJR,ok,ok,,Y23,m4,,,,,
C16690,A-1300582,2023-04-17,"14,414.34","14,414.34",,Closed,DXB,needs review,needs review,,Y23,25,Closed,,,,
C27065,A-2376991,2023-04-22,,,,,FJR,ملاحظة,ملاحظة,,0,75,,,x,,
C17681,A-2474246,32/13/2023,,"12,037.24",junk,In Review,DXB,needs review,needs review,,,,In Review,,x,,x
C27994,A/6498,21/04/2023,10652.13,10668.47337749984,,CANCELLED,FJR,ok,ok,,1,m4,CANCELLED,,,x,
C16514,A-4485092,Apr-01-23,not available,"26,000.43",,,FJR,needs review,needs review,junk,Y23,,,,x,,
C57379,A-1760493,03 April 2023,25367.09,not available,,In Review,FJR,!!!,!!!,,,m4,In Review,,,,
C11087,,2023-04-20,,,,Pending,AAN,!!!,!!!,,,51,Pending,,,,
C40033,A-1695382,2023-04-05,13000.66,13000.66,,Open,FJR,needs review,needs review,,,,Open,,,,
C95401,A-5261473,Apr-09-23,1211.46,,,,AAN,ok,ok,,Y23,,,,,,
C50829,A-5576584,09/04/2023,(2255.39),"-2,255.39",,In Review,AUH,ملاحظة,ملاحظة,,1,,In Review,,,,
C38775,A/66576,2023-04-20,552.89,552.89,,Pending,  RAK,ok,ok,,,99,Pending,,,,
C72894,A/25559,2023-04-09,"2,295.27",2295.27,,Pending,AUH,needs review,needs review,,Y23,,Pending,,,,
C46576,A-7151083,19 April 2023,-5116.810738226406,-5109.216646624836,,In Review,RAK,ok,ok,,,m4,In Review,,,,
C78460,A-4874406,2023-04-04,(3080.20),-3080.2,,Open,AUH,ok,ok,,Y23,,Open,,,,
C22404,A-9159491,2023-04-07,11197.68,,,,DXB,,,,1,49,,,,,
C35189,A-7636820,18/04/2023,-4942.43,"-4,942.43",,Closed,SHJ,ok,ok,,1,13,Closed,,,,
C28180,A-2464616,22/04/2023,-4802.25,-4802.25,,,FJR,ملاحظة,ملاحظة,,0,m4,,,,,
C40553,A-8394406,09/04/2023,,14636.78,,CANCELLED,RAK,needs review,needs review,,,,CANCELLED,x,,,
C11674,A-3236409,0000-00-00,19542.47508418393,19546.57,,Closed,SHJ,,,,1,,Closed,,,,
C14027,A-9464084,32/13/2023,,22225.68856818477,,Open,RAK,,,,1,m4,Open,,,,
,A-1951487,2023-04-26,8437.786792379444,,,In Review,  UAQ,ok,ok,,1,,In Review,,,,
C82155,A/57359,2023-04-14,4832.93,4832.93,,Open,DXB,ok,ok,,Y23,m4,Open,,,,
,A-6215769,2023-04-14,3784.5,3766.513745955159,,Open,  AAN,,,,0,70,Open,,,,
C74408,A-7860409,01/04/2023,"23,618.65",not available,,CANCELLED,  FJR,ok,ok,,0,m4,CANCELLED,,,,
C59598,A-8934217,2023-04-12 00:00:00,5623.2,(5623.20),,Closed,AAN,needs review,needs review,,Y23,m4,Closed,,,,
C14249,A-1455315,Apr-17-23,-2848.31,-2848.31,junk,In Review,DXB,ok,ok,,Y23,82,In Review,,,,
C67445,A-2767196,32/13/2023,15377.83,15377.83,,Open,UAQ,ok,ok,,Y23,m4,Open,,,,
C70404,A-7446973,2023-04-21 00:00:00,"27,948.80","27,948.80",junk,Closed,SHJ,needs review,needs review,,Y23,66,Closed,,,,
,A-7715448,0000-00-00,-3212.84,,,,DXB,needs review,needs review,,,m4,,,,,
C42806,A-9395116,25 April 2023,17064.97184799084,17066.38,,Open,FJR,,,,,m4,Open,x,,,
C71045,A-6028135,24 April 2023,"8,856.36",,,,SHJ,ok,ok,,Y23,52,,,,x,
C69507,A-5461955,Apr-02-23,not available,17783.585037705605,,Closed,AUH,ملاحظة,ملاحظة,,Y23,m4,Closed,,,,
C96329,A-3245343,Apr-22-23,22565.54,22565.54,,,SHJ,needs review,needs review,,,m4,,,,,
C14411,A-5349521,Apr-24-23,,16422.33,,Closed,SHJ,needs review,needs review,,Y23,,Closed,,,,x
C11722,A-4423608,32/13/2023,3852.54,"3,852.54",,Closed,UAQ,!!!,!!!,,Y23,,Closed,,,,
C95501,A-7854550,2023-04-14,"10,844.73",10825.32499907598,,Closed,DXB,ok,ok,,0,75,Closed,,,,
C67364,A-5019394,32/13/2023,13062.52,(13062.52),,Closed,UAQ,!!!,!!!,,,45,Closed,,,x,x
C45046,A-3157123,2023-04-20,-5671.1,-5649.930742310063,,,FJR,ok,ok,,,,,,,,
C92278,A-5352900,25/04/2023,,(22797.07),,Open,AUH,ok,ok,,Y23,,Open,,x,,
C40629,A-5814497,19/04/2023,"13,386.69",13435.338032099702,,,  DXB,needs review,needs review,junk,0,m4,,,,,
C46090,A-7583474,2023-04-08,-5279.6,-5279.6,,,  RAK,ok,ok,,,m4,,,,,
C10676,A-1900367,2023-04-18,,7594.047202904413,,,FJR,ملاحظة,ملاحظة,,Y23,m4,,,,,x
C43869,A-4471497,Apr-18-23,29934.54859763531,"29,901.30",,In Review,DXB,ok,ok,,Y23,m4,In Review,,,,
C41322,A-4699312,Apr-27-23,10102.400774331736,10151.55,,,UAQ,ok,ok,,Y23,,,,x,,
