IDs,IDs,Dates,Amounts,Amounts,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta
P663173,M97003,32/13/2023,21731.907743837506,,1,Y,,مرفوض,مرفوض,,IN,MED,,,
,M63227,2023-03-28 00:00:00,32693.26650214676,,1,N,B071,ok,ok,,IN,INC-5807,,1,1
P774841,m-1359,0000-00-00,10735.1,,,Y,,ok,ok,junkflag,Y23,,,,
,M33047,24 March 2023,"27,459.07",,1,FALSE,B009,duplicate,duplicate,,,,1,,
P881107,M15422,2023-03-19 00:00:00,"25,569.18",,,N,,ok,ok,junkflag,,,1,1,
P914114,M17804,0000-00-00,36240.82209574858,,,,B009,ok,ok,junkflag,Y23,,1,,1
P913082,M25117,32/13/2023,"37,981.91",,,,B060,missing doc,missing doc,,,INC-8351,1,,1
P934742,M94980,06/03/2023,11124.53482221998,,,Y,B066,ok,ok,,IN,MED,,x,
,M45399,20/03/2023,8296.57,,1,N,B101,ok,ok,,,,,,1
P654983,M80295,23/03/2023,28660.02963823646,,x,N,B033,duplicate,duplicate,,IN,INC-2012,,1,
P786318,M24568,Mar-10-23,,,,N,,duplicate,duplicate,,,INC-1476,,1,x
P993313,M89895,10/03/2023,5822.39,,,Y,B085,??,??,,Y23,,x,,
P648040,M14637,2023-03-04,"34,101.03",junkflag,x,Y,B087,,,,Y23,INC-3733,,,1
P264617,M50070,2023-03-12,21472.53615369372,,x,Y,,,,,Y23,INC-6169,,,
P546122,M81452,2023-03-24,833.55,,,N,B116,missing doc,missing doc,,Y23,,,1,1
P692964,M30651,0000-00-00,27020.68,,x,Y,B043,duplicate,duplicate,,Y23,,1,,
P491924,M42058,04/03/2023,2418.25,,x,Y,B044,ok,ok,,,INC-9459,,x,
P891797,M10459,2023-03-09,"25,696.44",,,,B018,ok,ok,,,INC-1837,1,,
P114331,M65789,2023-03-19 00:00:00,"46,304.25",,,Y,B079,,ok,junkflag,,,,,
P960174,M66904,,636.18,,x,Y,B035,مرفوض,مرفوض,,IN,,,,1
P788689,M76287,Mar-22-23,44079.766790475864,,1,TRUE,,مرفوض,مرفوض,,,LOW,1,1,
,m-34468,32/13/2023,"28,056.12",,1,N,B103,,missing doc,junkflag,Y23,,,,
,M68284,2023-03-06,20326.43,,,TRUE,B055,,,,,,,,
P793536,M28967,21/03/2023,(12251.08),,,Y,B106,,,,,INC-4336,1,,
P948994,m-49347,08/03/2023,37834.85,,,,B119,missing doc,missing doc,junkflag,Y23,INC-7141,x,x,1
P879399,M56461,23/03/2023,"49,274.94",,,Y,B013,,,,Y23,,,1,
P624143,M11827,16 March 2023,42673.25925951618,junkflag,,,,ok,ok,,,,,,
P425006,M40361,Mar-27-23,9539.89,,,N,B076,missing doc,missing doc,,Y23,LOW,,1,
P346345,M31316,2023-03-10,not available,,,N,B027,ok,ok,,IN,INC-8945,1,,1
P514249,M62935,2023-03-11,,,,Y,B084,مرفوض,مرفوض,,,INC-4512,,,1
P852187,M99997,2023-03-19,44208.54,junkflag,,N,B001,ok,ok,,Y23,INC-5000,,,1
P602045,M99648,2023-03-27 00:00:00,not available,,1,TRUE,,,duplicate,,Y23,LOW,x,,
P855882,M11295,,37227.37,,,,B023,,,,Y23,INC-8102,,,
P182657,,32/13/2023,(37329.76),,,,B074,ok,ok,,,,,1,
,M80281,Mar-13-23,49538.26,,x,Y,B043,duplicate,duplicate,,,INC-2089,,x,1
P521854,m-78412,2023-03-13,22559.3,,x,Y,B085,,,,IN,INC-6605,1,,
P572241,M93008,02/03/2023,21858.78,,1,Y,B102,missing doc,missing doc,,IN,LOW,1,,x
P471088,M42523,07 March 2023,37746.13,,,FALSE,,duplicate,duplicate,,,,x,,
P645728,M73387,2023-03-26 00:00:00,10763.95,,,Y,B082,??,??,,Y23,INC-7236,,,
P516407,m-67811,2023-03-04,14145.21,,,Y,B009,duplicate,duplicate,,Y23,INC-2551,,,
P713797,M98002,2023-03-18,40953.55,,,,B018,,,,Y23,,1,1,
P471788,M96605,28 March 2023,(23694.13),,,Y,B003,مرفوض,مرفوض,,,MED,1,1,
P520349,m-80471,2023-03-04 00:00:00,3513.4,,,Y,B093,duplicate,duplicate,,Y23,MED,,,1
P875913,M20812,2023-03-14 00:00:00,12614.01,,,Y,B077,duplicate,,,IN,,,,
,,32/13/2023,863.06,,,N,B063,duplicate,duplicate,junkflag,IN,INC-5091,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,
POLICY_REF,INSURED_ID,_Loss_Date__,ClaimValue#,claim_amt,Unnamed: 0,_AUTH_FLAG__,batch_identifier,review_notes,Comments,,year_added_2023,new_col_202303,mystery_2023_03_32,mystery_2023_03_58,Unnamed: 0
,M20799,2023-03-28,27283.1,,,Y,B103,??,??,,Y23,,,,
P859500,M72922,Mar-21-23,(42222.89),,x,Y,B064,ok,ok,,Y23,INC-2589,x,,
P308524,M45238,05/03/2023,25175.49,junkflag,,Y,B103,,,,Y23,LOW,,1,
P975045,M16765,15/03/2023,(27082.46),,,Y,,missing doc,missing doc,,IN,,,1,x
P424110,M49034,Mar-05-23,27877.4,,,,,missing doc,missing doc,,Y23,,x,1,1
P942046,M48201,32/13/2023,,,,Y,,مرفوض,مرفوض,,,INC-4754,x,,
,M85548,2023-03-21,"39,013.13",junkflag,x,N,B108,missing doc,missing doc,,Y23,INC-9845,1,,
,m-60239,05/03/2023,37596.58,,,Y,,ok,ok,,Y23,LOW,,1,1
P580007,,2023-03-06,"28,082.70",,,N,B002,,,,IN,,1,1,
P301060,M48811,06/03/2023,19458.16,,1,TRUE,B072,مرفوض,مرفوض,,IN,,,,
P396183,m-77202,20 March 2023,1592.529827764432,,1,Y,B107,ok,ok,,IN,,,,
,M61591,2023-03-22,13738.2,,,FALSE,,ok,ok,,Y23,MED,,,
,M15434,Mar-03-23,,,,N,B020,,,,Y23,INC-3906,,,
P464907,M61935,05 March 2023,38190.34,,x,N,B100,ok,ok,,,INC-6074,,1,1
P819452,M55760,10/03/2023,19792.59,,1,Y,B051,duplicate,duplicate,,Y23,INC-8429,1,x,
P417460,M98907,2023-03-28,30874.5,,1,Y,B114,ok,ok,,IN,,1,,x
P719387,M20162,13/03/2023,45381.27,,1,Y,B084,,,,IN,HIGH,x,1,
P951675,m-69733,09/03/2023,"9,224.14",,,N,,ok,ok,,,,,1,
P980571,M34035,01/03/2023,41821.64557853811,,x,Y,,,,,Y23,INC-3407,,,1
P185287,M40425,32/13/2023,not available,,,N,B104,ok,ok,,,INC-1032,,1,1
,M26659,2023-03-22,10025.95,junkflag,,N,B115,ok,ok,,Y23,LOW,,,
P699431,m-73887,23/03/2023,7039.200795990327,,,Y,B092,,,,IN,INC-5554,,1,
P353559,M91060,01 March 2023,8224.17,,,N,,ok,ok,junkflag,Y23,,1,,
P188057,M96851,13/03/2023,23577.69,,,N,B062,ok,ok,,IN,HIGH,1,x,1
P506694,,2023-03-25,363.33,,,Y,B091,,,,,INC-8987,1,,
,M85567,02/03/2023,12165.51329677402,,,Y,B029,,,,,MED,,,
,m-69582,2023-03-18 00:00:00,49755.55,,,FALSE,B038,missing doc,,,Y23,HIGH,x,1,
,M52681,2023-03-21,,,,N,B067,,,,IN,,1,,x
P378462,M99679,24/03/2023,44328.42,,1,N,B107,مرفوض,مرفوض,,IN,,,1,1
P380169,M88905,32/13/2023,,,,Y,B109,missing doc,missing doc,,IN,,,1,
P244455,M84296,Mar-19-23,,,,Y,B044,ok,ok,,,LOW,1,1,
,M47671,2023-03-24,14300.71902862907,,1,Y,B004,missing doc,missing doc,,,HIGH,,1,x
P371091,M47491,22/03/2023,(9774.68),,,N,B103,مرفوض,مرفوض,,Y23,INC-1499,1,1,1
P718982,M94239,2023-03-15,17481.57,,,Y,,missing doc,,junkflag,IN,INC-5190,1,,x
P721308,M10528,2023-03-17,(31159.74),,1,Y,B081,,,,IN,INC-1106,,,
P733112,M50797,21/03/2023,22644.45,,,N,B028,ok,ok,,,,,x,
P715066,M83464,2023-03-06,(32395.62),,1,Y,,ok,ok,,IN,INC-5125,1,x,
P243895,M91150,0000-00-00,28638.39,,,Y,B030,مرفوض,مرفوض,,IN,HIGH,,,
P595840,M74649,Mar-18-23,(48820.81),,,Y,B050,missing doc,missing doc,,,,1,,
P950214,,Mar-12-23,3994.92,,1,Y,,مرفوض,مرفوض,,IN,MED,1,,
P606172,M86151,,30687.89,,,Y,,duplicate,duplicate,,Y23,,,,x
P618752,M44386,2023-03-25,(36826.59),,1,N,,missing doc,missing doc,,Y23,INC-9537,,,1
P729126,M69186,Mar-26-23,30414.38,,1,Y,B015,,ok,,Y23,,1,1,x
P878096,M69480,01/03/2023,not available,,1,,B110,,,,IN,INC-5778,1,,
P521173,M97120,32/13/2023,not available,,,N,,missing doc,missing doc,,Y23,,,,
P496054,M23337,32/13/2023,"38,491.08",,,Y,,duplicate,duplicate,junkflag,Y23,,,,x
P588888,M30000,2023-03-23,31774.78,,,Y,B059,,,,,INC-2117,x,,
P477035,M62515,2023-03-27,"42,372.13",,,N,B090,missing doc,missing doc,,,HIGH,,,
,,2023-03-02,41893.36,,,Y,,,,,Y23,,,,
P425963,,2023-03-15,,,,Y,B014,ok,ok,,Y23,HIGH,,,
P100657,M18554,0000-00-00,,,1,N,B055,duplicate,duplicate,,,,,1,
P206037,M39872,2023-03-25,,,,Y,B116,missing doc,missing doc,,,,,,
P996989,M72885,Mar-17-23,,junkflag,1,TRUE,B050,مرفوض,,,Y23,,,,
,M63511,2023-03-28,27770.842176819293,,1,Y,B067,missing doc,missing doc,,Y23,HIGH,,,
P753525,M49062,,not available,,,Y,B082,مرفوض,مرفوض,,IN,INC-4901,,,
P695307,M96396,2023-03-04,,,,Y,B099,??,??,,Y23,,,,1
,M77701,2023-03-19,14404.290732633326,,,Y,B105,duplicate,duplicate,junkflag,Y23,HIGH,1,1,x
P442083,M53710,2023-03-10 00:00:00,,,,Y,,ok,ok,,,INC-2709,,,x
,M21245,2023-03-12,34988.14,,,Y,,,ok,,Y23,,x,,
P774974,M33562,32/13/2023,,,x,Y,B087,ok,ok,,IN,,,1,
P297938,M49481,2023-03-18 00:00:00,43987.33,,,Y,B051,ok,ok,,Y23,MED,1,,
P698254,M42843,12 March 2023,"30,799.29",junkflag,,Y,B040,missing doc,missing doc,,,INC-9416,x,,
P294015,M16442,32/13/2023,,,,Y,B031,missing doc,missing doc,,,MED,,,
P776529,,13 March 2023,(7390.46),,,Y,B116,,,,IN,INC-1152,1,x,
P246488,M19087,2023-03-18 00:00:00,,,,,B005,ok,ok,,Y23,INC-5045,,,1
P799933,M81691,2023-03-11,26504.41,,1,,B010,,,,Y23,INC-9859,,,1
P846429,M74857,2023-03-14,(19487.69),,,N,,??,??,,,INC-8691,,,
P982135,M16155,25/03/2023,27099.24,,1,,B058,مرفوض,مرفوض,,Y23,LOW,,,x
P443994,M30791,32/13/2023,37094.994796263076,,1,TRUE,B005,,,,,,,,
,,2023-03-18,35789.97,,,Y,B007,مرفوض,مرفوض,,,,1,,
,M18304,Mar-06-23,"5,549.41",,,TRUE,B114,ok,ok,,Y23,,,1,1
P464292,M23933,Mar-23-23,,,1,Y,,,duplicate,,Y23,,x,,
P667446,M80780,32/13/2023,"28,271.26",junkflag,1,,,,duplicate,,Y23,,,,
P648421,M82870,2023-03-03,27192.17976013817,,,Y,B089,,missing doc,,Y23,,,,
P416243,M60474,12 March 2023,10043.22,junkflag,,TRUE,B039,??,??,junkflag,Y23,,,,
P944199,M42044,2023-03-27,41309.27,,,Y,B066,,,,Y23,INC-9821,,x,
,,32/13/2023,3522.886843228797,,,N,,مرفوض,,,,LOW,,1,
P538861,m-54246,2023-03-24,20296.67808841272,,,Y,B101,ok,ok,,,LOW,,,1
P155601,m-25906,32/13/2023,1384.8,,,N,B073,missing doc,missing doc,,Y23,INC-4627,,,
P768076,M19097,2023-03-14,8056.16,,,Y,B063,مرفوض,مرفوض,,IN,INC-6430,,,
P199191,M59330,18/03/2023,,,,Y,B041,ok,,,IN,LOW,,,x
P947859,M79967,13/03/2023,5577.05,,1,Y,B020,missing doc,missing doc,junkflag,,INC-5791,,1,
P273292,M13930,32/13/2023,43543.40269085098,,1,Y,B015,,,,Y23,INC-1779,1,x,
P651349,M15503,2023-03-09,(35114.72),,,Y,,,duplicate,,,INC-6275,1,1,
,M55277,2023-03-01,36125.39,,,TRUE,B103,duplicate,duplicate,,Y23,INC-1197,,,x
P715649,M45820,09/03/2023,"48,780.80",,1,,,missing doc,missing doc,,Y23,HIGH,,,
P443794,M38405,2023-03-06,(44602.99),,,N,B068,,,,IN,,,,1
P443882,M55870,2023-03-15,(42052.95),,,Y,B079,missing doc,missing doc,,IN,INC-4267,x,1,
P226764,M86618,2023-03-07,"16,068.08",,1,Y,,missing doc,missing doc,,Y23,INC-9845,,x,
P149973,M56938,2023-03-08,13088.45,,,,B077,missing doc,missing doc,,IN,INC-6316,,,x
P928137,M12976,0000-00-00,2551.66,,,Y,B009,missing doc,missing doc,,Y23,INC-4944,,1,
,m-16881,2023-03-01,46133.98,,,Y,,duplicate,duplicate,,,INC-9351,,,
,M90823,,16778.66,,,,,ok,ok,,Y23,INC-2316,,x,
P364900,m-56988,Mar-10-23,,,,TRUE,B079,missing doc,missing doc,,,,1,,
P508897,M55708,Mar-21-23,21720.44,,x,Y,B057,missing doc,missing doc,,Y23,,,,
P636632,M75852,32/13/2023,(33836.98),,,,B036,ok,ok,,,,,,
,M45315,2023-03-19,10424.82,,,TRUE,,,ok,,Y23,,,,
P891845,M27279,2023-03-25,(5762.64),,,Y,B070,??,??,,Y23,,,,x
P503801,M17867,Mar-01-23,"7,434.30",,x,,,مرفوض,,,IN,HIGH,,1,1
P722451,M99801,22 March 2023,,,,Y,,ok,ok,,,LOW,,1,
P817120,M17756,32/13/2023,6330.87,,1,N,B090,duplicate,duplicate,,IN,,,,
P101985,M55522,32/13/2023,39514.58,,,Y,B118,,,,IN,HIGH,,1,x
P718932,M12903,Mar-14-23,32028.04,,,Y,B056,missing doc,,junkflag,Y23,INC-5366,,x,1
P244033,M21622,12 March 2023,,junkflag,,FALSE,B060,,,,Y23,,,1,x
P536710,,14/03/2023,27797.6,,1,Y,,,,,,INC-2523,,,x
P601048,M39480,Mar-10-23,19051.48,,,N,B045,duplicate,duplicate,,Y23,INC-7495,x,,
P773179,M41467,Mar-12-23,,,,,B025,,,,Y23,LOW,x,,x
P477174,M28371,03/03/2023,,,1,FALSE,,مرفوض,مرفوض,,IN,INC-4089,1,,
P519597,M34960,15 March 2023,not available,,,Y,B110,,,,Y23,,,,
P248736,M36415,Mar-25-23,12922.761555232591,,,Y,B038,ok,ok,,,INC-6930,x,,
