C47852,A-7781598,03/07/2022,"18,051.39",18047.7272784606,EUR,Closed,RAK,needs review,needs review,,1,m7,Closed,,,x,,,
C15183,A/14743,07 July 2022,,,usd ,In Review,SHJ,ok,ok,,Y22,,In Review,,,,,x,x
C15065,A-1232685,2022-07-24,3608.68,,EUR,Closed,AAN,ok,ok,,Y22,54,Closed,,,,,,x
,A-3502327,2022-07-19 00:00:00,-4201.188117244087,-4226.7,OMR,In Review,UAQ,ok,ok,,,,In Review,,,,,,
,A-4905111,13/07/2022,not available,not available,GBP,CANCELLED,DXB,,,,,m7,CANCELLED,,,,,,
C89688,A-6656156,2022-07-05,28408.51,"28,413.62",GBP,Open,SHJ,ok,ok,,0,37,Open,,x,,,,
C51844,A-5127420,17 July 2022,"3,578.04",3588.83,EUR,CANCELLED,FJR,ok,ok,,Y22,m7,CANCELLED,,,,,,
C98951,A-4129219,2022-07-15 00:00:00,,1442.08,EUR,Open,FJR,needs review,needs review,junk,1,99,Open,x,,,,,
C53094,A-1144761,2022-07-26 00:00:00,17445.95,"17,445.95",AED,In Review,AUH,needs review,needs review,junk,0,m7,In Review,,,,,,
C60851,A-5612611,2022-07-04,,14616.59,EUR,,UAQ,ok,ok,,,m7,,,,,,,
C83246,A-6658229,28/07/2022,29639.85,"29,676.27",OMR,,AAN,needs review,needs review,,1,73,,,,,,,
C66916,A-1632042,08 July 2022,28350.4,28301.7067546619,EUR,,RAK,ok,ok,,1,,,,,,,,
,A-6481783,32/13/2023,12575.17,12573.31574317866,EUR,CANCELLED,FJR,!!!,!!!,junk,Y22,m7,CANCELLED,,,,,,
C64557,A/35576,16/07/2022,808.87,797.63,EUR,Pending,RAK,!!!,!!!,,1,,Pending,x,,x,,,
C97102,A/37971,15 July 2022,21925.93,21967.982510801292,AED,Closed,DXB,!!!,!!!,,0,13,Closed,,,,,,
,A-8559079,Jul-20-22,5582.48,,GBP,Open,AAN,needs review,needs review,,0,,Open,,,,,,
C84936,A/69657,2022-07-23,"26,842.23",26842.23,OMR,Closed,AAN,ok,ok,,Y22,28,Closed,,x,,x,,
C84298,A-2355237,2022-07-15 00:00:00,7136.546721695688,"7,183.64",EUR,CANCELLED,AAN,ملاحظة,ملاحظة,,,m7,CANCELLED,,,,,,
,A-3922464,2022-07-12,(21659.01),21678.62032022539,usd ,Open,DXB,ok,ok,,Y22,m7,Open,,,,,,
C30508,A-7662746,12 July 2022,(22955.87),22955.87,SAR,CANCELLED,DXB,ملاحظة,ملاحظة,,,m7,CANCELLED,,,,,,
C95687,A-6494378,0000-00-00,11215.5,11191.03725286263,SAR,CANCELLED,UAQ,needs review,needs review,,Y22,,CANCELLED,,x,,,,
C99907,A-4971654,19 July 2022,7071.92,,SAR,Pending,SHJ,,,,,,Pending,,,x,x,,
,A-1028358,Jul-22-22,-4147.901351802966,,OMR,In Review,AAN,,,junk,Y22,,In Review,,,x,,,
,A-2250418,2022-07-10,"-2,350.03",(2340.08),EUR,Closed,SHJ,!!!,!!!,,,,Closed,,,,,,
C49956,A-5751386,17/07/2022,4424.52,4379.583769086335,OMR,Open,RAK,,,,,,Open,,,,,x,x
,A-9227102,2022-07-27,18347.72,18347.72,usd ,Pending,UAQ,,,,Y22,10,Pending,,,,,,
C50354,A-6079934,Jul-27-22,15734.24,15734.24,sar ,Pending,AAN,needs review,needs review,,Y22,,Pending,,,,,,
C85752,A-4198269,32/13/2023,26863.37,26863.37,AED,CANCELLED,FJR,,,,Y22,m7,CANCELLED,,,,,,
,A-4554227,2022-07-23,-5156.18,,OMR,,UAQ,ملاحظة,ملاحظة,,Y22,m7,,,,,,,
C43437,A-3260366,05/07/2022,27888.79,"27,888.79",SAR,In Review,AUH,,,junk,,,In Review,,,,,,
C66908,A-1230132,Jul-03-22,17258.33,17256.000920334194,SAR,,AAN,,,,Y22,,,,,,,x,
C15104,A-9981538,2022-07-12,5996.69,5996.69,USD,,AAN,ok,ok,,,m7,,,x,,,,
C41431,A-1832497,17 July 2022,10767.97,10767.97,AED,CANCELLED,FJR,needs review,needs review,,0,m7,CANCELLED,,,,,x,
C70365,A-5562452,Jul-19-22,(19841.40),,USD,Pending,FJR,,,,,,Pending,,,,,,
C46741,A-2390897,2022-07-24,1406.293810035421,1410.5503850001471,USD,,SHJ,,,junk,0,m7,,,,x,,,
C46185,A-9968888,32/13/2023,5543.15,5543.15,EUR,Open,FJR,needs review,needs review,,1,,Open,,,,,,
C85162,A-3073557,32/13/2023,-7524.034890008168,-7550.41,GBP,Pending,DXB,ملاحظة,ملاحظة,,Y22,m7,Pending,,,,,,
C18907,A-9055545,2022-07-16,not available,7022.43,AED,Closed,RAK,ok,ok,,Y22,m7,Closed,,,,,,
C93388,A-4816281,2022-07-06,(12371.74),12371.74,EUR,In Review,RAK,ok,ok,,1,33,In Review,,,,,,
C32414,A/46875,Jul-28-22,,7568.29,OMR,,AUH,,,,1,m7,,,,,,,x
C39049,A-3865059,2022-07-05,6461.76,,EUR,Closed,FJR,needs review,needs review,,Y22,m7,Closed,,,,x,,
C30065,A-1005392,26 July 2022,-2951.88,,EUR,,FJR,,,,Y22,m7,,,,,,,
C93616,A-8283894,2022-07-18,23054.95,23054.95,USD,Open,DXB,ملاحظة,ملاحظة,,0,m7,Open,,x,,,,
C11378,A/29659,Jul-27-22,-3439.42,-3439.42,GBP,,AUH,needs review,needs review,,Y22,,,,x,,,,
,A-5877351,28/07/2022,,"12,613.19",USD,In Review,AAN,,,,,82,In Review,,,,,,
C23946,A-8272310,17/07/2022,(22498.50),(22512.01),OMR,,FJR,,,junk,Y22,m7,,,,,,,x
C55280,A-6957121,2022-07-06,"16,135.52",16138.20794455991,AED,In Review,AAN,ok,ok,,Y22,70,In Review,,x,,,,x
C78718,A-5294101,2022-07-19,not available,6338.08,GBP,Open,RAK,,,,,,Open,,,,,,
C79097,A-7663512,2022-07-11,17684.260428123096,,OMR,Open,AAN,,,,Y22,,Open,,,,,,
,A-5969614,2022-07-07,17954.02,,SAR,In Review,DXB,ok,ok,,,,In Review,,,,,,x
C65100,,02 July 2022,4617.751469077985,4616.54,sar ,Open,SHJ,ok,ok,,Y22,m7,Open,,,,,,x
C14144,A-1303175,2022-07-23,"23,685.64",23681.29721576808,sar ,Open,FJR,needs review,needs review,,1,m7,Open,,,,,,
C83758,A-8373242,22/07/2022,28781.37,28781.37,SAR,Pending,SHJ,ok,ok,,0,m7,Pending,x,,,,,
C70921,A-6842673,14/07/2022,(12140.79),12140.79,AED,Closed,  DXB,,,,Y22,m7,Closed,,x,,,,
C12017,A-7081644,2022-07-22,26911.05,26911.05,EUR,Open,DXB,needs review,needs review,,Y22,97,Open,,,,,,
C42651,A-3716454,,20128.82298380496,20124.0,USD,Open,  AAN,needs review,needs review,junk,,m7,Open,,,,x,,
C24257,A-1210066,04/07/2022,,"11,690.99",USD,Closed,RAK,ملاحظة,ملاحظة,,Y22,m7,Closed,,x,,,,
C63206,,2022-07-28 00:00:00,,569.7139470410111,SAR,Closed,AUH,!!!,!!!,,Y22,m7,Closed,,,,,,
C29572,,17 July 2022,-6794.22,-6794.22,SAR,,AAN,,,,Y22,m7,,,,,,x,
,A/19112,03/07/2022,29529.87,"29,506.81",EUR,In Review,SHJ,ok,ok,,0,m7,In Review,,,,,,
,A-6820562,2022-07-16,15509.37526550402,15544.18,OMR,Pending,FJR,ok,ok,,Y22,m7,Pending,,,,,,
C80430,A-8026538,01 July 2022,6154.22,6154.22,AED,,RAK,,,,0,14,,,,,,,
C11133,A-9172168,2022-07-28 00:00:00,29579.21,29579.21,EUR,Closed,DXB,needs review,needs review,,Y22,81,Closed,,,,x,,
C20657,A-7769516,2022-07-28,"28,393.68",28393.68,USD,Closed,SHJ,!!!,!!!,,Y22,m7,Closed,,x,,,,x
C32027,A-9212019,13/07/2022,21120.49,"21,120.49",SAR,In Review,AUH,,,,Y22,m7,In Review,,,x,,,x
C20064,A-9914455,2022-07-24,,22429.29,USD,Pending,FJR,,,,Y22,40,Pending,,,,,,
C95371,A-3427529,2022-07-09 00:00:00,,15654.03,SAR,Open,FJR,ملاحظة,ملاحظة,,,m7,Open,,,,,,x
C62849,A-7238559,2022-07-16,,3567.35,GBP,Open,SHJ,ok,ok,,Y22,,Open,,,,,,
C52474,A-5323370,Jul-15-22,"12,548.93",12548.93,AED,Pending,DXB,needs review,needs review,,1,,Pending,,,,,,
C10187,A-9964099,2022-07-22,24774.97,24774.97,EUR,In Review,AAN,ok,ok,,0,m7,In Review,,,,,,
C91339,A-9020238,2022-07-26 00:00:00,,18494.78312856747,OMR,Pending,  DXB,needs review,needs review,junk,0,m7,Pending,,,,,x,
C22578,A-2241232,32/13/2023,,-25.22,EUR,Pending,SHJ,,,,0,,Pending,,,x,,,
C62530,A-8447349,2022-07-03,"16,200.97",16200.97,OMR,In Review,RAK,,,,Y22,m7,In Review,,,,,,
C78909,A-6730584,Jul-03-22,19712.6,"19,670.31",USD,In Review,FJR,needs review,needs review,,Y22,,In Review,,,,,,
C73639,,2022-07-01,"-5,866.05",,EUR,,RAK,,,,1,,,,,,x,,
C14577,A-5036028,2022-07-27 00:00:00,14961.1442103227,,OMR,Pending,AUH,ملاحظة,ملاحظة,,Y22,m7,Pending,,,,,,
C61501,A-8310326,21/07/2022,25641.27,25689.356671674457,OMR,Open,AUH,needs review,needs review,,0,m7,Open,,,,,,
C94107,A-6324002,2022-07-12 00:00:00,not available,(27582.94),OMR,Closed,FJR,ok,ok,,Y22,,Closed,,,,,,x
C61415,A-2870640,13/07/2022,-3032.872712536197,,AED,,AAN,ok,ok,,Y22,,,,,,,,
C48292,A-9292578,2022-07-20,,"16,191.98",USD,Closed,AUH,,,,Y22,m7,Closed,,x,,,,
C31471,A-1225241,10/07/2022,,5116.08,SAR,Open,FJR,!!!,!!!,,0,41,Open,,,,,,
C66809,A-5920009,32/13/2023,,19743.09,usd ,,FJR,ok,ok,,,93,,,,,,,
C32352,A-8115088,2022-07-11,28805.32,28805.32,GBP,,SHJ,ok,ok,,,34,,,,,,,
,A-5949722,2022-07-25,25914.51,"25,914.51",SAR,CANCELLED,  RAK,ملاحظة,ملاحظة,junk,1,m7,CANCELLED,,,,,,
C25463,,32/13/2023,16338.68,,AED,CANCELLED,FJR,,,junk,,,CANCELLED,,,,,,
C27365,A-8151060,11 July 2022,"11,205.50",not available,USD,In Review,SHJ,,,,Y22,85,In Review,,,,,,
C21340,A-4503039,2022-07-02 00:00:00,,14328.01,GBP,,SHJ,ok,ok,,Y22,m7,,,,,,,x
C69270,A-2348399,23/07/2022,"-3,517.04","-3,554.95",USD,,RAK,,,,1,m7,,,,,,,
C95858,A-7881360,2022-07-04 00:00:00,3080.3,3080.3,aed ,CANCELLED,DXB,,,,0,,CANCELLED,,,,,,
C99942,A-9899608,Jul-16-22,-3310.098778556165,-3316.32,AED,Open,SHJ,needs review,needs review,junk,,m7,Open,,,,,,
C93705,A-9112882,Jul-27-22,699.47,685.1327247941942,SAR,,  AUH,needs review,needs review,,,,,,,x,,,
,A-3321185,2022-07-06,2751.02,2751.02,aed ,CANCELLED,AUH,needs review,needs review,,,m7,CANCELLED,,,,,,
C82192,A-8130441,2022-07-27,,11152.46,USD,CANCELLED,UAQ,needs review,needs review,,Y22,,CANCELLED,,x,,x,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,,,
CLIENT_REF,ledger_account !!,POSTING DATE,Value,net_value,currency_code !!,Approval_Status,branch_region,Notes !!,Commentary,,YEAR_ADDED_2022, new_col_202207 ,Status,mystery_2022_07_4,mystery_2022_07_59,mystery_2022_07_86,mystery_2022_07_29,mystery_2022_07_19,Unnamed: 0
C70676,A/38790,24 July 2022,5928.561719933887,5888.125174448462,USD,Pending,UAQ,,,,Y22,m7,Pending,,,x,,,
C72937,A-7905758,2022-07-01,23721.96,,GBP,,  RAK,needs review,needs review,,,m7,,,,,,,
C85740,A/86183,2022-07-08,,22407.73,SAR,Pending,  UAQ,needs review,needs review,,,,Pending,,,,,x,
,A-5154430,05/07/2022,22475.34,22484.68316928864,OMR,,AAN,,,,,19,,,,,,,
C46066,A-8698688,2022-07-23,,6000.03199125065,USD,Open,RAK,!!!,!!!,junk,Y22,m7,Open,,,,,,
C62979,A-2627299,2022-07-06 00:00:00,,(7014.85),SAR,CANCELLED,UAQ,ok,ok,,Y22,,CANCELLED,,,x,,,
,A-1516959,12/07/2022,22143.79,,OMR,CANCELLED,FJR,!!!,!!!,junk,1,m7,CANCELLED,,,,,x,x
C33433,A/15646,32/13/2023,23326.36,23326.36,EUR,Pending,FJR,needs review,needs review,,Y22,67,Pending,,,,,,
C58966,A-5074307,Jul-21-22,27353.7724235288,,EUR,Pending,  DXB,ملاحظة,ملاحظة,,1,53,Pending,,,,,,
C53351,A-8706330,2022-07-14,20433.29714627158,20412.59,USD,,AAN,,,,1,m7,,,,,,,
C90666,,24/07/2022,19815.48,19815.48,SAR,,UAQ,needs review,needs review,,,,,,,,,,
C76336,A-6021900,Jul-03-22,(899.86),899.86,OMR,,  FJR,,,,Y22,m7,,,,,,,x
C31070,A-8734379,2022-07-09 00:00:00,13074.546715896153,13037.11,USD,,UAQ,ok,ok,,Y22,,,,,,,,
C60401,A-7468533,Jul-20-22,15282.24913627576,15228.17601859886,AED,,FJR,,,,Y22,30,,,,,,,
C58027,A-3872240,2022-07-06 00:00:00,924,(924.00),EUR,Closed,AAN,needs review,needs review,,,m7,Closed,,,,,,
C94632,,05/07/2022,-4507.23,-4483.622093128892,EUR,CANCELLED,RAK,needs review,needs review,,,,CANCELLED,,,,,,
C96877,A-8382489,26 July 2022,,"23,995.70",OMR,CANCELLED,AUH,ok,ok,,0,m7,CANCELLED,,,,,,
C95303,A-7818350,2022-07-18,,"23,084.87",OMR,Open,FJR,,,,1,,Open,,,,,x,
,A/53823,2022-07-18,,3208.02767256672,OMR,,DXB,needs review,needs review,,Y22,m7,,,,,,,
C34422,A-4478010,2022-07-27,26473.76902398271,26509.48569992109,EUR,,UAQ,,,,Y22,,,,,,,,x
C74523,A-8064356,Jul-23-22,,,GBP,In Review,  FJR,ok,ok,,Y22,m7,In Review,,,,,,
C30586,A-9726765,2022-07-09,-4106.5,-4106.5,SAR,Open,RAK,ok,ok,,,,Open,,,,,,
C37753,A-7459419,2022-07-12,"8,822.87",8822.87,GBP,,RAK,ملاحظة,ملاحظة,,1,m7,,,,,,,
C16689,A-6005919,2022-07-10,not available,,SAR,CANCELLED,DXB,ok,ok,,Y22,m7,CANCELLED,,,,,,
C23908,A-6028673,Jul-20-22,9970.1,9970.1,EUR,In Review,AAN,,,junk,Y22,m7,In Review,,,,,,
C94946,A-9853645,,-3850.28,-3850.28,EUR,Open,AUH,ok,ok,,0,,Open,,,,,,
C37513,A/18298,Jul-22-22,,13716.14,GBP,Open,  FJR,,,,Y22,,Open,,,,,,x
C43677,A-5564963,32/13/2023,,29475.02,EUR,Closed,RAK,ok,ok,,Y22,m7,Closed,,,x,,,
,A-4707890,2022-07-09,19178.15,19190.65151979652,GBP,Closed,RAK,needs review,needs review,,Y22,m7,Closed,,,,,,x
C66430,A-5904876,2022-07-13,,9828.8,EUR,Pending,AUH,ملاحظة,ملاحظة,,Y22,m7,Pending,x,,,,x,
C76336,A-2210933,26 July 2022,-3120.08,-3120.08,OMR,Closed,DXB,needs review,needs review,,1,m7,Closed,,,,,,
,A-6789120,Jul-05-22,-9.17,-9.17,SAR,,  UAQ,needs review,needs review,,1,97,,,,,x,,
C16817,A-8574137,05/07/2022,7952.825135131305,7938.09,AED,In Review,AUH,needs review,needs review,junk,Y22,18,In Review,,,,,,x
C76172,A-2816377,32/13/2023,9956.59214170324,9947.41,USD,Open,UAQ,ok,ok,,Y22,,Open,,,,,,x
,A-4414789,21/07/2022,8445.64220592425,8399.31,EUR,Closed,AUH,,,,Y22,m7,Closed,,,,,,
C63562,A-8772036,2022-07-19,"-4,716.49",-4689.2,SAR,,AUH,needs review,needs review,,,53,,,,,,x,
C99999,A-7713369,32/13/2023,17318.69,17318.69,OMR,Open,DXB,ok,ok,,Y22,,Open,,,,,,
C85554,,08 July 2022,,,AED,Closed,RAK,,,,Y22,74,Closed,,,,,x,x
,A-4290790,Jul-11-22,29352.62,29352.62,USD,Open,RAK,needs review,needs review,,Y22,,Open,,,,,,
C19005,A-8183933,32/13/2023,"28,977.91",28977.91,GBP,In Review,AAN,ok,ok,,Y22,m7,In Review,,,,,,
C54931,A/36855,2022-07-15,5185.58,5185.58,GBP,CANCELLED,  AAN,,,,Y22,m7,CANCELLED,,,,,,
C10828,A-3994385,32/13/2023,6504.46,6504.46,SAR,In Review,FJR,ok,ok,junk,Y22,m7,In Review,,,,,,
C33018,A-2671421,2022-07-27 00:00:00,(22586.60),not available,AED,Closed,FJR,ok,ok,,0,m7,Closed,,,x,,x,
C47317,A-7602336,Jul-27-22,(25628.08),25650.01,EUR,Pending,FJR,needs review,needs review,,1,46,Pending,,,,,,x
C27563,A-3192824,Jul-09-22,20840.34,"20,840.34",OMR,CANCELLED,RAK,needs review,needs review,,,,CANCELLED,,,,,,
C23658,A-1702214,2022-07-23,25527.00978506357,"25,514.46",SAR,CANCELLED,FJR,ok,ok,,,m7,CANCELLED,,,,,,
C41857,A/38875,2022-07-02,,"3,399.65",SAR,,SHJ,ok,ok,,Y22,,,,,,,,
C67543,A-5651451,2022-07-14,12369.97,12369.97,USD,,  RAK,needs review,needs review,,Y22,34,,,,,,,
C28350,A-5124643,0000-00-00,25417.854740654373,25412.61,EUR,Pending,RAK,ok,ok,,Y22,m7,Pending,,,,,,x
C39575,A-8977234,2022-07-19 00:00:00,24026.3,24026.3,GBP,In Review,AUH,ok,ok,,Y22,78,In Review,,x,x,x,,
C90091,A-1432094,32/13/2023,4213.94,not available,AED,Pending,FJR,ok,ok,,Y22,35,Pending,,x,,,,
C51076,A-2353100,2022-07-01,-5022.71,-4987.395309487738,AED,,AAN,ok,ok,junk,Y22,77,,,,,,,
C53622,A-3719708,0000-00-00,28160.24,28160.24,SAR,Open,SHJ,ملاحظة,ملاحظة,,1,,Open,,,,,,
C38273,A-8625236,32/13/2023,9582.71,9621.152506284148,AED,Open,UAQ,ok,ok,,1,m7,Open,x,,,,,
C22843,A-6696815,2022-07-03,9021.708801539002,"9,012.50",USD,,AAN,ok,ok,,Y22,m7,,,x,,,,
C98288,A-7810631,Jul-11-22,(4873.63),-4873.63,SAR,CANCELLED,DXB,ok,ok,,0,m7,CANCELLED,,,,,,
C24198,A-1930122,Jul-19-22,5723.08,5723.08,OMR,Open,FJR,!!!,!!!,junk,0,,Open,,,,,,
C26980,A-5326900,20/07/2022,,,GBP,Pending,UAQ,ملاحظة,ملاحظة,,Y22,m7,Pending,,,,,,
C49563,A-7976873,Jul-27-22,20942.87,20942.87,USD,Pending,DXB,needs review,needs review,,,m7,Pending,,,x,,,
C51004,A-4398161,2022-07-26,9203.38,9244.384117192927,SAR,In Review,AUH,,,,0,m7,In Review,,,,,,
C79963,A/22414,2022-07-25 00:00:00,5980.1,5980.1,SAR,Closed,AAN,needs review,needs review,,Y22,m7,Closed,x,,x,,,
C25268,A-7071658,2022-07-03,,314.75,USD,Open,SHJ,ملاحظة,ملاحظة,,Y22,m7,Open,,,,,,
,A-9361114,18 July 2022,26545.32191311423,26539.46011400727,AED,Open,DXB,!!!,!!!,,Y22,53,Open,,,,,,
C79581,A-2944511,Jul-24-22,4548.68,4548.68,USD,Open,UAQ,,,,Y22,,Open,,,,,,
C93373,A/43568,32/13/2023,27086.44,27075.73844385792,GBP,,AUH,,,,,26,,,,,,,
C40291,A-1196763,2022-07-06,(17329.54),17350.19,AED,,  UAQ,ok,ok,,Y22,m7,,,,,,,
C97322,A-1630579,19/07/2022,-751.0979731033331,-740.92,eur ,CANCELLED,  UAQ,needs review,needs review,,Y22,m7,CANCELLED,x,,,,,
C33061,A-1416559,04 July 2022,,"5,545.71",omr ,Open,RAK,,,,1,m7,Open,,,,,x,x
C50888,A/55425,Jul-22-22,,20253.360062041993,USD,Open,DXB,ok,ok,,Y22,74,Open,,x,,x,,
C61595,A-1827554,Jul-17-22,,25112.49,GBP,Closed,FJR,,,,1,m7,Closed,,x,,,,
C26563,A-6415699,Jul-18-22,12626.5,12626.5,AED,CANCELLED,AUH,ملاحظة,ملاحظة,,,98,CANCELLED,,,,,,
C98308,A-1965354,2022-07-27,"7,149.10",,sar ,Open,AAN,ok,ok,,1,m7,Open,,,,,,
,A-6323802,27/07/2022,(4988.47),-4988.47,AED,,RAK,!!!,!!!,junk,,m7,,,,,,x,
,A-5398470,32/13/2023,-1423,-1423.0,OMR,Open,RAK,ok,ok,,1,m7,Open,,,,x,,
C35215,A-9309163,28 July 2022,948.35,957.00,GBP,CANCELLED,FJR,,,,Y22,87,CANCELLED,,,x,,,
C31513,A-1330644,14 July 2022,10391.72,10391.82682401645,AED,Closed,AAN,ok,ok,,Y22,m7,Closed,,,,,,
C71980,A-7788960,25/07/2022,not available,24822.83,USD,CANCELLED,UAQ,,,,,m7,CANCELLED,,,,,,x
C49763,A-9865385,06 July 2022,,29634.25,EUR,In Review,  SHJ,needs review,needs review,,Y22,36,In Review,,,,,,
,A-8981765,32/13/2023,2519.725777999229,2511.49,GBP,Pending,FJR,ok,ok,,1,74,Pending,,,,x,,
C51176,,20/07/2022,(23969.02),23979.18,SAR,Closed,UAQ,ok,ok,,1,68,Closed,,,,,,
C40416,A-4908568,2022-07-03,5127.164443014869,5158.67,OMR,Closed,DXB,ملاحظة,ملاحظة,,Y22,10,Closed,,,,,,
C79475,A-1503635,,4422.596041606078,4364.983654900799,GBP,,AAN,ok,ok,junk,Y22,,,,,,,,
C58638,A/75143,Jul-03-22,3043.995092592837,2996.47,SAR,CANCELLED,UAQ,,,,,72,CANCELLED,,,,,x,
C40934,A-1965088,24/07/2022,2872.73,2832.028406048113,USD,Pending,DXB,ok,ok,,Y22,m7,Pending,,,,,,
C19026,A-1567186,18/07/2022,"29,754.74",,sar ,In Review,RAK,needs review,needs review,,Y22,,In Review,,,,,,
,A/60696,2022-07-13,,21002.54,SAR,,AUH,needs review,needs review,junk,,14,,,,,,,
C16996,A/90649,2022-07-04 00:00:00,(3488.49),(3457.91),SAR,In Review,AUH,,,,Y22,,In Review,,,,,x,
C56158,A-6057147,32/13/2023,28850.52,28850.52,EUR,,UAQ,!!!,!!!,,,92,,,,,x,,
C20336,A-3265474,18 July 2022,-7343.88,-7343.88,AED,,FJR,needs review,needs review,junk,Y22,m7,,x,,,x,,
C68692,A-5304604,32/13/2023,"4,739.33",,USD,In Review,DXB,,,,,,In Review,,,,,,
C22904,A-2231880,32/13/2023,,16618.29800915799,AED,CANCELLED,UAQ,,,,0,89,CANCELLED,,,,,x,
C84244,A-5251237,Jul-10-22,20916.2,20921.13485138934,SAR,Open,UAQ,needs review,needs review,,Y22,m7,Open,,,,,,
